"TOA5","Wynken","CR300","36593","CR300-CELL210.Std.11.02","CPU:wynken.250527.dld","27736","Ai1"
"TIMESTAMP","RECORD","BatteryVoltage","InternalTemperature","InternalHumidity","CurrentAverage","CurrentMaximum","SensorHoldPowerOn","ProcessingTime","SerialNumber","DataloggerOSVersion","Ai1OSVersion","ProgramSignature","ProgramCounter","StartUpCode","WatchdogErrors","SkippedScans","MemoryFree","CellUsageToday","CellUsageThisMonth","CellRSSI","CellNetBand","Latitude","Longitude","GPSSatellitesInView","Pressure_mH2O","ReadAttempts_Max"
"TS","RN","Volts","°C","%","mA (-=Charge, +=Discharge)","mA (-=Charge, +=Discharge)","True = Keep Sensor On","µS","","","","(0-65535)","Cycles","(0=Ok, -1=Power, -2=Watchdog)","Errors Since Compile","Scans Skipped","Bytes","kB","kB","dBm","","Decimal Degrees (N=+,S=-)","Decimal Degrees (E=+,W=-)","GPS Satellites visible","mH2O",""
"","","Smp","Smp","Smp","Avg:mA","Max:mA","Smp","Smp","Smp","Smp","Smp","Smp:0-65535)","Smp","Smp:0=Ok","Smp:Watchdog Errors Since Compile","Smp:Scans Skipped","Smp:Bytes","Smp:kB","Smp:kB","Smp:dBm","Smp:band","Smp","Smp","Smp","Smp","Max"
"2025-05-27 17:00:00",0,13.32,28.98,37,0.316,109,0,413,36593,11.02,0.75,27736,344,0,0,0,29440,5051,154349,-65,13,0,0,0,-13.01,0
"2025-05-27 18:00:00",1,13.27,26.01,38,109,109,0,414,36593,11.02,0.75,27736,1064,0,0,1,29440,5108,154407,-83,4,0,0,0,-13.01,1
"2025-05-27 19:00:00",2,13.27,25.05,38,99,99,0,420,36593,11.02,0.75,27736,1784,0,0,2,29440,5166,154467,-81,4,0,0,0,-13.01,1
"2025-05-27 20:00:00",3,13.26,24.2,37,92,102,0,420,36593,11.02,0.75,27736,2504,0,0,3,29440,5225,154528,-85,4,0,0,0,0.05,1
"2025-05-27 21:00:00",4,13.24,23.99,38,102.1,145,0,414,36593,11.02,0.75,27736,3224,0,0,4,29440,5284,154588,-85,4,0,0,0,0.056,1
"2025-05-27 22:00:00",5,13.25,23.67,37,145,145,0,422,36593,11.02,0.75,27736,3944,0,0,5,29440,5341,154647,-83,4,0,0,0,0.056,1
"2025-05-27 23:00:00",6,13.23,23.22,37,110,145,0,413,36593,11.02,0.75,27736,4664,0,0,6,29440,5400,154707,-83,4,0,0,0,0.057,1
"2025-05-28 00:00:00",7,13.24,23.18,37,145,145,0,414,36593,11.02,0.75,27736,5384,0,0,7,29440,0,154767,-83,4,0,0,0,0.061,1
"2025-05-28 01:00:00",8,13.25,22.8,37,111,111,0,413,36593,11.02,0.75,27736,6104,0,0,8,29440,56.03,154825,-85,4,0,0,0,0.061,1
"2025-05-28 02:00:00",9,13.25,22.74,37,94,106,0,422,36593,11.02,0.75,27736,6824,0,0,9,29440,112.7,154883,-83,4,0,0,0,0.061,1
"2025-05-28 03:00:00",10,13.25,22.61,37,106,106,0,421,36593,11.02,0.75,27736,7544,0,0,10,29440,168.4,154941,-85,4,0,0,0,0.061,1
"2025-05-28 04:00:00",11,13.23,22.2,37,100,135,0,420,36593,11.02,0.75,27736,8264,0,0,11,29440,226.1,155000,-85,4,0,0,0,0.061,1
"2025-05-28 05:00:00",12,13.24,22,37,135,135,0,420,36593,11.02,0.75,27736,8984,0,0,12,29440,281.5,155057,-83,4,0,0,0,0.062,1
"2025-05-28 06:00:00",13,13.24,21.98,37,112,112,0,421,36593,11.02,0.75,27736,9704,0,0,13,29440,339.1,155117,-85,4,0,0,0,0.062,1
"2025-05-28 07:00:00",14,13.23,21.8,37,104,104,0,414,36593,11.02,0.75,27736,10424,0,0,14,29440,398.8,155178,-85,4,0,0,0,0.062,1
"2025-05-28 08:00:00",15,13.22,21.84,37,95.1,137,0,420,36593,11.02,0.75,27736,11144,0,0,15,29440,457.4,155238,-83,4,0,0,0,0.062,1
"2025-05-28 09:00:00",16,13.24,22.01,37,136.9,137,0,421,36593,11.02,0.75,27736,11864,0,0,16,29440,512.2,155295,-83,4,0,0,0,0.064,1
"2025-05-28 10:00:00",17,13.22,22.21,37,89.1,167,0,413,36593,11.02,0.75,27736,12584,0,0,17,29440,570.9,155355,-83,4,0,0,0,0.064,1
"2025-05-28 11:00:00",18,13.22,22.27,37,167,167,0,414,36593,11.02,0.75,27736,13304,0,0,18,29440,624.9,155411,-81,4,0,0,0,0.07,1
"2025-05-28 12:00:00",19,13.24,22.33,37,135,135,0,419,36593,11.02,0.75,27736,14024,0,0,19,29440,680.4,155468,-79,4,0,0,0,0.07,1
"2025-05-28 13:00:00",20,13.23,23.03,37,100,121,0,414,36593,11.02,0.75,27736,14744,0,0,20,29440,745.6,155535,-77,4,0,0,0,0.07,1
