"TOA5","Blynken","CR300","36593","CR300-CELL210.Std.11.02","CPU:blynken.251119v2.dld","41246","Ai1"
"TIMESTAMP","RECORD","BatteryVoltage","InternalTemperature","InternalHumidity","CurrentAverage","CurrentMaximum","ProcessingTime","SerialNumber","DataloggerOSVersion","Ai1OSVersion","ProgramSignature","ProgramCounter","StartUpCode","WatchdogErrors","SkippedScans","MemoryFree","CellUsageToday","CellUsageThisMonth","CellRSSI","CellNetBand","Latitude","Longitude","GPSSatellitesInView","Pressure_mH2O","ReadAttempts_Max"
"TS","RN","Volts","°C","%","mA (-=Charge, +=Discharge)","mA (-=Charge, +=Discharge)","µS","","","","(0-65535)","Cycles","(0=Ok, -1=Power, -2=Watchdog)","Errors Since Compile","Scans Skipped","Bytes","kB","kB","dBm","","Decimal Degrees (N=+,S=-)","Decimal Degrees (E=+,W=-)","GPS Satellites visible","mH2O",""
"","","Smp","Smp","Smp","Avg:mA","Max:mA","Smp","Smp","Smp","Smp","Smp:0-65535)","Smp","Smp:0=Ok","Smp:Watchdog Errors Since Compile","Smp:Scans Skipped","Smp:Bytes","Smp:kB","Smp:kB","Smp:dBm","Smp:band","Smp","Smp","Smp","Smp","Max"
"2025-11-19 08:00:00",0,13.65,20.65,57,0.664,101,203,36593,11.02,0.75,41246,151,0,0,0,31096,258.8,314,-65,13,44.04308,-68.89212,0,-13.01,0
"2025-11-19 09:00:00",1,13.83,11.92,54,100.9,101,204,36593,11.02,0.75,41246,871,0,0,1,31096,319.3,375,-61,4,44.1041,-69.10486,4,-13.01,1
"2025-11-19 10:00:00",2,13.93,11.08,62,39.91,40,210,36593,11.02,0.75,41246,1591,0,0,2,31096,380.5,436,-51,4,44.28657,-68.94862,4,-13.01,1
"2025-11-19 11:00:00",3,13.84,15.22,67,-28,-27,204,36593,11.02,0.75,41246,2311,0,0,3,31096,441.6,497,-85,4,44.31817,-68.92749,6,0.032,1
"2025-11-19 12:00:00",4,13.8,16.57,64,-27,-27,203,36593,11.02,0.75,41246,3031,0,0,4,31096,501,557,-59,4,44.31817,-68.92749,4,0.033,1
"2025-11-19 13:00:00",5,13.81,15.71,62,-27.98,-12,211,36593,11.02,0.75,41246,3751,0,0,5,31096,559,615,-53,4,44.31814,-68.92749,5,0.033,1
"2025-11-19 14:00:00",6,13.8,15.54,61,-11.97,12,204,36593,11.02,0.75,41246,4471,0,0,6,31096,624.4,680,-55,4,44.31815,-68.92741,7,0.033,1
"2025-11-19 15:00:00",7,13.79,14.37,61,11.98,12,203,36593,11.02,0.75,41246,5191,0,0,7,31096,684.3,740,-57,4,44.31815,-68.92742,6,0.033,1
"2025-11-19 16:00:00",8,13.66,11.74,60,-3.853,102,210,36593,11.02,0.75,41246,5911,0,0,8,31096,740.8,796,-53,4,44.31811,-68.92729,4,0.033,1
"2025-11-19 17:00:00",9,13.35,8.38,61,102,102,203,36593,11.02,0.75,41246,6631,0,0,9,31096,795.7,851,-53,4,44.31817,-68.9273,5,0.037,1
"2025-11-19 18:00:00",10,13.18,8.07,61,76.97,77,203,36593,11.02,0.75,41246,7351,0,0,10,31096,850,906,-57,4,44.31816,-68.92742,4,0.042,1
"2025-11-19 19:00:00",11,13.13,7.851,61,56.03,75,211,36593,11.02,0.75,41246,8071,0,0,11,31096,912,968,-51,4,44.31828,-68.92735,4,0.042,1
"2025-11-19 20:00:00",12,13.1,7.506,61,75,75,211,36593,11.02,0.75,41246,8791,0,0,12,31096,984,1039,-55,4,44.31817,-68.92735,7,0.049,1
"2025-11-19 21:00:00",13,13.08,6.676,61,72.04,104,204,36593,11.02,0.75,41246,9511,0,0,13,31096,1055,1110,-53,4,44.31816,-68.92738,5,0.052,1
"2025-11-19 22:00:00",14,13.07,6.187,60,104,104,204,36593,11.02,0.75,41246,10231,0,0,14,31096,1122,1178,-55,4,44.31816,-68.92738,5,0.053,1
"2025-11-19 23:00:00",15,13.06,5.981,60,70,70,203,36593,11.02,0.75,41246,10951,0,0,15,31096,1189,1245,-55,4,44.31816,-68.92744,5,0.056,1
"2025-11-20 00:00:00",16,13.05,5.603,60,67,70,212,36593,11.02,0.75,41246,11671,0,0,16,31096,0,1312,-55,4,44.31815,-68.92741,5,0.058,1
"2025-11-20 01:00:00",17,13.06,5.553,60,70.01,78,203,36593,11.02,0.75,41246,12391,0,0,17,31096,65.91,1377,-53,4,44.31804,-68.92742,4,0.059,1
"2025-11-20 02:00:00",18,13.05,5.266,60,77.98,78,203,36593,11.02,0.75,41246,13111,0,0,18,31096,134.9,1447,-53,4,44.31812,-68.92742,4,0.063,1
"2025-11-20 03:00:00",19,13.04,4.785,60,61.05,99,204,36593,11.02,0.75,41246,13831,0,0,19,31096,202.3,1514,-53,4,44.31812,-68.92741,5,0.064,1
"2025-11-20 04:00:00",20,13.04,4.574,59,98.9,99,204,36593,11.02,0.75,41246,14551,0,0,20,31096,273.5,1585,-55,4,44.31814,-68.92739,4,0.065,1
"2025-11-20 05:00:00",21,13.06,4.192,59,58.01,64,211,36593,11.02,0.75,41246,15271,0,0,21,31096,338.7,1650,-51,4,44.31814,-68.92747,4,0.065,1
"2025-11-20 06:00:00",22,13.01,4.433,59,64,66,204,36593,11.02,0.75,41246,15991,0,0,22,31096,404.1,1716,-53,4,44.3181,-68.92744,4,0.068,1
"2025-11-20 07:00:00",23,13.15,4.569,59,65.97,66,204,36593,11.02,0.75,41246,16711,0,0,23,31096,462.8,1774,-55,4,44.31815,-68.92741,5,0.071,1
"2025-11-20 08:00:00",24,13.84,7.029,58,40.68,41,203,36593,11.02,0.75,41246,17431,0,0,24,31096,525,1837,-51,4,44.31824,-68.92742,4,0.073,1
"2025-11-20 09:00:00",25,13.52,8.42,57,-190.8,-50,204,36593,11.02,0.75,41246,18151,0,0,25,31096,585.4,1897,-55,4,44.31825,-68.92749,4,0.074,1
"2025-11-20 10:00:00",26,13.71,11.09,56,-50.12,-50,203,36593,11.02,0.75,41246,18871,0,0,26,31096,645.2,1957,-53,4,44.31818,-68.92754,5,0.08,1
"2025-11-20 11:00:00",27,13.89,12.77,55,-132.9,-46,211,36593,11.02,0.75,41246,19591,0,0,27,31096,706.5,2018,-55,4,44.31816,-68.92747,4,0.081,1
"2025-11-20 12:00:00",28,13.82,15.34,55,-45.95,-11,204,36593,11.02,0.75,41246,20311,0,0,28,31096,764.9,2076,-51,4,44.31816,-68.92751,6,0.081,1
"2025-11-20 13:00:00",29,13.8,16.02,55,-11,-11,204,36593,11.02,0.75,41246,21031,0,0,29,31096,820,2132,-53,4,44.31814,-68.92749,5,0.081,1
"2025-11-20 14:00:00",30,13.8,14.26,55,-14.02,-14,210,36593,11.02,0.75,41246,21751,0,0,30,31096,884,2196,-53,4,44.31814,-68.92739,4,0.071,1
"2025-11-20 15:00:00",31,13.81,14.5,54,-26.95,10,203,36593,11.02,0.75,41246,22471,0,0,31,31096,945,2256,-55,4,44.31814,-68.92749,5,0.071,1
"2025-11-20 16:00:00",32,13.67,10.02,57,10.03,31,204,36593,11.02,0.75,41246,23191,0,0,32,31096,1005,2316,-51,4,44.31814,-68.92741,4,0.071,1
"2025-11-20 17:00:00",33,13.34,7.511,58,31.02,47,203,36593,11.02,0.75,41246,23911,0,0,33,31096,1071,2382,-51,4,44.31832,-68.92746,5,0.071,1
"2025-11-20 18:00:00",34,13.17,6.951,58,47.02,62,204,36593,11.02,0.75,41246,24631,0,0,34,31096,1138,2449,-51,4,44.31831,-68.92746,4,0.057,1
"2025-11-20 19:00:00",35,13.1,6.075,58,61.98,62,204,36593,11.02,0.75,41246,25351,0,0,35,31096,1203,2515,-51,4,44.31838,-68.92732,6,0.057,1
"2025-11-20 20:00:00",36,13.08,6.054,58,47,47,204,36593,11.02,0.75,41246,26071,0,0,36,31096,1271,2583,-55,4,44.31829,-68.92747,6,0.056,1
"2025-11-20 21:00:00",37,13.1,5.908,58,45.98,46,204,36593,11.02,0.75,41246,26791,0,0,37,31096,1344,2656,-53,4,44.3182,-68.92747,5,0.056,1
"2025-11-20 22:00:00",38,13.07,5.571,58,29.03,50,207,36593,11.02,0.75,41246,27511,0,0,38,31096,1421,2733,-53,4,44.31829,-68.92745,5,0.053,1
"2025-11-20 23:00:00",39,13.06,5.149,58,50.01,58,204,36593,11.02,0.75,41246,28231,0,0,39,31096,1495,2806,-57,4,44.31829,-68.92744,4,0.053,1
"2025-11-21 00:00:00",40,13.04,5.02,58,58.03,76,204,36593,11.02,0.75,41246,28951,0,0,40,31096,0,2872,-53,4,44.31818,-68.92742,7,0.041,1
"2025-11-21 01:00:00",41,13,5.026,58,76.06,118,211,36593,11.02,0.75,41246,29671,0,0,41,31096,66.28,2938,-53,4,44.31816,-68.92746,6,0.041,1
"2025-11-21 02:00:00",42,13.03,4.443,58,117.9,118,204,36593,11.02,0.75,41246,30391,0,0,42,31096,135.2,3007,-53,4,44.31816,-68.92748,5,0.04,1
"2025-11-21 03:00:00",43,13.06,4.451,58,67.99,68,203,36593,11.02,0.75,41246,31111,0,0,43,31096,204.3,3076,-53,4,44.31808,-68.92741,5,0.04,1
"2025-11-21 04:00:00",44,13.02,4.485,58,61.02,75,204,36593,11.02,0.75,41246,31831,0,0,44,31096,272.3,3144,-59,4,44.31816,-68.92744,4,0.04,1
"2025-11-21 05:00:00",45,12.99,4.503,58,75.05,113,211,36593,11.02,0.75,41246,32551,0,0,45,31096,347.5,3219,-55,4,44.3182,-68.9273,4,0.04,1
"2025-11-21 06:00:00",46,13.03,4.418,58,112.9,113,203,36593,11.02,0.75,41246,33271,0,0,46,31096,421.6,3293,-55,4,44.31816,-68.92731,5,0.023,1
"2025-11-21 07:00:00",47,13.05,4.876,58,70.03,93,203,36593,11.02,0.75,41246,33991,0,0,47,31096,488.4,3360,-51,4,44.31813,-68.92738,4,0.023,1
"2025-11-21 08:00:00",48,13.34,6.357,57,92.8,93,210,36593,11.02,0.75,41246,34711,0,0,48,31096,557.8,3429,-59,4,44.31825,-68.92751,5,0.019,1
"2025-11-21 09:00:00",49,13.56,9.43,55,-20.11,-20,204,36593,11.02,0.75,41246,35431,0,0,49,31096,626.6,3498,-55,4,44.31824,-68.92752,4,0.019,1
"2025-11-21 10:00:00",50,13.43,9.98,56,-100.9,-57,204,36593,11.02,0.75,41246,36151,0,0,50,31096,692.1,3564,-55,4,44.31824,-68.92749,5,0.019,1
"2025-11-21 11:00:00",51,13.39,10.07,56,-56.9,13,203,36593,11.02,0.75,41246,36871,0,0,51,31096,755.9,3627,-53,4,44.31818,-68.92744,4,0.019,1
