"TOA5","Wynken","CR300","36593","CR300-CELL210.Std.11.02","CPU:wynken.250527.dld","27736","SondeValues"
"TIMESTAMP","RECORD","External_Temp","Conductivity_us","SpConductivity_us","TDS","Salinity","PH_mV","PH","ORP","ODO_Sat","ODO","Pressure_abs","Pressure_gauge","Depth","Sonde_Battery","Turbidity","Ammonia_NH3","Ammonium_NH4","DateTime","Nitrate_NO3_mV","Nitrate_NO3_mgL","Ammonium_NH4plus","Chloride_mgL","Chloride_mV","Turbidity_TSS","Chlorophyll_ugL","Chlorophyll_RFU","PAR_1","PAR_2","Rhodamine_ugL","BGA_PC_cellsmL","BGA_PC_RFU","BGA_PE_cellsmL","BGA_PE_RFU","BGA_PC_ugL","BGA_PE_ugL","fDOM_RFU","fDOM_QSU","WiperPosition","Sonde_External_Voltage","Conductivity_nLF","WiperPeakCurrent","Pressure_Vert_Pos","Chlorophyll","NitraLED"
"TS","RN","DegreesC","us/cm","us/cm","mg/L","ppm","mV","PH","mV","%","mg/L","psi","psi","m","V","FNU","","mg/L","","mV","mg/L","mV","mg/L","mV","TSS","ug/L","RFU","uMoles/m2/s","uMoles/m2/s","ug/L","cells/mL","RFU","cells/mL","RFU","ug/L","ug/L","RFU","QSU","Volts","V","us/cm","mA","m","cells/mL","mg/L"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-05-27 17:00:00",0,23.28917,-0.1323029,-0.1367722,-0.08890191,-0.0002267137,"NAN","NAN","NAN","NAN","NAN",14.80328,"NAN",10.44779,5.942821,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.02055814,-0.005139536,"NAN","NAN","NAN","NAN","NAN",0,-0.8993769,"NAN",-2.518255,"NAN","NAN",0.8257542,13.29062,-0.1372186,56.85511,10.41224,0,"NAN"
"2025-05-27 18:00:00",1,20.71231,-0.1792667,-0.1952575,-0.1269174,-0.0002559982,"NAN","NAN","NAN","NAN","NAN",10.36035,"NAN",7.307922,5.944395,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1233122,-0.03082805,"NAN","NAN","NAN","NAN","NAN",0,-0.9363225,"NAN",-2.621703,"NAN","NAN",1.646885,13.21564,-0.1967684,41.61318,10.22296,0,"NAN"
"2025-05-27 19:00:00",2,19.9969,-0.173618,-0.1919617,-0.1247751,-0.0002536494,"NAN","NAN","NAN","NAN","NAN",11.83904,"NAN",8.349694,5.952271,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1716446,-0.04291114,"NAN","NAN","NAN","NAN","NAN",0,-0.8460571,"NAN",-2.36896,"NAN","NAN",1.779364,13.14856,-0.1936649,39.05333,10.28179,0,"NAN"
"2025-05-27 20:00:00",3,19.72272,-0.1690334,-0.1879807,-0.1221875,-0.0002514552,"NAN","NAN","NAN","NAN","NAN",10.36595,"NAN",7.310382,5.953846,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1241151,-0.03102878,"NAN","NAN","NAN","NAN","NAN",0,-0.9617965,"NAN",-2.69303,"NAN","NAN",1.646464,13.1604,-0.1897277,39.24376,10.22631,0,"NAN"
"2025-05-27 21:00:00",4,19.52513,-0.145016,-0.1619512,-0.1052683,-0.0002380032,"NAN","NAN","NAN","NAN","NAN",14.81055,"NAN",10.44437,5.953846,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.0892958,-0.02232395,"NAN","NAN","NAN","NAN","NAN",0,-0.9223721,"NAN",-2.582642,"NAN","NAN",1.767608,13.13672,-0.1635047,39.9469,10.36514,0,"NAN"
"2025-05-27 22:00:00",5,19.29537,-0.1469495,-0.1649193,-0.1071975,-0.0002393564,"NAN","NAN","NAN","NAN","NAN",10.37137,"NAN",7.313588,5.955421,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.04381666,0.01095417,"NAN","NAN","NAN","NAN","NAN",0,-1.010215,"NAN",-2.828603,"NAN","NAN",1.760449,13.14856,-0.1665578,43.78119,10.23056,0,"NAN"
"2025-05-27 23:00:00",6,19.0798,-0.1669583,-0.1882444,-0.1223589,-0.000250834,"NAN","NAN","NAN","NAN","NAN",10.36431,"NAN",7.308303,5.953846,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.182936,-0.045734,"NAN","NAN","NAN","NAN","NAN",0,-0.916272,"NAN",-2.565562,"NAN","NAN",1.732726,13.14856,-0.1901741,39.76379,10.22567,0,"NAN"
"2025-05-28 00:00:00",7,18.89198,-0.1675759,-0.1897076,-0.1233099,-0.0002513016,"NAN","NAN","NAN","NAN","NAN",10.36276,"NAN",7.306951,5.955421,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1299391,-0.03248478,"NAN","NAN","NAN","NAN","NAN",0,-0.9528316,"NAN",-2.667928,"NAN","NAN",1.633939,13.13277,-0.1917037,43.40032,10.22373,0,"NAN"
"2025-05-28 01:00:00",8,18.81216,-0.1733218,-0.1965522,-0.1277589,-0.0002543675,"NAN","NAN","NAN","NAN","NAN",11.84497,"NAN",8.351934,5.956996,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.167566,-0.04189151,"NAN","NAN","NAN","NAN","NAN",0,-0.9486025,"NAN",-2.656087,"NAN","NAN",1.747832,13.14067,-0.1986428,43.72259,10.28435,0,"NAN"
"2025-05-28 02:00:00",9,18.72252,-0.1674781,-0.1902942,-0.1236912,-0.0002513742,"NAN","NAN","NAN","NAN","NAN",11.84286,"NAN",8.350302,5.955421,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.0221662,-0.005541551,"NAN","NAN","NAN","NAN","NAN",0,-0.9753145,"NAN",-2.73088,"NAN","NAN",1.628446,13.13277,-0.1923425,39.10826,10.28257,0,"NAN"
"2025-05-28 03:00:00",10,18.61382,-0.175511,-0.1998934,-0.1299307,-0.0002556285,"NAN","NAN","NAN","NAN","NAN",11.84009,"NAN",8.348181,5.956996,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1808425,-0.04521063,"NAN","NAN","NAN","NAN","NAN",0,-0.8426669,"NAN",-2.359467,"NAN","NAN",1.749645,13.14067,-0.2020756,38.96178,10.2796,0,"NAN"
"2025-05-28 04:00:00",11,18.47713,-0.1609475,-0.1838529,-0.1195044,-0.0002480242,"NAN","NAN","NAN","NAN","NAN",10.35984,"NAN",7.304317,5.956996,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1087686,-0.02719215,"NAN","NAN","NAN","NAN","NAN",0,-0.9408528,"NAN",-2.634388,"NAN","NAN",1.616928,13.13672,-0.185895,38.52964,10.22004,0,"NAN"
"2025-05-28 05:00:00",12,18.25807,-0.165104,-0.1895071,-0.1231796,-0.0002504438,"NAN","NAN","NAN","NAN","NAN",10.36414,"NAN",7.307055,5.958571,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.007854458,-0.001963614,"NAN","NAN","NAN","NAN","NAN",0,-0.962702,"NAN",-2.695565,"NAN","NAN",1.647031,13.13277,-0.1916692,38.55894,10.2238,0,"NAN"
"2025-05-28 06:00:00",13,18.02465,-0.1746824,-0.2015325,-0.1309961,-0.0002556145,"NAN","NAN","NAN","NAN","NAN",10.36613,"NAN",7.308146,5.958571,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.07009606,-0.01752402,"NAN","NAN","NAN","NAN","NAN",0,-0.8359367,"NAN",-2.340623,"NAN","NAN",1.62927,13.13277,-0.2038952,38.14511,10.22538,0,"NAN"
"2025-05-28 07:00:00",14,17.88189,-0.1660632,-0.1921932,-0.1249255,-0.0002512261,"NAN","NAN","NAN","NAN","NAN",11.85615,"NAN",8.358377,5.958571,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.0992018,0.02480045,"NAN","NAN","NAN","NAN","NAN",0,-0.9190757,"NAN",-2.573412,"NAN","NAN",1.746404,13.13277,-0.1944828,38.48936,10.29028,0,"NAN"
"2025-05-28 08:00:00",15,17.9398,-0.1607033,-0.1857523,-0.120739,-0.000248285,"NAN","NAN","NAN","NAN","NAN",10.37404,"NAN",7.313609,5.956996,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.03405603,-0.008514008,"NAN","NAN","NAN","NAN","NAN",0,-0.9839957,"NAN",-2.755188,"NAN","NAN",1.634324,13.13277,-0.1879511,38.50401,10.23302,0,"NAN"
"2025-05-28 09:00:00",16,18.07855,-0.1635394,-0.1884525,-0.1224941,-0.0002497304,"NAN","NAN","NAN","NAN","NAN",11.85767,"NAN",8.359744,5.958571,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1155663,-0.02889157,"NAN","NAN","NAN","NAN","NAN",0,-0.9172608,"NAN",-2.56833,"NAN","NAN",1.744646,13.12883,-0.1906483,39.28771,10.29417,0,"NAN"
"2025-05-28 10:00:00",17,18.19979,-0.1758331,-0.2020801,-0.1313521,-0.0002560792,"NAN","NAN","NAN","NAN","NAN",10.37082,"NAN",7.311681,5.956996,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.1067762,0.02669405,"NAN","NAN","NAN","NAN","NAN",0,-0.9420573,"NAN",-2.63776,"NAN","NAN",1.647013,13.13277,-0.2044016,38.71641,10.22931,0,"NAN"
"2025-05-28 11:00:00",18,18.32091,-0.1639129,-0.187881,-0.1221226,-0.0002497556,"NAN","NAN","NAN","NAN","NAN",10.36902,"NAN",7.310582,5.956996,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1923601,-0.04809002,"NAN","NAN","NAN","NAN","NAN",0,-0.9320403,"NAN",-2.609713,"NAN","NAN",1.647031,13.13277,-0.1900084,38.20371,10.22776,0,"NAN"
"2025-05-28 12:00:00",19,18.48503,-0.1609008,-0.1837685,-0.1194495,-0.0002479926,"NAN","NAN","NAN","NAN","NAN",10.3676,"NAN",7.309802,5.956996,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.01224344,0.003060861,"NAN","NAN","NAN","NAN","NAN",0,-0.9526181,"NAN",-2.667331,"NAN","NAN",1.629416,13.13277,-0.1858078,42.09293,10.22674,0,"NAN"
"2025-05-28 13:00:00",20,18.62681,-0.1409487,-0.1604838,-0.1043145,-0.0002362411,"NAN","NAN","NAN","NAN","NAN",14.80721,"NAN",10.4402,5.956996,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.06325188,0.01581297,"NAN","NAN","NAN","NAN","NAN",0,-0.9144951,"NAN",-2.560586,"NAN","NAN",1.674644,13.13277,-0.1622329,38.0499,10.35958,0,"NAN"
"2025-05-28 14:00:00",21,18.82346,-0.151409,-0.1716599,-0.1115789,-0.0002423627,"NAN","NAN","NAN","NAN","NAN",11.83829,"NAN",8.347242,5.958571,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.08586548,0.02146637,"NAN","NAN","NAN","NAN","NAN",0,-0.9382316,"NAN",-2.627048,"NAN","NAN",1.626065,13.13277,-0.1734829,38.3978,10.27848,0,"NAN"
"2025-05-28 15:00:00",22,19.02468,-0.1399318,-0.1579594,-0.1026736,-0.0002352875,"NAN","NAN","NAN","NAN","NAN",14.78956,"NAN",10.42854,5.960146,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.05991082,-0.01497771,"NAN","NAN","NAN","NAN","NAN",0,-0.8732376,"NAN",-2.445065,"NAN","NAN",1.646976,13.13277,-0.1595913,38.37583,10.34934,0,"NAN"
"2025-05-28 16:00:00",23,19.23556,-0.1582585,-0.1778383,-0.1155949,-0.0002459548,"NAN","NAN","NAN","NAN","NAN",10.34648,"NAN",7.29595,5.958571,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1065056,-0.0266264,"NAN","NAN","NAN","NAN","NAN",0,-0.9314979,"NAN",-2.608194,"NAN","NAN",1.622605,13.13277,-0.1796207,38.54063,10.20837,0,"NAN"
"2025-05-28 17:00:00",24,19.55132,-0.1668559,-0.1862374,-0.1210543,-0.0002504243,"NAN","NAN","NAN","NAN","NAN",11.82256,"NAN",8.33733,5.960146,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.02675726,0.006689315,"NAN","NAN","NAN","NAN","NAN",0,-0.9289438,"NAN",-2.601043,"NAN","NAN",1.729778,13.10515,-0.1880165,38.15976,10.26613,0,"NAN"
"2025-05-28 18:00:00",25,19.7619,-0.1640415,-0.1822785,-0.118481,-0.0002487432,"NAN","NAN","NAN","NAN","NAN",10.34276,"NAN",7.294085,5.960146,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.147255,-0.03681374,"NAN","NAN","NAN","NAN","NAN",0,-0.9474673,"NAN",-2.652909,"NAN","NAN",1.625846,13.13277,-0.1839617,38.41245,10.20485,0,"NAN"
"2025-05-28 19:00:00",26,19.90621,-0.1624498,-0.1799584,-0.116973,-0.0002477597,"NAN","NAN","NAN","NAN","NAN",10.3428,"NAN",7.294328,5.960146,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.08565078,0.02141269,"NAN","NAN","NAN","NAN","NAN",0,-0.9270676,"NAN",-2.595789,"NAN","NAN",1.646976,13.13277,-0.1815803,38.0975,10.20388,0,"NAN"
"2025-05-28 20:00:00",27,19.9713,-0.1565262,-0.1731583,-0.1125529,-0.0002443986,"NAN","NAN","NAN","NAN","NAN",10.34143,"NAN",7.293456,5.956996,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.154643,-0.03866075,"NAN","NAN","NAN","NAN","NAN",0,-0.9755337,"NAN",-2.731494,"NAN","NAN",1.630588,13.13277,-0.1747015,37.82284,10.20425,0,"NAN"
"2025-05-28 21:00:00",28,19.87752,-0.1429126,-0.1584112,-0.1029673,-0.0002364311,"NAN","NAN","NAN","NAN","NAN",14.77901,"NAN",10.42286,5.958571,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.04699491,0.01174873,"NAN","NAN","NAN","NAN","NAN",0,-0.9316871,"NAN",-2.608724,"NAN","NAN",1.721776,13.13277,-0.1598459,38.29526,10.34105,0,"NAN"
"2025-05-28 22:00:00",29,19.71559,-0.163213,-0.1815359,-0.1179983,-0.000248326,"NAN","NAN","NAN","NAN","NAN",10.34236,"NAN",7.293739,5.960146,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.09562891,0.02390723,"NAN","NAN","NAN","NAN","NAN",0,-0.9380915,"NAN",-2.626656,"NAN","NAN",1.630204,13.13277,-0.183225,38.03891,10.20535,0,"NAN"
"2025-05-28 23:00:00",30,19.55399,-0.1666461,-0.1859928,-0.1208953,-0.0002503097,"NAN","NAN","NAN","NAN","NAN",11.81666,"NAN",8.333174,5.956996,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.04527558,0.01131889,"NAN","NAN","NAN","NAN","NAN",0,-0.931559,"NAN",-2.608365,"NAN","NAN",1.647013,13.13277,-0.1877688,37.70932,10.26138,0,"NAN"
