"TOA5","Blynken","CR300","36594","CR300-CELL210.Std.11.02","CPU:blynken.250917.dld","51565","SondeValues"
"TIMESTAMP","RECORD","External_Temp","Conductivity_us","SpConductivity_us","TDS","Salinity","PH_mV","PH","ORP","ODO_Sat","ODO","Pressure_abs","Pressure_gauge","Depth","Sonde_Battery","Turbidity","Ammonia_NH3","Ammonium_NH4","DateTime","Nitrate_NO3_mV","Nitrate_NO3_mgL","Ammonium_NH4plus","Chloride_mgL","Chloride_mV","Turbidity_TSS","Chlorophyll_ugL","Chlorophyll_RFU","PAR_1","PAR_2","Rhodamine_ugL","BGA_PC_cellsmL","BGA_PC_RFU","BGA_PE_cellsmL","BGA_PE_RFU","BGA_PC_ugL","BGA_PE_ugL","fDOM_RFU","fDOM_QSU","WiperPosition","Sonde_External_Voltage","Conductivity_nLF","WiperPeakCurrent","Pressure_Vert_Pos","Chlorophyll","NitraLED"
"TS","RN","DegreesC","us/cm","us/cm","mg/L","ppm","mV","PH","mV","%","mg/L","psi","psi","m","V","FNU","","mg/L","","mV","mg/L","mV","mg/L","mV","TSS","ug/L","RFU","uMoles/m2/s","uMoles/m2/s","ug/L","cells/mL","RFU","cells/mL","RFU","ug/L","ug/L","RFU","QSU","Volts","V","us/cm","mA","m","cells/mL","mg/L"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-09-18 11:00:00",0,16.77124,32621.88,38705.14,25158.34,24.67812,"NAN","NAN","NAN",115.7155,9.9597,1.146153,"NAN",0.7928979,6.037326,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.942152,1.033288,"NAN","NAN","NAN","NAN","NAN",0,2.760776,"NAN",4.666764,"NAN","NAN",0.8316686,13.57869,39220.01,45.68551,0.7926188,0,"NAN"
"2025-09-18 12:00:00",1,17.14837,39218.07,46137.07,29989.09,29.98688,"NAN","NAN","NAN",113.6262,9.137143,-2.016544,"NAN",-1.389591,6.034176,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.887876,0.682277,"NAN","NAN","NAN","NAN","NAN",0,1.780013,"NAN",2.621631,"NAN","NAN",1.6361,13.55896,46729.84,42.91325,0.7688819,0,"NAN"
"2025-09-18 13:00:00",2,17.3653,13345.07,15623.28,10155.13,9.162004,"NAN","NAN","NAN",116.5972,9.34339,1.116616,"NAN",0.7695581,6.040476,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.626368,0.5952104,"NAN","NAN","NAN","NAN","NAN",0,1.404037,"NAN",1.837629,"NAN","NAN",1.799982,13.4682,15819.79,43.42962,0.7648477,0,"NAN"
"2025-09-18 14:00:00",3,17.37199,39318.52,46023.99,29915.59,29.90672,"NAN","NAN","NAN",116.7728,9.35482,-2.03763,"NAN",-1.404278,6.043626,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.842206,0.6670716,"NAN","NAN","NAN","NAN","NAN",0,1.887879,"NAN",2.846558,"NAN","NAN",1.657102,13.48793,46602.51,42.88029,0.7479286,0,"NAN"
"2025-09-18 15:00:00",4,17.51668,13951.97,16278.7,10581.15,9.57843,"NAN","NAN","NAN",119.4825,9.559445,1.099397,"NAN",0.7578384,6.038901,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.717878,0.9586182,"NAN","NAN","NAN","NAN","NAN",0,2.280955,"NAN",3.666219,"NAN","NAN",1.799982,13.49187,16480.34,43.06706,0.7565169,0,"NAN"
"2025-09-18 16:00:00",5,17.80212,39630.35,45947.14,29865.64,29.85356,"NAN","NAN","NAN",123.0023,9.775628,-2.047068,"NAN",-1.410976,6.040476,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.403366,0.8539045,"NAN","NAN","NAN","NAN","NAN",0,1.991498,"NAN",3.062628,"NAN","NAN",1.640037,13.53923,46499.33,41.73404,0.7464508,0,"NAN"
"2025-09-18 17:00:00",6,17.31796,14660.61,17181.67,11168.08,10.1559,"NAN","NAN","NAN",117.5492,9.429061,-2.03619,"NAN",-1.403315,6.040476,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",4.912079,1.689157,"NAN","NAN","NAN","NAN","NAN",0,3.499651,"NAN",6.2075,"NAN","NAN",1.657267,13.53923,17398.81,42.10025,0.7622011,0,"NAN"
"2025-09-18 18:00:00",7,17.42201,39583.13,46282.05,30083.33,30.09376,"NAN","NAN","NAN",118.9074,9.505643,-2.044119,"NAN",-1.40857,6.043626,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.04110194,0.06741098,"NAN","NAN","NAN","NAN","NAN",0,3.345748,"NAN",5.886576,"NAN","NAN",1.634617,13.54712,46860.9,41.28359,0.7388073,0,"NAN"
"2025-09-18 19:00:00",8,17.48904,15771.87,18413.45,11968.74,10.94755,"NAN","NAN","NAN",119.6558,9.5748,1.100323,"NAN",0.7584319,6.043626,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",5.103713,1.752959,"NAN","NAN","NAN","NAN","NAN",0,3.292594,"NAN",5.775735,"NAN","NAN",1.71577,13.34981,18642.18,41.78897,0.7500058,0,"NAN"
"2025-09-18 20:00:00",9,17.1401,39376.34,46331.87,30115.71,30.12776,"NAN","NAN","NAN",117.7265,9.46138,-2.053429,"NAN",-1.414854,6.042051,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.2003723,-0.01298559,"NAN","NAN","NAN","NAN","NAN",0,3.231006,"NAN",5.647309,"NAN","NAN",1.623905,13.33797,46927.61,42.69352,0.7464758,0,"NAN"
"2025-09-18 21:00:00",10,16.86018,18691.2,22132.11,14385.87,13.37231,"NAN","NAN","NAN",114.131,9.221394,1.093734,"NAN",0.7535551,6.042051,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.481003,1.212693,"NAN","NAN","NAN","NAN","NAN",0,2.707227,"NAN",4.5551,"NAN","NAN",1.65734,13.2038,22424.19,43.24651,0.7530651,0,"NAN"
"2025-09-18 22:00:00",11,16.76057,39089.2,46389.8,30153.37,30.16622,"NAN","NAN","NAN",113.1553,9.158864,-2.061906,"NAN",-1.420539,6.043626,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.209396,1.122265,"NAN","NAN","NAN","NAN","NAN",0,2.450193,"NAN",4.019121,"NAN","NAN",1.64553,13.13672,47007.49,40.65736,0.7351227,0,"NAN"
"2025-09-18 23:00:00",12,16.85539,13459.37,15938.87,10360.26,9.363521,"NAN","NAN","NAN",115.2281,9.307646,1.078306,"NAN",0.7428931,6.045201,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.926666,1.028132,"NAN","NAN","NAN","NAN","NAN",0,2.188615,"NAN",3.473666,"NAN","NAN",1.711742,13.14461,16149.3,42.51408,0.7401289,0,"NAN"
"2025-09-19 00:00:00",13,16.94482,39176.64,46300.1,30095.06,30.10309,"NAN","NAN","NAN",116.471,9.396665,-2.064521,"NAN",-1.422467,6.045201,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.610647,0.9229167,"NAN","NAN","NAN","NAN","NAN",0,1.418328,"NAN",1.867428,"NAN","NAN",1.632877,13.12488,46906.43,41.91714,0.7217264,0,"NAN"
"2025-09-19 01:00:00",14,16.94806,16819.74,19876.59,12919.78,11.89656,"NAN","NAN","NAN",115.6072,9.324498,1.071841,"NAN",0.7384793,6.037326,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.161072,0.7732349,"NAN","NAN","NAN","NAN","NAN",0,1.456082,"NAN",1.946154,"NAN","NAN",1.657285,13.1091,20136.8,41.34584,0.7340611,0,"NAN"
"2025-09-19 02:00:00",15,17.06202,39345.41,46376.86,30144.96,30.15968,"NAN","NAN","NAN",118.6413,9.546863,-2.069707,"NAN",-1.426017,6.045201,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.341823,0.8334144,"NAN","NAN","NAN","NAN","NAN",0,1.489955,"NAN",2.016788,"NAN","NAN",1.62775,13.13672,46977.61,41.92447,0.7224846,0,"NAN"
"2025-09-19 03:00:00",16,17.09665,12811.04,15088.74,9807.682,8.823955,"NAN","NAN","NAN",118.1682,9.506898,1.075805,"NAN",0.7412709,6.040476,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.879965,0.6796432,"NAN","NAN","NAN","NAN","NAN",0,1.241281,"NAN",1.498242,"NAN","NAN",1.799982,13.16829,15283.56,41.21035,0.7371559,0,"NAN"
"2025-09-19 04:00:00",17,17.15808,39336.05,46265.77,30072.75,30.08006,"NAN","NAN","NAN",116.57,9.36732,-2.069394,"NAN",-1.425914,6.042051,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.519707,0.8926393,"NAN","NAN","NAN","NAN","NAN",0,1.860483,"NAN",2.78943,"NAN","NAN",1.632804,13.13277,46859.64,41.21035,0.7223954,0,"NAN"
"2025-09-19 05:00:00",18,17.28643,39386.07,46191.41,30024.42,30.02724,"NAN","NAN","NAN",114.893,9.21221,-2.063457,"NAN",-1.421921,6.042051,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.397359,0.8519044,"NAN","NAN","NAN","NAN","NAN",0,1.888607,"NAN",2.848076,"NAN","NAN",1.691032,13.13277,46776.98,41.23232,0.7262528,0,"NAN"
"2025-09-19 06:00:00",19,17.19296,39370.16,46269.62,30075.26,30.08313,"NAN","NAN","NAN",114.5306,9.196446,-2.05546,"NAN",-1.416321,6.043626,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.183978,0.7808612,"NAN","NAN","NAN","NAN","NAN",0,1.487922,"NAN",2.012548,"NAN","NAN",1.631284,13.11699,46861.56,40.70863,0.7391087,0,"NAN"
"2025-09-19 07:00:00",20,16.91693,39324.9,46504.59,30227.98,30.25084,"NAN","NAN","NAN",115.0041,9.275027,-2.051408,"NAN",-1.413268,6.045201,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.699944,0.9526475,"NAN","NAN","NAN","NAN","NAN",0,2.053956,"NAN",3.19287,"NAN","NAN",1.657267,13.13277,47115.16,41.20668,0.7333568,0,"NAN"
"2025-09-19 08:00:00",21,16.69602,39141.95,46520.36,30238.23,30.26005,"NAN","NAN","NAN",111.6961,9.046456,-2.041229,"NAN",-1.406175,6.040476,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.923946,0.694286,"NAN","NAN","NAN","NAN","NAN",0,1.480319,"NAN",1.996696,"NAN","NAN",1.646867,13.21564,47143.3,41.77798,0.7481508,0,"NAN"
"2025-09-19 09:00:00",22,16.86682,16564.21,19610.62,12746.9,11.72381,"NAN","NAN","NAN",113.9793,9.202538,1.115228,"NAN",0.7683124,6.042051,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.071434,0.4104502,"NAN","NAN","NAN","NAN","NAN",0,0.9655901,"NAN",0.923358,"NAN","NAN",1.657322,13.35376,19869.27,42.22843,0.7601384,0,"NAN"
"2025-09-19 10:00:00",23,16.96923,39340.14,46467.71,30204.01,30.22463,"NAN","NAN","NAN",114.7805,9.249405,-2.016831,"NAN",-1.389488,6.038901,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.9415038,0.3671913,"NAN","NAN","NAN","NAN","NAN",0,0.9032183,"NAN",0.7932973,"NAN","NAN",1.642911,13.3577,47074.87,42.30899,0.7802607,0,"NAN"
"2025-09-19 11:00:00",24,17.13254,39463.37,46442.12,30187.38,30.20751,"NAN","NAN","NAN",115.1966,9.25388,-2.014566,"NAN",-1.387996,6.045201,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.287156,0.4822728,"NAN","NAN","NAN","NAN","NAN",0,0.8437043,"NAN",0.6691961,"NAN","NAN",1.657285,13.36954,47039.71,42.35294,0.7593673,0,"NAN"
"2025-09-19 12:00:00",25,17.27434,39563.98,46412.63,30168.21,30.18727,"NAN","NAN","NAN",115.5942,9.261922,-2.040722,"NAN",-1.406083,6.040476,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.209876,0.4565432,"NAN","NAN","NAN","NAN","NAN",0,1.119329,"NAN",1.243942,"NAN","NAN",1.628336,13.45241,47001.72,41.93546,0.7470658,0,"NAN"
"2025-09-19 13:00:00",26,17.01711,18215.73,21492.81,13970.33,12.95217,"NAN","NAN","NAN",113.3585,9.127082,1.118041,"NAN",0.7702824,6.040476,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.492013,0.5504779,"NAN","NAN","NAN","NAN","NAN",0,1.191153,"NAN",1.393712,"NAN","NAN",1.657267,13.48793,21772.4,45.5317,0.7659269,0,"NAN"
"2025-09-19 14:00:00",27,16.94411,39339.18,46493.32,30220.66,30.24294,"NAN","NAN","NAN",111.8436,9.01602,-2.036824,"NAN",-1.403235,6.040476,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.465392,0.5416147,"NAN","NAN","NAN","NAN","NAN",0,1.220436,"NAN",1.454774,"NAN","NAN",1.62341,13.48398,47102.24,42.3859,0.7492415,0,"NAN"
"2025-09-19 15:00:00",28,17.04442,16676.25,19664.26,12781.77,11.75839,"NAN","NAN","NAN",113.3501,9.133204,1.109602,"NAN",0.7645997,6.042051,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.516292,0.5585616,"NAN","NAN","NAN","NAN","NAN",0,1.314047,"NAN",1.649976,"NAN","NAN",1.674241,13.47609,19919.4,42.13321,0.7567687,0,"NAN"
"2025-09-19 16:00:00",29,17.0203,39027.96,46045.91,29929.84,29.9199,"NAN","NAN","NAN",113.68,9.168149,-2.032701,"NAN",-1.400758,6.042051,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.703645,0.6209391,"NAN","NAN","NAN","NAN","NAN",0,1.543881,"NAN",2.129237,"NAN","NAN",1.638352,13.49187,46644.71,42.70085,0.7403338,0,"NAN"
"2025-09-19 17:00:00",30,16.97919,39069.91,46138.15,29989.8,29.98624,"NAN","NAN","NAN",113.5978,9.16548,-2.008865,"NAN",-1.384252,6.048352,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.168246,1.108564,"NAN","NAN","NAN","NAN","NAN",0,2.517314,"NAN",4.159086,"NAN","NAN",1.657304,13.49187,46740.45,42.93156,0.7628247,0,"NAN"
"2025-09-19 18:00:00",31,16.94711,39162.95,46281.51,30082.98,30.08966,"NAN","NAN","NAN",113.3856,9.14817,-2.01159,"NAN",-1.386013,6.045201,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.324938,1.160733,"NAN","NAN","NAN","NAN","NAN",0,2.716262,"NAN",4.573941,"NAN","NAN",1.625699,13.49976,46887.47,42.08926,0.7745377,0,"NAN"
"2025-09-19 19:00:00",32,16.83816,19613.11,23235.26,15102.92,14.10012,"NAN","NAN","NAN",112.3072,9.075234,1.154496,"NAN",0.7953848,6.048352,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.249088,1.13548,"NAN","NAN","NAN","NAN","NAN",0,2.228293,"NAN",3.556406,"NAN","NAN",1.657285,13.50371,23542.51,41.97208,0.7774763,0,"NAN"
