UnixTimestamp,Date(America/New_York),Time(America/New_York),ExternalTemp,SpConductivity_us,Pressure_abs,Turbidity,ODO,ODO_Sat,PH,PH_mV,Chlorophyll_ugL,Chlorophyll_RFU,BGA_PC_ugL,BGA_PC_RFU,BatteryVoltage,InternalHumidity,Latitude,LongitudeD=08/14/24,20:30:00,20.58797,44436.04,15.81594,NAN,9.090303,119.7475,8.238728,-72.0395,2.613046,0.6532615,NAN_1,NAN_2,13.30436,34,44.10991,-69.10593,Longitude(Inactive-1)
1720810800000,2024-12-07,03:00:00 54000000,15.47318,15729.92,15.84544,NAN,8.754039,105.7832,8.238114,-70.7505,0.7092702,0.1773176,NAN,NAN,13.41151,25,44.10997,,,,,,,,,,,,,,,,,,,-69.10596
1720811700000,2024-12-07,03:15:00 54900000,15.7273,47156.09,15.84409,NAN,8.794621,106.8122,8.225787,-70.10664,0.7164976,0.1791244,NAN,NAN,13.41948,25,44.11,,,,,,,,,,,,,,,,,,,-69.10592
1720812600000,2024-12-07,03:30:00 55800000,15.86796,47154.5,15.84204,NAN,8.805946,107.2446,8.230845,-70.42843,0.7763705,0.1940926,NAN,NAN,13.42141,25,44.11,,,,,,,,,,,,,,,,,,,-69.10592
1720813500000,2024-12-07,03:45:00 56700000,16.30588,47055.17,15.83839,NAN,8.802836,108.0998,8.233596,-70.69527,0.7830144,0.1957536,NAN,NAN,13.41779,25,44.11,,,,,,,,,,,,,,,,,,,-69.10592
1720814400000,2024-12-07,04:00:00 57600000,16.23928,47075.66,12.67402,NAN,8.855847,108.6357,8.261541,-72.27946,0.7638723,0.1909681,NAN,NAN,13.41249,24,44.11,,,,,,,,,,,,,,,,,,,-69.10592
1720815300000,2024-12-07,04:15:00 58500000,16.2148,47056.32,15.83539,NAN,8.877879,108.8389,8.238557,-70.9586,0.8688146,0.2172037,NAN,NAN,13.42141,24,44.10992,,,,,,,,,,,,,,,,,,,-69.10592
1720816200000,2024-12-07,04:30:00 59400000,16.28618,47126.26,15.83352,NAN,8.937346,109.7359,8.244945,-71.33972,0.9498368,0.2374592,NAN,NAN,13.41948,24,44.10992,,,,,,,,,,,,,,,,,,,-69.10592
1720817100000,2024-12-07,04:45:00 60300000,15.71567,47241.22,15.83441,NAN,8.956441,108.7972,8.239041,-70.86048,1.211094,0.3027735,NAN,NAN,13.42141,24,44.10992,,,,,,,,,,,,,,,,,,,-69.10592
1720818000000,2024-12-07,05:00:00 61200000,15.73353,17737.97,15.82994,NAN,9.013938,109.5209,8.268229,-72.53357,1.348167,0.3370418,NAN,NAN,13.40934,25,44.10992,,,,,,,,,,,,,,,,,,,-69.10592
1720818900000,2024-12-07,05:15:00 62100000,15.08894,47309.93,15.83507,NAN,9.333773,111.9948,8.264869,-72.18214,1.314038,0.3285094,NAN,NAN,13.42166,25,44.10996,,,,,,,,,,,,,,,,,,,-69.10589
1720819800000,2024-12-07,05:30:00 63000000,15.56098,47261.29,15.83508,NAN,9.162199,110.9589,8.25367,-71.65962,1.309496,0.3273739,NAN,NAN,13.42238,25,44.10996,,,,,,,,,,,,,,,,,,,-69.10589
1720820700000,2024-12-07,05:45:00 63900000,15.25331,47284.77,15.83477,NAN,9.200581,110.7579,8.258698,-71.87122,1.338793,0.3346982,NAN,NAN,13.41997,25,44.10996,,,,,,,,,,,,,,,,,,,-69.10589
1720821600000,2024-12-07,06:00:00 64800000,15.02819,34832.46,12.66794,NAN,9.23609,110.7013,8.284282,-73.27571,1.845846,0.4614614,NAN,NAN,13.4161,25,44.10996,,,,,,,,,,,,,,,,,,,-69.10589
1720822500000,2024-12-07,06:15:00 65700000,15.02766,47318.32,15.83394,NAN,9.194646,110.1983,8.258229,-71.78905,1.868314,0.4670785,NAN,NAN,13.42455,25,44.10994,,,,,,,,,,,,,,,,,,,-69.10587
1720823400000,2024-12-07,06:30:00 66600000,14.93455,47355.9,15.83708,NAN,9.256634,110.7535,8.266139,-72.21667,2.23031,0.5575774,NAN,NAN,13.41514,25,44.10994,,,,,,,,,,,,,,,,,,,-69.10587
1720824300000,2024-12-07,06:45:00 67500000,14.92988,47355.02,15.83573,NAN,9.354462,111.9187,8.275174,-72.73079,2.432564,0.6081411,NAN,NAN,13.44434,25,44.10994,,,,,,,,,,,,,,,,,,,-69.10587
1720825200000,2024-12-07,07:00:00 68400000,14.80906,25623.91,15.83546,NAN,9.289843,110.8832,8.284657,-73.24081,2.484128,0.6210319,NAN,NAN,13.44024,24,44.10994,,,,,,,,,,,,,,,,,,,-69.10587
1720826100000,2024-12-07,07:15:00 69300000,14.94741,47333.84,15.83749,NAN,9.250705,110.7102,8.263834,-72.08889,2.426621,0.6066553,NAN,NAN,13.39896,24,44.10992,,,,,,,,,,,,,,,,,,,-69.10589
1720827000000,2024-12-07,07:30:00 70200000,14.95836,47361.43,15.8397,NAN,9.369159,112.1629,8.279168,-72.96534,2.807713,0.7019283,NAN,NAN,13.34393,24,44.10992,,,,,,,,,,,,,,,,,,,-69.10589
1720827900000,2024-12-07,07:45:00 71100000,14.46068,47435.39,15.84178,NAN,9.384327,111.2555,8.273993,-72.54508,2.532133,0.6330332,NAN,NAN,13.34128,24,44.10992,,,,,,,,,,,,,,,,,,,-69.10589
1720828800000,2024-12-07,08:00:00 72000000,14.40298,25516.71,15.83678,NAN,9.372235,110.9565,8.294381,-73.69193,2.932074,0.7330185,NAN,NAN,13.30822,25,44.10992,,,,,,,,,,,,,,,,,,,-69.10589
1720829700000,2024-12-07,08:15:00 72900000,14.49005,47407.61,15.8434,NAN,9.34407,110.8254,8.271276,-72.39802,2.554132,0.6385329,NAN,NAN,13.31618,25,44.10993,,,,,,,,,,,,,,,,,,,-69.10592
1720830600000,2024-12-07,08:30:00 73800000,14.26823,47452.2,15.8448,NAN,9.341819,110.3079,8.267407,-72.12148,2.988074,0.7470185,NAN,NAN,13.31353,25,44.10993,,,,,,,,,,,,,,,,,,,-69.10592
1720831500000,2024-12-07,08:45:00 74700000,14.1257,47488.71,15.84671,NAN,9.334093,109.9234,8.263459,-71.86125,3.028527,0.7571316,NAN,NAN,13.3058,25,44.10993,,,,,,,,,,,,,,,,,,,-69.10592
1720832400000,2024-12-07,09:00:00 75600000,13.94378,34554.72,12.67726,NAN,9.209069,107.935,8.280526,-72.78615,3.809208,0.9523021,NAN,NAN,13.28577,25,44.10993,,,,,,,,,,,,,,,,,,,-69.10592
1720833300000,2024-12-07,09:15:00 76500000,13.9445,47273.39,15.84866,NAN,9.197117,107.8014,8.253818,-71.26793,4.314838,1.078709,NAN,NAN,13.29373,25,44.10988,,,,,,,,,,,,,,,,,,,-69.10593
1720834200000,2024-12-07,09:30:00 77400000,13.80517,47295.65,15.84975,NAN,9.175135,107.2517,8.252069,-71.13424,7.583367,1.895842,NAN,NAN,13.29084,25,44.10988,,,,,,,,,,,,,,,,,,,-69.10593
1720835100000,2024-12-07,09:45:00 78300000,14.17139,47238.64,15.84838,NAN,9.231004,108.6863,8.262766,-71.83356,4.18717,1.046793,NAN,NAN,13.2918,25,44.10988,,,,,,,,,,,,,,,,,,,-69.10593
1720836000000,2024-12-07,10:00:00 79200000,14.43019,26044.84,15.85041,NAN,9.288305,109.9402,8.288934,-73.38794,7.067775,1.766944,NAN,NAN,13.26718,26,44.10988,,,,,,,,,,,,,,,,,,,-69.10593
1720836900000,2024-12-07,10:15:00 80100000,14.52486,47209.7,15.85126,NAN,9.133378,108.307,8.258561,-71.68234,5.576204,1.394051,NAN,NAN,13.26742,26,44.10991,,,,,,,,,,,,,,,,,,,-69.1059
1720837800000,2024-12-07,10:30:00 81000000,14.72854,47239.42,15.85231,NAN,9.100726,108.3857,8.258812,-71.74716,5.395681,1.34892,NAN,NAN,13.28143,26,44.10991,,,,,,,,,,,,,,,,,,,-69.1059
1720838700000,2024-12-07,10:45:00 81900000,14.53078,47192.74,15.85388,NAN,8.969679,106.3732,8.244349,-70.87448,4.832917,1.208229,NAN,NAN,13.26549,26,44.10991,,,,,,,,,,,,,,,,,,,-69.1059
1720839600000,2024-12-07,11:00:00 82800000,15.07294,20498.26,15.85594,NAN,9.133446,109.4697,8.29002,-73.61449,3.11507,0.7787675,NAN,NAN,13.2539,26,44.10991,,,,,,,,,,,,,,,,,,,-69.1059
1720840500000,2024-12-07,11:15:00 83700000,15.02077,47137.45,15.85314,NAN,9.071375,108.6256,8.261503,-71.97393,3.136526,0.7841316,NAN,NAN,13.27129,26,44.10996,,,,,,,,,,,,,,,,,,,-69.10592
1720841400000,2024-12-07,11:30:00 84600000,14.81476,47152.44,15.85268,NAN,9.064872,108.1016,8.256698,-71.64842,3.520903,0.8802257,NAN,NAN,13.27249,26,44.10996,,,,,,,,,,,,,,,,,,,-69.10592
1720842300000,2024-12-07,11:45:00 85500000,14.70659,47171.93,15.85197,NAN,9.071617,107.9585,8.25321,-71.42271,4.673718,1.168429,NAN,NAN,13.27346,26,44.10996,,,,,,,,,,,,,,,,,,,-69.10592
1720843200000,2024-13-07,12:00:00 0,14.6981,33027.79,12.68124,NAN,9.048663,107.6559,8.273622,-72.58391,5.499027,1.374757,NAN,NAN,13.24232,26,44.10996,,,,,,,,,,,,,,,,,,,-69.10592
1720844100000,2024-13-07,12:15:00 900000,14.83871,47162.07,15.8489,NAN,9.015553,107.5684,8.250154,-71.28097,4.048267,1.012067,NAN,NAN,13.27104,26,44.10993,,,,,,,,,,,,,,,,,,,-69.1059
1720845000000,2024-13-07,12:30:00 1800000,14.9758,47110.29,15.8504,NAN,8.915366,106.6495,8.243804,-70.95309,5.17204,1.29301,NAN,NAN,13.24691,26,44.10993,,,,,,,,,,,,,,,,,,,-69.1059
1720845900000,2024-13-07,12:45:00 2700000,15.3487,47091.04,15.85037,NAN,8.87873,106.9965,8.247151,-71.23586,3.461364,0.8653409,NAN,NAN,13.26815,26,44.10993,,,,,,,,,,,,,,,,,,,-69.1059
1720846800000,2024-13-07,01:00:00 3600000,15.3535,19644.23,15.85194,NAN,8.857555,106.7524,8.265668,-72.29496,3.169337,0.7923343,NAN,NAN,13.24015,26,44.10993,,,,,,,,,,,,,,,,,,,-69.1059
1720847700000,2024-13-07,01:15:00 4500000,15.34563,47098.04,15.84923,NAN,8.795051,105.996,8.240161,-70.83582,3.178742,0.7946856,NAN,NAN,13.26669,26,44.10994,,,,,,,,,,,,,,,,,,,-69.1059
1720848600000,2024-13-07,01:30:00 5400000,15.15591,47123.67,15.84781,NAN,8.76021,105.1846,8.23407,-70.44177,2.860669,0.7151673,NAN,NAN,13.26259,26,44.10994,,,,,,,,,,,,,,,,,,,-69.1059
1720849500000,2024-13-07,01:45:00 6300000,15.40368,47096.66,15.8467,NAN,8.754176,105.6225,8.236312,-70.63015,2.635799,0.6589499,NAN,NAN,13.25052,26,44.10994,,,,,,,,,,,,,,,,,,,-69.1059
1720850400000,2024-13-07,02:00:00 7200000,15.43416,21822.34,15.84099,NAN,8.765595,105.8142,8.257264,-71.83494,2.567031,0.6417578,NAN,NAN,13.23966,26,44.10994,,,,,,,,,,,,,,,,,,,-69.1059
1720851300000,2024-13-07,02:15:00 8100000,15.53758,47084.13,15.83974,NAN,8.739952,105.7167,8.2349,-70.58223,2.306224,0.576556,NAN,NAN,13.26163,26,44.11003,,,,,,,,,,,,,,,,,,,-69.10606
