UnixTimestamp,Date(America/New_York),Time(America/New_York),ExternalTemp,SpConductivity_us,Pressure_abs,Turbidity,ODO,ODO_Sat,PH,PH_mV,Chlorophyll_ugL,Chlorophyll_RFU,BGA_PC_ugL,BGA_PC_RFU,BatteryVoltage,InternalHumidity,Latitude,LongitudeD=07/16/24,19:30:00,17.92846,46103.23,15.64482,NAN,9.766915,123.273,8.269485,-73.15983,8.130639,2.03266,NAN_1,NAN_2,13.34186,24,44.10994,-69.1059,Longitude(Inactive-1)
1720811700000,2024-12-07,03:15:00 54900000,15.90204,46793.77,15.84038,NAN,8.772927,106.7471,8.237152,-70.799,1.391896,0.3479741,NAN,NAN,13.40421,0,NAN,,,,,,,,,,,,,,,,,,,NAN
1720812600000,2024-12-07,03:30:00 55800000,15.99173,46720.87,15.84018,NAN,8.743424,106.5526,8.241705,-71.08231,1.498534,0.3746334,NAN,NAN,13.41294,0,NAN,,,,,,,,,,,,,,,,,,,NAN
1720813500000,2024-12-07,03:45:00 56700000,16.38943,46696.22,15.83712,NAN,8.749652,107.4558,8.242882,-71.24787,1.537931,0.3844827,NAN,NAN,13.40833,0,NAN,,,,,,,,,,,,,,,,,,,NAN
1720814400000,2024-12-07,04:00:00 57600000,16.13718,46726.39,15.8317,NAN,8.804794,107.6143,8.258454,-72.07772,1.534794,0.3836984,NAN,NAN,13.40881,23,NAN,,,,,,,,,,,,,,,,,,,NAN
1720815300000,2024-12-07,04:15:00 58500000,16.06059,46789,15.8336,NAN,8.868227,108.2352,8.246871,-71.3924,1.613939,0.4034848,NAN,NAN,13.41366,23,44.10998,,,,,,,,,,,,,,,,,,,-69.10587
1720816200000,2024-12-07,04:30:00 59400000,16.34867,46767.55,15.83204,NAN,8.892031,109.1361,8.252581,-71.7924,1.749937,0.4374842,NAN,NAN,13.41294,23,44.10998,,,,,,,,,,,,,,,,,,,-69.10587
1720817100000,2024-12-07,04:45:00 60300000,15.39862,46928.47,15.8314,NAN,8.971977,108.1146,8.248126,-71.29916,2.152125,0.5380313,NAN,NAN,13.41245,23,44.10998,,,,,,,,,,,,,,,,,,,-69.10587
1720818000000,2024-12-07,05:00:00 61200000,15.45482,46785.28,12.66687,NAN,8.951911,107.9818,8.273166,-72.74839,2.180068,0.5450169,NAN,NAN,13.40566,22,44.10998,,,,,,,,,,,,,,,,,,,-69.10587
1720818900000,2024-12-07,05:15:00 62100000,15.00957,46903.43,15.83152,NAN,9.291396,111.1298,8.272565,-72.60207,2.123295,0.5308238,NAN,NAN,13.41342,22,44.10993,,,,,,,,,,,,,,,,,,,-69.10593
1720819800000,2024-12-07,05:30:00 63000000,14.93641,46947.8,15.83202,NAN,9.36655,111.861,8.274002,-72.66483,2.223905,0.5559762,NAN,NAN,13.4156,22,44.10993,,,,,,,,,,,,,,,,,,,-69.10593
1720820700000,2024-12-07,05:45:00 63900000,15.08044,46965.52,15.83215,NAN,9.212036,110.3484,8.266085,-72.24783,2.342414,0.5856034,NAN,NAN,13.38553,22,44.10993,,,,,,,,,,,,,,,,,,,-69.10593
1720821600000,2024-12-07,06:00:00 64800000,15.0461,46922.68,12.66673,NAN,9.189548,109.985,8.28723,-73.44817,2.63612,0.65903,NAN,NAN,13.40396,22,44.10993,,,,,,,,,,,,,,,,,,,-69.10593
1720822500000,2024-12-07,06:15:00 65700000,14.94721,46928.71,15.83321,NAN,9.159698,109.4197,8.265028,-72.15736,2.80129,0.7003226,NAN,NAN,13.41536,22,44.10985,,,,,,,,,,,,,,,,,,,-69.10595
1720823400000,2024-12-07,06:30:00 66600000,14.97881,46955.55,15.83564,NAN,9.193409,109.8943,8.269828,-72.43834,2.921417,0.7303542,NAN,NAN,13.41391,22,44.10985,,,,,,,,,,,,,,,,,,,-69.10595
1720824300000,2024-12-07,06:45:00 67500000,14.97308,46958.22,15.83362,NAN,9.297412,111.1318,8.279511,-72.98912,3.139805,0.7849513,NAN,NAN,13.4338,22,44.10985,,,,,,,,,,,,,,,,,,,-69.10595
1720825200000,2024-12-07,07:00:00 68400000,14.84003,46964.02,12.66864,NAN,9.234832,110.1042,8.290438,-73.57825,3.122265,0.7805663,NAN,NAN,13.40978,22,44.10985,,,,,,,,,,,,,,,,,,,-69.10595
