"TOA5","Wynken","CR300","36594","CR300-CELL210.Std.11.02","CPU:wynken_250425.dld","61854","Ai1"
"TIMESTAMP","RECORD","BatteryVoltage","InternalTemperature","InternalHumidity","CurrentAverage","CurrentMaximum","SensorHoldPowerOn","ProcessingTime","SerialNumber","DataloggerOSVersion","Ai1OSVersion","ProgramSignature","ProgramCounter","StartUpCode","WatchdogErrors","SkippedScans","MemoryFree","CellUsageToday","CellUsageThisMonth","CellRSSI","CellNetBand","Latitude","Longitude","GPSSatellitesInView","Pressure_mH2O","ReadAttempts_Max"
"TS","RN","Volts","°C","%","mA (-=Charge, +=Discharge)","mA (-=Charge, +=Discharge)","True = Keep Sensor On","µS","","","","(0-65535)","Cycles","(0=Ok, -1=Power, -2=Watchdog)","Errors Since Compile","Scans Skipped","Bytes","kB","kB","dBm","","Decimal Degrees (N=+,S=-)","Decimal Degrees (E=+,W=-)","GPS Satellites visible","mH2O",""
"","","Smp","Smp","Smp","Avg:mA","Max:mA","Smp","Smp","Smp","Smp","Smp","Smp:0-65535)","Smp","Smp:0=Ok","Smp:Watchdog Errors Since Compile","Smp:Scans Skipped","Smp:Bytes","Smp:kB","Smp:kB","Smp:dBm","Smp:band","Smp","Smp","Smp","Smp","Max"
"2025-04-24 17:00:00",0,13.83,14.95,48,0.84,84,0,414,36594,11.02,0.75,61854,99,0,0,0,25768,1346,16002,-91,4,0,0,0,-13.01,0
"2025-04-24 18:00:00",1,13.85,14.72,49,84,84,0,420,36594,11.02,0.75,61854,819,0,0,1,25768,1618,16274,-91,4,44.0433,-68.89223,4,-13.01,1
"2025-04-24 19:00:00",2,13.77,11.76,49,76.09,141,0,414,36594,11.02,0.75,61854,1539,0,0,2,25768,1689,16346,-89,4,44.04328,-68.89219,4,-13.01,1
"2025-04-24 20:00:00",3,13.39,10,50,141,141,0,420,36594,11.02,0.75,61854,2259,0,0,3,25768,1785,16441,-77,13,44.04333,-68.89221,4,0.076,1
"2025-04-24 21:00:00",4,13.23,9.26,51,126,126,0,414,36594,11.02,0.75,61854,2979,0,0,4,25768,1847,16504,-91,4,44.04334,-68.89212,6,0.076,1
"2025-04-24 22:00:00",5,13.17,9.07,52,122,122,0,414,36594,11.02,0.75,61854,3699,0,0,5,25768,1917,16574,0,4,44.04331,-68.89216,4,0.076,1
"2025-04-24 23:00:00",6,13.15,9.43,52,122.1,170,0,414,36594,11.02,0.75,61854,4419,0,0,6,25768,1978,16635,-77,13,44.04328,-68.89218,4,0.08,1
"2025-04-25 00:00:00",7,13.16,9.12,52,169.9,170,0,421,36594,11.02,0.75,61854,5139,0,0,7,25768,0.085,16697,-89,4,44.04331,-68.89214,6,0.08,1
"2025-04-25 01:00:00",8,13.13,8.96,51,127,129,0,420,36594,11.02,0.75,61854,5859,0,0,8,25768,56.81,16753,-89,4,44.04324,-68.89214,4,0.074,1
"2025-04-25 02:00:00",9,13.14,9.2,52,129.1,170,0,414,36594,11.02,0.75,61854,6579,0,0,9,25768,112.4,16809,-79,13,44.04327,-68.89223,4,0.074,1
"2025-04-25 03:00:00",10,13.14,8.89,52,170,170,0,421,36594,11.02,0.75,61854,7299,0,0,10,25768,168.3,16865,-91,4,44.04329,-68.89224,4,0.069,1
"2025-04-25 04:00:00",11,13.16,8.53,52,163,163,0,421,36594,11.02,0.75,61854,8019,0,0,11,25768,230.3,16927,-91,4,44.04329,-68.89223,7,0.069,1
"2025-04-25 05:00:00",12,13.13,8.65,52,154,156,0,422,36594,11.02,0.75,61854,8739,0,0,12,25768,284.3,16981,-91,4,44.0433,-68.89223,6,0.068,1
"2025-04-25 06:00:00",13,13.16,8.89,52,156,156,0,421,36594,11.02,0.75,61854,9459,0,0,13,25768,345.5,17042,-85,4,44.0433,-68.89222,5,0.068,1
"2025-04-25 07:00:00",14,13.24,9.65,51,121,121,0,421,36594,11.02,0.75,61854,10179,0,0,14,25768,406.6,17103,-91,4,44.04334,-68.89223,4,0.069,1
"2025-04-25 08:00:00",15,13.63,13.3,51,111.7,112,0,420,36594,11.02,0.75,61854,10899,0,0,15,25768,465.4,17162,-87,4,44.04332,-68.89223,4,0.069,1
"2025-04-25 09:00:00",16,13.58,15.16,50,-105.9,-64,0,421,36594,11.02,0.75,61854,11619,0,0,16,25768,522.6,17219,-81,13,44.04338,-68.89185,4,0.083,1
"2025-04-25 10:00:00",17,13.84,14.62,51,-63.87,29,0,414,36594,11.02,0.75,61854,12339,0,0,17,25768,605.8,17302,-51,13,44.04333,-68.89211,6,0.085,1
"2025-04-25 11:00:00",18,13.85,15.17,51,29.01,35,0,413,36594,11.02,0.75,61854,13059,0,0,18,25768,672.4,17369,-81,13,44.04329,-68.89213,6,0.098,1
