"TOA5","Wynken","CR300","36592","CR300-CELL210.Std.11.02","CPU:wynken.250617.dld","19820","Ai1"
"TIMESTAMP","RECORD","BatteryVoltage","InternalTemperature","InternalHumidity","CurrentAverage","CurrentMaximum","SensorHoldPowerOn","ProcessingTime","SerialNumber","DataloggerOSVersion","Ai1OSVersion","ProgramSignature","ProgramCounter","StartUpCode","WatchdogErrors","SkippedScans","MemoryFree","CellUsageToday","CellUsageThisMonth","CellRSSI","CellNetBand","Latitude","Longitude","GPSSatellitesInView","Pressure_mH2O","ReadAttempts_Max"
"TS","RN","Volts","°C","%","mA (-=Charge, +=Discharge)","mA (-=Charge, +=Discharge)","True = Keep Sensor On","µS","","","","(0-65535)","Cycles","(0=Ok, -1=Power, -2=Watchdog)","Errors Since Compile","Scans Skipped","Bytes","kB","kB","dBm","","Decimal Degrees (N=+,S=-)","Decimal Degrees (E=+,W=-)","GPS Satellites visible","mH2O",""
"","","Smp","Smp","Smp","Avg:mA","Max:mA","Smp","Smp","Smp","Smp","Smp","Smp:0-65535)","Smp","Smp:0=Ok","Smp:Watchdog Errors Since Compile","Smp:Scans Skipped","Smp:Bytes","Smp:kB","Smp:kB","Smp:dBm","Smp:band","Smp","Smp","Smp","Smp","Max"
"2025-06-17 12:00:00",0,13.65,22.45,42,-0.101,0,0,414,36592,11.02,0.75,19820,662,0,0,0,29440,1190,22418,-77,13,44.04329,-68.8922,0,-13.01,0
"2025-06-17 13:00:00",1,13.69,21.29,42,-67,-67,0,421,36592,11.02,0.75,19820,1382,0,0,1,29440,1364,22592,-77,13,44.04337,-68.89225,7,-13.01,1
"2025-06-17 14:00:00",2,13.67,21.54,42,-69.98,-56,0,420,36592,11.02,0.75,19820,2102,0,0,2,29440,1545,22772,-79,13,44.04337,-68.89233,5,-13.01,1
"2025-06-17 15:00:00",3,13.69,21.57,42,-56.01,-56,0,414,36592,11.02,0.75,19820,2822,0,0,3,29440,1717,22945,-73,13,44.04334,-68.89225,4,0.05,1
"2025-06-17 16:00:00",4,13.69,21.7,43,-64,-61,0,421,36592,11.02,0.75,19820,3542,0,0,4,29440,1899,23126,-75,13,44.04331,-68.89233,4,0.05,1
"2025-06-17 17:00:00",5,13.69,20.63,43,-61,-59,0,414,36592,11.02,0.75,19820,4262,0,0,5,29440,2054,23282,-77,13,44.04331,-68.89224,4,0.05,1
"2025-06-17 18:00:00",6,13.69,19.72,43,-58.99,-53,0,420,36592,11.02,0.75,19820,4982,0,0,6,29440,2114,23341,-75,13,44.04332,-68.89219,4,0.046,1
"2025-06-17 19:00:00",7,13.68,17.45,43,-52.93,-3,0,413,36592,11.02,0.75,19820,5702,0,0,7,29440,2173,23400,-85,4,44.04333,-68.89219,5,0.046,1
"2025-06-17 20:00:00",8,13.46,16.67,44,-2.988,6,0,414,36592,11.02,0.75,19820,6422,0,0,8,29440,2228,23456,-77,13,44.04332,-68.89217,4,0.046,1
"2025-06-17 21:00:00",9,13.3,15.76,44,5.994,6,0,421,36592,11.02,0.75,19820,7142,0,0,9,29440,2282,23509,-73,13,44.04334,-68.89212,5,0.046,1
"2025-06-17 22:00:00",10,13.2,15.18,45,2.042,32,0,414,36592,11.02,0.75,19820,7862,0,0,10,29440,2340,23567,-79,13,44.04333,-68.89226,5,0.031,1
"2025-06-17 23:00:00",11,13.23,14.91,45,31.96,32,0,420,36592,11.02,0.75,19820,8582,0,0,11,29440,2399,23626,-81,13,44.04339,-68.89231,4,0.031,1
"2025-06-18 00:00:00",12,13.21,15.03,45,0.017,12,0,421,36592,11.02,0.75,19820,9302,0,0,12,29440,0,23685,-79,13,44.04338,-68.89228,4,0.025,1
"2025-06-18 01:00:00",13,13.23,14.49,45,11.98,12,0,413,36592,11.02,0.75,19820,10022,0,0,13,29440,57.1,23742,-81,13,44.04338,-68.89228,4,0.025,1
"2025-06-18 02:00:00",14,13.21,15.3,45,1.017,13,0,414,36592,11.02,0.75,19820,10742,0,0,14,29440,126.5,23812,-77,13,44.04336,-68.89229,4,0.025,1
"2025-06-18 03:00:00",15,13.21,15.6,45,12.99,13,0,413,36592,11.02,0.75,19820,11462,0,0,15,29440,198.6,23884,-79,13,44.04332,-68.89227,4,0.025,1
"2025-06-18 04:00:00",16,13.2,15.89,45,6.047,40,0,420,36592,11.02,0.75,19820,12182,0,0,16,29440,264.2,23949,-81,13,44.04332,-68.89222,4,0,1
"2025-06-18 05:00:00",17,13.22,15.98,45,39.95,40,0,413,36592,11.02,0.75,19820,12902,0,0,17,29440,333.6,24019,-75,13,44.04332,-68.89222,4,0,1
"2025-06-18 06:00:00",18,13.22,16.26,45,5.029,26,0,420,36592,11.02,0.75,19820,13622,0,0,18,29440,400.9,24086,-77,13,44.04334,-68.89224,4,-0.002,1
