"TOA5","Wynken","CR300","36592","CR300-CELL210.11.3.0","CPU:wynken.260512.dld","64778","Ai1"
"TIMESTAMP","RECORD","BatteryVoltage","InternalTemperature","InternalHumidity","CurrentAverage","CurrentMaximum","ProcessingTime","SerialNumber","DataloggerOSVersion","Ai1OSVersion","ProgramSignature","ProgramCounter","StartUpCode","WatchdogErrors","SkippedScans","MemoryFree","CellUsageToday","CellUsageThisMonth","CellRSSI","CellNetBand","Latitude","Longitude","GPSSatellitesInView","Pressure_mH2O","ReadAttempts_Max"
"TS","RN","Volts","°C","%","mA (-=Charge, +=Discharge)","mA (-=Charge, +=Discharge)","µS","","","","(0-65535)","Cycles","(0=Ok, -1=Power, -2=Watchdog)","Errors Since Compile","Scans Skipped","Bytes","kB","kB","dBm","","Decimal Degrees (N=+,S=-)","Decimal Degrees (E=+,W=-)","GPS Satellites visible","mH2O",""
"","","Smp","Smp","Smp","Avg:mA","Max:mA","Smp","Smp","Smp","Smp","Smp:0-65535)","Smp","Smp:0=Ok","Smp:Watchdog Errors Since Compile","Smp:Scans Skipped","Smp:Bytes","Smp:kB","Smp:kB","Smp:dBm","Smp:band","Smp","Smp","Smp","Smp","Max"
"2026-05-12 14:00:00",0,13.58,21.08,38,0.133,96,204,36592,1.3,0.75,64778,719,0,0,0,27560,25.8,25,-79,13,0,0,0,0.006,0
"2026-05-12 15:00:00",1,13.69,20.03,34,95.8,96,204,36592,1.3,0.75,64778,1439,0,0,1,27560,129.1,129,-77,4,44.03441,-68.88677,4,0.006,1
"2026-05-12 16:00:00",2,13.76,17.4,35,-30.06,-30,205,36592,1.3,0.75,64778,2159,0,0,2,27560,222.9,222,-83,4,44.03441,-68.88677,4,0.006,1
"2026-05-12 17:00:00",3,13.77,15.73,36,-69.99,-65,211,36592,1.3,0.75,64778,2879,0,0,3,27560,302.6,302,-85,4,44.04354,-68.89223,4,0.006,1
"2026-05-12 18:00:00",4,13.79,14.57,37,-64.97,-41,204,36592,1.3,0.75,64778,3599,0,0,4,27560,388.8,388,-83,4,44.04356,-68.89231,4,-0.102,1
"2026-05-12 19:00:00",5,13.79,14.27,37,-40.94,1,204,36592,1.3,0.75,64778,4319,0,0,5,27560,475.5,475,-77,4,44.04367,-68.89221,4,-0.102,1
"2026-05-12 20:00:00",6,13.44,12.43,38,1.103,75,212,36592,1.3,0.75,64778,5039,0,0,6,27560,556.9,556,-75,4,44.04354,-68.89224,4,-0.102,1
"2026-05-12 21:00:00",7,13.29,11.68,38,74.93,75,211,36592,1.3,0.75,64778,5759,0,0,7,27560,642.5,642,-75,4,44.04356,-68.89225,5,-0.102,1
"2026-05-12 22:00:00",8,13.21,11.51,38,25.02,36,212,36592,1.3,0.75,64778,6479,0,0,8,27560,742.8,742,-77,4,44.04354,-68.89223,6,-0.074,1
"2026-05-12 23:00:00",9,13.17,10.52,38,36.02,53,204,36592,1.3,0.75,64778,7199,0,0,9,27560,838,837,-77,4,"NAN","NAN",4,-0.022,1
"2026-05-13 00:00:00",10,13.15,9.94,38,53.02,67,204,36592,1.3,0.75,64778,7919,0,0,10,27560,0,962,-77,4,44.04356,-68.89222,6,0.011,1
"2026-05-13 01:00:00",11,13.15,10.17,39,67.01,71,204,36592,1.3,0.75,64778,8639,0,0,11,27560,94.7,1057,-81,4,44.04354,-68.89222,4,0.011,1
"2026-05-13 02:00:00",12,13.17,9.69,39,70.9,71,204,36592,1.3,0.75,64778,9359,0,0,12,27560,195.7,1158,-77,4,44.04352,-68.89222,4,0.012,1
"2026-05-13 03:00:00",13,13.17,8.87,39,-3,-3,204,36592,1.3,0.75,64778,10079,0,0,13,27560,284.8,1247,-83,4,44.04354,-68.89226,4,0.013,1
"2026-05-13 04:00:00",14,13.15,8.13,39,-3.004,-3,204,36592,1.3,0.75,64778,10799,0,0,14,27560,378.9,1341,-75,13,"NAN","NAN",4,0.02,1
"2026-05-13 05:00:00",15,13.15,8.03,39,-6,-6,204,36592,1.3,0.75,64778,11519,0,0,15,27560,466.5,1428,-73,13,44.04356,-68.89218,4,0.02,1
"2026-05-13 06:00:00",16,13.2,8.99,38,-6.039,-6,204,36592,1.3,0.75,64778,12239,0,0,16,27560,554.9,1517,-77,13,"NAN","NAN",4,0.022,1
"2026-05-13 07:00:00",17,13.37,10.06,38,-34.06,-34,204,36592,1.3,0.75,64778,12959,0,0,17,27560,642.2,1604,-75,13,"NAN","NAN",4,0.022,1
"2026-05-13 08:00:00",18,13.64,16.14,38,-78.24,-78,212,36592,1.3,0.75,64778,13679,0,0,18,27560,719.8,1682,-75,4,44.04354,-68.89228,5,0.027,1
"2026-05-13 09:00:00",19,13.77,16.33,38,-250,-229,204,36592,1.3,0.75,64778,14399,0,0,19,27560,798.7,1761,-73,4,44.04356,-68.89224,5,0.033,1
"2026-05-13 10:00:00",20,13.79,16.26,38,-228.8,-64,204,36592,1.3,0.75,64778,15119,0,0,20,27560,877,1839,-75,4,"NAN","NAN",4,0.033,1
"2026-05-13 11:00:00",21,13.79,14.41,38,-63.97,-43,204,36592,1.3,0.75,64778,15839,0,0,21,27560,961,1923,-75,4,44.04357,-68.89218,4,0.033,1
"2026-05-13 12:00:00",22,13.82,12.9,38,-43.06,-43,204,36592,1.3,0.75,64778,16559,0,0,22,27560,1036,1997,-79,4,44.04351,-68.8922,5,0.033,1
"2026-05-13 13:00:00",23,13.86,12.77,38,-89,-80,212,36592,1.3,0.75,64778,17279,0,0,23,27560,1119,2081,-83,4,44.04368,-68.89221,4,0.033,1
"2026-05-13 14:00:00",24,13.88,13.24,37,-80,-80,204,36592,1.3,0.75,64778,17999,0,0,24,27560,1197,2159,-73,13,44.04359,-68.89224,4,0.032,1
"2026-05-13 15:00:00",25,13.88,13.01,37,-85,-80,204,36592,1.3,0.75,64778,18719,0,0,25,27560,1280,2242,-75,13,44.04364,-68.8923,4,0.032,1
"2026-05-13 16:00:00",26,13.89,11.68,38,-79.96,-54,204,36592,1.3,0.75,64778,19439,0,0,26,27560,1361,2323,-77,13,44.04354,-68.89234,4,0.032,1
"2026-05-13 17:00:00",27,13.83,11.17,38,-53.97,-34,204,36592,1.3,0.75,64778,20159,0,0,27,27560,1439,2401,-85,4,44.04356,-68.89228,4,0.032,1
"2026-05-13 18:00:00",28,13.86,11.33,38,-34.03,-34,204,36592,1.3,0.75,64778,20879,0,0,28,27560,1516,2478,-79,4,44.04356,-68.89228,4,0.008,1
"2026-05-13 19:00:00",29,13.54,10.82,38,-53.94,-12,204,36592,1.3,0.75,64778,21599,0,0,29,27560,1588,2550,-77,13,44.04359,-68.8923,4,0.003,1
"2026-05-13 20:00:00",30,13.33,10.47,38,-12,-10,211,36592,1.3,0.75,64778,22319,0,0,30,27560,1671,2633,-81,4,44.04359,-68.89225,4,0.003,1
"2026-05-13 21:00:00",31,13.2,10.66,38,-9.97,10,204,36592,1.3,0.75,64778,23039,0,0,31,27560,1753,2715,-77,4,44.04359,-68.89225,4,-0.002,1
"2026-05-13 22:00:00",32,13.16,10.71,39,10.02,24,204,36592,1.3,0.75,64778,23759,0,0,32,27560,1838,2800,-79,4,44.0437,-68.89209,4,-0.002,1
"2026-05-13 23:00:00",33,13.18,10.88,39,23.98,24,204,36592,1.3,0.75,64778,24479,0,0,33,27560,1920,2882,-79,4,44.04357,-68.8922,4,-0.007,1
"2026-05-14 00:00:00",34,13.19,10.92,39,11.99,12,211,36592,1.3,0.75,64778,25199,0,0,34,27560,0.061,2962,-81,4,44.04359,-68.89227,4,-0.007,1
"2026-05-14 01:00:00",35,13.14,11.17,39,6.04,35,204,36592,1.3,0.75,64778,25919,0,0,35,27560,81.9,3044,-85,4,44.04356,-68.89221,4,-0.007,1
"2026-05-14 02:00:00",36,13.19,11.35,39,34.94,35,204,36592,1.3,0.75,64778,26639,0,0,36,27560,172.8,3135,-79,13,44.04356,-68.89224,6,-0.007,1
"2026-05-14 03:00:00",37,13.18,11.36,39,-4.992,1,204,36592,1.3,0.75,64778,27359,0,0,37,27560,264.6,3226,-79,13,44.04359,-68.89229,4,-0.012,1
"2026-05-14 04:00:00",38,13.15,11.36,39,1.008,7,204,36592,1.3,0.75,64778,28079,0,0,38,27560,390.8,3353,-83,4,44.04359,-68.89229,4,-0.012,1
"2026-05-14 05:00:00",39,13.15,11.08,39,7.029,28,204,36592,1.3,0.75,64778,28799,0,0,39,27560,493.4,3455,-79,4,44.04358,-68.89229,4,-0.015,1
"2026-05-14 06:00:00",40,13.33,12.39,38,27.83,28,204,36592,1.3,0.75,64778,29519,0,0,40,27560,596.2,3558,-79,13,44.04356,-68.89232,4,-0.015,1
"2026-05-14 07:00:00",41,13.35,12.49,39,-96,-69,205,36592,1.3,0.75,64778,30239,0,0,41,27560,685.5,3647,-81,4,44.04363,-68.8923,4,-0.015,1
"2026-05-14 08:00:00",42,13.62,14.17,38,-69.26,-69,204,36592,1.3,0.75,64778,30959,0,0,42,27560,775.7,3738,-81,4,44.04359,-68.8923,4,-0.015,1
"2026-05-14 09:00:00",43,13.64,15.69,38,-258,-224,204,36592,1.3,0.75,64778,31679,0,0,43,27560,870,3832,-83,4,44.04349,-68.89224,4,-0.015,1
"2026-05-14 10:00:00",44,13.83,14.86,38,-223.8,-85,204,36592,1.3,0.75,64778,32399,0,0,44,27560,954,3916,-79,4,44.04354,-68.89224,4,-0.015,1
"2026-05-14 11:00:00",45,13.82,15.83,38,-85,-77,204,36592,1.3,0.75,64778,33119,0,0,45,27560,1039,4001,-81,4,44.04354,-68.89224,4,-0.019,1
"2026-05-14 12:00:00",46,13.8,16.24,38,-76.99,-72,204,36592,1.3,0.75,64778,33839,0,0,46,27560,1130,4092,-75,4,44.04354,-68.89224,4,-0.019,1
"2026-05-14 13:00:00",47,13.8,16.51,38,-72.02,-72,204,36592,1.3,0.75,64778,34559,0,0,47,27560,1223,4185,-81,4,44.04356,-68.8923,4,-0.021,1
"2026-05-14 14:00:00",48,13.8,17.34,37,-87,-83,204,36592,1.3,0.75,64778,35279,0,0,48,27560,1310,4272,-83,4,44.04359,-68.89227,5,-0.021,1
"2026-05-14 15:00:00",49,13.77,15.85,37,-83,-83,211,36592,1.3,0.75,64778,35999,0,0,49,27560,1398,4360,-81,4,44.04362,-68.8923,4,-0.032,1
"2026-05-14 16:00:00",50,13.8,14.87,37,-88,-74,205,36592,1.3,0.75,64778,36719,0,0,50,27560,1488,4450,-75,4,44.0436,-68.89242,4,-0.032,1
"2026-05-14 17:00:00",51,13.8,13.07,38,-73.95,-40,204,36592,1.3,0.75,64778,37439,0,0,51,27560,1569,4531,-83,4,44.0436,-68.89242,4,-0.044,1
