"TOA5","Wynken","CR300","36592","CR300-CELL210.11.3.0","CPU:wynken.260512.dld","64778","SondeValues"
"TIMESTAMP","RECORD","External_Temp","Conductivity_us","SpConductivity_us","TDS","Salinity","PH_mV","PH","ORP","ODO_Sat","ODO","Pressure_abs","Pressure_gauge","Depth","Sonde_Battery","Turbidity","Ammonia_NH3","Ammonium_NH4","DateTime","Nitrate_NO3_mV","Nitrate_NO3_mgL","Ammonium_NH4plus","Chloride_mgL","Chloride_mV","Turbidity_TSS","Chlorophyll_ugL","Chlorophyll_RFU","PAR_1","PAR_2","Rhodamine_ugL","BGA_PC_cellsmL","BGA_PC_RFU","BGA_PE_cellsmL","BGA_PE_RFU","BGA_PC_ugL","BGA_PE_ugL","fDOM_RFU","fDOM_QSU","WiperPosition","Sonde_External_Voltage","Conductivity_nLF","WiperPeakCurrent","Pressure_Vert_Pos","Chlorophyll","NitraLED"
"TS","RN","DegreesC","us/cm","us/cm","mg/L","ppm","mV","PH","mV","%","mg/L","psi","psi","m","V","FNU","","mg/L","","mV","mg/L","mV","mg/L","mV","TSS","ug/L","RFU","uMoles/m2/s","uMoles/m2/s","ug/L","cells/mL","RFU","cells/mL","RFU","ug/L","ug/L","RFU","QSU","Volts","V","us/cm","mA","m","cells/mL","mg/L"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-05-12 14:00:00",0,13.81745,-0.1057164,-0.1344292,-0.08737898,-0.0002157353,"NAN","NAN","NAN","NAN","NAN",-0.2558165,"NAN",-0.1799962,2.728059,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.5909047,0.2348712,"NAN","NAN","NAN","NAN","NAN",0,0.07227606,"NAN",-0.9856879,"NAN","NAN",0.8339208,13.73653,-0.1366042,62.04074,-0.1848597,0,"NAN"
"2026-05-12 15:00:00",1,7.672319,29.42883,43.98656,28.59127,0.01968776,"NAN","NAN","NAN","NAN","NAN",-1.675385,"NAN",-1.178103,2.732784,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.7935014,0.303757,"NAN","NAN","NAN","NAN","NAN",0,0.721225,"NAN",0.4716333,"NAN","NAN",1.648478,13.4603,44.74028,34.40238,-0.1688722,0,"NAN"
"2026-05-12 16:00:00",2,7.215671,32188.01,48746.12,31684.98,31.41274,"NAN","NAN","NAN","NAN","NAN",0.9029417,"NAN",0.6242863,2.740659,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.8899945,0.336566,"NAN","NAN","NAN","NAN","NAN",0,1.011076,"NAN",1.122542,"NAN","NAN",1.669462,13.64577,49567.86,36.25544,0.6060448,0,"NAN"
"2026-05-12 17:00:00",3,7.182654,32113.56,48679.88,31641.92,31.36227,"NAN","NAN","NAN","NAN","NAN",-0.6186342,"NAN",-0.4245489,2.740659,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.272976,0.8067991,"NAN","NAN","NAN","NAN","NAN",0,2.011314,"NAN",3.36874,"NAN","NAN",1.646519,13.65761,49499.41,40.11169,0.6238598,0,"NAN"
"2026-05-12 18:00:00",4,7.136477,32040.7,48634.44,31612.39,31.32536,"NAN","NAN","NAN","NAN","NAN",0.8970861,"NAN",0.6156542,2.737509,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.877453,0.6723157,"NAN","NAN","NAN","NAN","NAN",0,1.320933,"NAN",1.818377,"NAN","NAN",1.686162,13.65761,49451.67,36.05402,0.6004049,0,"NAN"
"2026-05-12 19:00:00",5,7.06845,31970.33,48623.54,31605.3,31.3109,"NAN","NAN","NAN","NAN","NAN",-0.6163301,"NAN",-0.4229783,2.735934,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.079458,0.7410002,"NAN","NAN","NAN","NAN","NAN",0,1.694571,"NAN",2.657441,"NAN","NAN",1.669224,13.65366,49438.25,36.50446,0.6235855,0,"NAN"
"2026-05-12 20:00:00",6,7.042553,31973.27,48664.61,31631.99,31.33762,"NAN","NAN","NAN","NAN","NAN",0.9680815,"NAN",0.6643627,2.735934,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.207511,0.7845402,"NAN","NAN","NAN","NAN","NAN",0,2.422021,"NAN",4.291049,"NAN","NAN",1.669462,13.61026,49479.11,36.45319,0.6796525,0,"NAN"
"2026-05-12 21:00:00",7,7.242544,32064.53,48521.4,31538.91,31.25502,"NAN","NAN","NAN","NAN","NAN",-0.585722,"NAN",-0.4019984,2.734359,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.695574,1.290502,"NAN","NAN","NAN","NAN","NAN",0,2.733642,"NAN",4.990845,"NAN","NAN",1.636411,13.32613,49340.22,36.4239,0.6627484,0,"NAN"
"2026-05-12 22:00:00",8,7.265424,32077.88,48509.53,31531.19,31.24874,"NAN","NAN","NAN","NAN","NAN",0.9552021,"NAN",0.6555871,2.732784,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.18469,0.7767806,"NAN","NAN","NAN","NAN","NAN",0,2.310219,"NAN",4.03998,"NAN","NAN",1.669261,13.06964,49328.89,36.59968,0.6570089,0,"NAN"
"2026-05-12 23:00:00",9,6.869254,31831.57,48694.26,31651.27,31.34139,"NAN","NAN","NAN","NAN","NAN",-0.5927076,"NAN",-0.4067465,2.732784,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.706841,0.9543194,"NAN","NAN","NAN","NAN","NAN",0,1.561999,"NAN",2.359729,"NAN","NAN",1.632547,13.08147,49502.98,36.40559,0.6467801,0,"NAN"
"2026-05-13 00:00:00",10,6.929378,31842.85,48626.09,31606.96,31.29889,"NAN","NAN","NAN","NAN","NAN",0.9336214,"NAN",0.6407236,2.732784,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.843566,0.6607935,"NAN","NAN","NAN","NAN","NAN",0,2.91394,"NAN",5.395734,"NAN","NAN",1.743859,13.1012,49435.89,36.14191,0.6294616,0,"NAN"
"2026-05-13 01:00:00",11,6.945805,31885.65,48668.14,31634.29,31.3305,"NAN","NAN","NAN","NAN","NAN",-0.6133204,"NAN",-0.4208996,2.729634,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.304822,0.8176271,"NAN","NAN","NAN","NAN","NAN",0,1.496669,"NAN",2.21302,"NAN","NAN",1.636576,13.0578,49479.24,36.09064,0.6360106,0,"NAN"
"2026-05-13 02:00:00",12,6.890438,31858.64,48705.52,31658.58,31.35156,"NAN","NAN","NAN","NAN","NAN",0.9249563,"NAN",0.6347478,2.731209,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.918777,1.02638,"NAN","NAN","NAN","NAN","NAN",0,2.840811,"NAN",5.23151,"NAN","NAN",1.791797,13.02623,49515.21,40.43397,0.6200099,0,"NAN"
"2026-05-13 03:00:00",13,6.966293,31867.84,48611.92,31597.75,31.29248,"NAN","NAN","NAN","NAN","NAN",-0.5995312,"NAN",-0.4114496,2.731209,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.474438,0.875299,"NAN","NAN","NAN","NAN","NAN",0,2.476304,"NAN",4.412952,"NAN","NAN",1.638206,12.99071,49422.83,36.36896,0.6443916,0,"NAN"
"2026-05-13 04:00:00",14,6.873102,31846.62,48711.8,31662.67,31.35428,"NAN","NAN","NAN","NAN","NAN",0.946166,"NAN",0.6493001,2.734359,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.733811,0.6234753,"NAN","NAN","NAN","NAN","NAN",0,1.669737,"NAN",2.601671,"NAN","NAN",1.799982,13.07358,49520.95,40.58045,0.6395418,0,"NAN"
"2026-05-13 05:00:00",15,6.934348,31838.05,48611.71,31597.61,31.28914,"NAN","NAN","NAN","NAN","NAN",-0.5938997,"NAN",-0.4075845,2.731209,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.535414,0.5560175,"NAN","NAN","NAN","NAN","NAN",0,1.557034,"NAN",2.348579,"NAN","NAN",1.646775,13.03412,49421.46,36.17853,0.6473646,0,"NAN"
"2026-05-13 06:00:00",16,6.875061,31792,48625.46,31606.55,31.29297,"NAN","NAN","NAN","NAN","NAN",0.9687061,"NAN",0.6647997,2.728059,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.98975,0.7104982,"NAN","NAN","NAN","NAN","NAN",0,2.387205,"NAN",4.212864,"NAN","NAN",1.669444,13.04201,49433.25,36.05402,0.6571239,0,"NAN"
"2026-05-13 07:00:00",17,6.859236,31809.85,48675.27,31638.93,31.32685,"NAN","NAN","NAN","NAN","NAN",-0.5665846,"NAN",-0.3888232,2.728059,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.584289,0.5726359,"NAN","NAN","NAN","NAN","NAN",0,1.109683,"NAN",1.343978,"NAN","NAN",1.643827,13.03807,49483.29,36.02106,0.673315,0,"NAN"
"2026-05-13 08:00:00",18,6.914692,31739.8,48489.5,31518.18,31.20012,"NAN","NAN","NAN","NAN","NAN",0.9857988,"NAN",0.6765814,2.726483,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.808684,0.3089193,"NAN","NAN","NAN","NAN","NAN",0,0.5182743,"NAN",0.01587433,"NAN","NAN",1.669425,13.23932,49296.5,35.91119,0.6632144,0,"NAN"
"2026-05-13 09:00:00",19,6.979624,31791.35,48476.41,31509.66,31.19727,"NAN","NAN","NAN","NAN","NAN",-0.5633774,"NAN",-0.3866668,2.728059,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.7712525,0.296192,"NAN","NAN","NAN","NAN","NAN",0,0.7360801,"NAN",0.5049928,"NAN","NAN",1.643607,13.63788,49285.54,35.94049,0.672842,0,"NAN"
"2026-05-13 10:00:00",20,7.022939,31783.63,48403.58,31462.32,31.14968,"NAN","NAN","NAN","NAN","NAN",0.972415,"NAN",0.6674309,2.728059,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.535364,0.5560006,"NAN","NAN","NAN","NAN","NAN",0,1.547066,"NAN",2.326195,"NAN","NAN",1.669535,13.63393,49213.03,35.99176,0.6647367,0,"NAN"
"2026-05-13 11:00:00",21,7.018302,31904.51,48594.21,31586.24,31.28504,"NAN","NAN","NAN","NAN","NAN",-0.5909681,"NAN",-0.4055778,2.729634,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.202281,0.4427479,"NAN","NAN","NAN","NAN","NAN",0,1.610593,"NAN",2.468855,"NAN","NAN",1.645219,13.69707,49406.68,35.94415,0.6496119,0,"NAN"
"2026-05-13 12:00:00",22,6.955976,31876.08,48639.11,31615.42,31.31083,"NAN","NAN","NAN","NAN","NAN",0.9423676,"NAN",0.6467216,2.728059,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.773201,0.6368685,"NAN","NAN","NAN","NAN","NAN",0,0.9429038,"NAN",0.9694493,"NAN","NAN",1.669462,13.70496,49450.11,35.94049,0.6603952,0,"NAN"
"2026-05-13 13:00:00",23,6.988207,31894.71,48621.86,31604.21,31.30175,"NAN","NAN","NAN","NAN","NAN",-0.6064539,"NAN",-0.4161988,2.728059,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.046688,0.7298581,"NAN","NAN","NAN","NAN","NAN",0,1.794598,"NAN",2.882069,"NAN","NAN",1.649723,13.7168,49433.72,40.38636,0.6342485,0,"NAN"
"2026-05-13 14:00:00",24,6.929412,31868.37,48665.01,31632.25,31.32662,"NAN","NAN","NAN","NAN","NAN",0.9255648,"NAN",0.6351805,2.729634,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.244637,0.4571493,"NAN","NAN","NAN","NAN","NAN",0,1.276713,"NAN",1.719072,"NAN","NAN",1.669407,13.74048,49475.46,35.7171,0.6128632,0,"NAN"
"2026-05-13 15:00:00",25,6.979874,31887.61,48622.83,31604.84,31.30162,"NAN","NAN","NAN","NAN","NAN",-0.6136608,"NAN",-0.4211448,2.729634,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.702695,0.6128957,"NAN","NAN","NAN","NAN","NAN",0,2.428806,"NAN",4.306286,"NAN","NAN",1.646848,13.74048,49434.42,40.51087,0.6358729,0,"NAN"
"2026-05-13 16:00:00",26,7.015552,31870.65,48546.53,31555.24,31.25079,"NAN","NAN","NAN","NAN","NAN",0.9107656,"NAN",0.6250678,2.728059,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.740477,0.9657561,"NAN","NAN","NAN","NAN","NAN",0,3.095728,"NAN",5.803969,"NAN","NAN",1.669499,13.77994,49358.11,35.57061,0.6156099,0,"NAN"
"2026-05-13 17:00:00",27,7.117374,31872.74,48406.31,31464.1,31.16088,"NAN","NAN","NAN","NAN","NAN",0.9254961,"NAN",0.6352295,2.728059,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.375603,1.181708,"NAN","NAN","NAN","NAN","NAN",0,2.969665,"NAN",5.520873,"NAN","NAN",1.669535,13.69707,49219.07,35.18242,0.617333,0,"NAN"
"2026-05-13 18:00:00",28,7.169692,31864.77,48320.88,31408.57,31.10506,"NAN","NAN","NAN","NAN","NAN",-0.6182184,"NAN",-0.4243465,2.726483,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",11.88818,4.076103,"NAN","NAN","NAN","NAN","NAN",0,4.967895,"NAN",10.00823,"NAN","NAN",1.640494,13.60631,49133.94,35.23003,0.6224293,0,"NAN"
"2026-05-13 19:00:00",29,7.190035,31833.97,48245.74,31359.73,31.05348,"NAN","NAN","NAN","NAN","NAN",0.9096746,"NAN",0.6244281,2.728059,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.618812,0.9243881,"NAN","NAN","NAN","NAN","NAN",0,2.911999,"NAN",5.391374,"NAN","NAN",1.669425,13.64972,49058.21,35.26665,0.6163927,0,"NAN"
"2026-05-13 20:00:00",30,7.16995,31772.32,48180.31,31317.2,31.00495,"NAN","NAN","NAN","NAN","NAN",-0.6254435,"NAN",-0.4293391,2.728059,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",24.63495,8.410185,"NAN","NAN","NAN","NAN","NAN",0,3.454955,"NAN",6.610672,"NAN","NAN",1.634964,13.13277,48991.02,35.33989,0.6296214,0,"NAN"
"2026-05-13 21:00:00",31,7.14441,31760.26,48197.69,31328.5,31.01487,"NAN","NAN","NAN","NAN","NAN",0.9286728,"NAN",0.6374841,2.726483,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.954013,0.6983472,"NAN","NAN","NAN","NAN","NAN",0,3.665505,"NAN",7.083498,"NAN","NAN",1.669499,13.1525,49007.84,35.25933,0.6173015,0,"NAN"
"2026-05-13 22:00:00",32,7.199708,31752.37,48108.6,31270.59,30.95672,"NAN","NAN","NAN","NAN","NAN",-0.6206369,"NAN",-0.4260567,2.729634,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",14.35888,4.916176,"NAN","NAN","NAN","NAN","NAN",0,6.742636,"NAN",13.9937,"NAN","NAN",1.650785,13.03807,48919.07,35.29961,0.6404259,0,"NAN"
