time,External_Temp (DegreesC),Conductivity_us (us/cm),SpConductivity_us (us/cm),TDS (mg/L),Salinity (ppm),ODO_Sat (%),ODO (mg/L),Pressure_abs (psi),Chlorophyll_ugL (ug/L),Chlorophyll_RFU (RFU),BGA_PE_RFU (RFU),BGA_PE_ugL (ug/L),Conductivity_nLF (us/cm)
2025-05-27 17:00:00,23.28917,-0.1323029,-0.1367722,-0.08890191,-0.0002267137,,,14.80328,-0.02055814,-0.005139536,-0.8993769,-2.518255,-0.1372186
2025-05-27 18:00:00,20.71231,-0.1792667,-0.1952575,-0.1269174,-0.0002559982,,,10.36035,-0.1233122,-0.03082805,-0.9363225,-2.621703,-0.1967684
2025-05-27 19:00:00,19.9969,-0.173618,-0.1919617,-0.1247751,-0.0002536494,,,11.83904,-0.1716446,-0.04291114,-0.8460571,-2.36896,-0.1936649
2025-05-27 20:00:00,19.72272,-0.1690334,-0.1879807,-0.1221875,-0.0002514552,,,10.36595,-0.1241151,-0.03102878,-0.9617965,-2.69303,-0.1897277
2025-05-27 21:00:00,19.52513,-0.145016,-0.1619512,-0.1052683,-0.0002380032,,,14.81055,-0.0892958,-0.02232395,-0.9223721,-2.582642,-0.1635047
2025-05-27 22:00:00,19.29537,-0.1469495,-0.1649193,-0.1071975,-0.0002393564,,,10.37137,0.04381666,0.01095417,-1.010215,-2.828603,-0.1665578
2025-05-27 23:00:00,19.0798,-0.1669583,-0.1882444,-0.1223589,-0.000250834,,,10.36431,-0.182936,-0.045734,-0.916272,-2.565562,-0.1901741
2025-05-28 00:00:00,18.89198,-0.1675759,-0.1897076,-0.1233099,-0.0002513016,,,10.36276,-0.1299391,-0.03248478,-0.9528316,-2.667928,-0.1917037
2025-05-28 01:00:00,18.81216,-0.1733218,-0.1965522,-0.1277589,-0.0002543675,,,11.84497,-0.167566,-0.04189151,-0.9486025,-2.656087,-0.1986428
2025-05-28 02:00:00,18.72252,-0.1674781,-0.1902942,-0.1236912,-0.0002513742,,,11.84286,-0.0221662,-0.005541551,-0.9753145,-2.73088,-0.1923425
2025-05-28 03:00:00,18.61382,-0.175511,-0.1998934,-0.1299307,-0.0002556285,,,11.84009,-0.1808425,-0.04521063,-0.8426669,-2.359467,-0.2020756
2025-05-28 04:00:00,18.47713,-0.1609475,-0.1838529,-0.1195044,-0.0002480242,,,10.35984,-0.1087686,-0.02719215,-0.9408528,-2.634388,-0.185895
2025-05-28 05:00:00,18.25807,-0.165104,-0.1895071,-0.1231796,-0.0002504438,,,10.36414,-0.007854458,-0.001963614,-0.962702,-2.695565,-0.1916692
2025-05-28 06:00:00,18.02465,-0.1746824,-0.2015325,-0.1309961,-0.0002556145,,,10.36613,-0.07009606,-0.01752402,-0.8359367,-2.340623,-0.2038952
2025-05-28 07:00:00,17.88189,-0.1660632,-0.1921932,-0.1249255,-0.0002512261,,,11.85615,0.0992018,0.02480045,-0.9190757,-2.573412,-0.1944828
2025-05-28 08:00:00,17.9398,-0.1607033,-0.1857523,-0.120739,-0.000248285,,,10.37404,-0.03405603,-0.008514008,-0.9839957,-2.755188,-0.1879511
2025-05-28 09:00:00,18.07855,-0.1635394,-0.1884525,-0.1224941,-0.0002497304,,,11.85767,-0.1155663,-0.02889157,-0.9172608,-2.56833,-0.1906483
2025-05-28 10:00:00,18.19979,-0.1758331,-0.2020801,-0.1313521,-0.0002560792,,,10.37082,0.1067762,0.02669405,-0.9420573,-2.63776,-0.2044016
2025-05-28 11:00:00,18.32091,-0.1639129,-0.187881,-0.1221226,-0.0002497556,,,10.36902,-0.1923601,-0.04809002,-0.9320403,-2.609713,-0.1900084
2025-05-28 12:00:00,18.48503,-0.1609008,-0.1837685,-0.1194495,-0.0002479926,,,10.3676,0.01224344,0.003060861,-0.9526181,-2.667331,-0.1858078
