"TOA5","blynken","CR300","36594","CR300-CELL210.11.3.0","CPU:blynken.df84130b24f674375003011e71973b5b.dld","28117","Ai1"
"TIMESTAMP","RECORD","BatteryVoltage","InternalTemperature","InternalHumidity","CurrentAverage","CurrentMaximum","ProcessingTime","SerialNumber","DataloggerOSVersion","Ai1OSVersion","ProgramSignature","ProgramCounter","StartUpCode","WatchdogErrors","SkippedScans","MemoryFree","CellUsageToday","CellUsageThisMonth","CellRSSI","CellNetBand","Latitude","Longitude","GPSSatellitesInView","Pressure_mH2O","ReadAttempts_Max"
"TS","RN","Volts","°C","%","mA (-=Charge, +=Discharge)","mA (-=Charge, +=Discharge)","µS","","","","(0-65535)","Cycles","(0=Ok, -1=Power, -2=Watchdog)","Errors Since Compile","Scans Skipped","Bytes","kB","kB","dBm","","Decimal Degrees (N=+,S=-)","Decimal Degrees (E=+,W=-)","GPS Satellites visible","mH2O",""
"","","Smp","Smp","Smp","Avg:mA","Max:mA","Smp","Smp","Smp","Smp","Smp:0-65535)","Smp","Smp:0=Ok","Smp:Watchdog Errors Since Compile","Smp:Scans Skipped","Smp:Bytes","Smp:kB","Smp:kB","Smp:dBm","Smp:band","Smp","Smp","Smp","Smp","Max"
"2026-07-20 12:00:00",0,13.54,24.14,42,0.077,55,159,36594,1.3,0.75,28117,712,-1,0,0,27136,64.85,3440,-69,4,44.31815,-68.92735,0,-13.01,0
"2026-07-20 13:00:00",1,13.48,32.24,40,55.01,61,159,36594,1.3,0.75,28117,1432,-1,0,1,27136,159,3534,-65,4,44.31815,-68.92735,0,-13.01,1
"2026-07-20 14:00:00",2,13.57,26.11,40,60.82,61,159,36594,1.3,0.75,28117,2152,-1,0,2,27136,251.2,3627,-61,4,44.31815,-68.92735,0,-13.01,1
"2026-07-20 15:00:00",3,13.55,28.55,39,-69.82,61,159,36594,1.3,0.75,28117,2872,-1,0,3,27136,452.7,3828,-53,4,44.31815,-68.92735,0,0.009,1
"2026-07-20 16:00:00",4,13.54,29.42,39,61.01,68,160,36594,1.3,0.75,28117,3592,-1,0,4,27136,543.9,3919,-55,4,44.31815,-68.92735,0,0.016,1
"2026-07-20 17:00:00",5,13.54,27.75,40,68.08,126,160,36594,1.3,0.75,28117,4312,-1,0,5,27136,637.3,4013,-51,4,"NAN","NAN",4,0.016,1
"2026-07-20 18:00:00",6,13.54,26.19,40,125.9,126,160,36594,1.3,0.75,28117,5032,-1,0,6,27136,730.7,4106,-53,4,"NAN","NAN",4,0.016,1
"2026-07-20 19:00:00",7,13.57,25.87,40,88,88,159,36594,1.3,0.75,28117,5752,-1,0,7,27136,825,4200,-51,4,44.31809,-68.92715,4,0.016,1
"2026-07-20 20:00:00",8,13.48,22.73,41,81.1,185,160,36594,1.3,0.75,28117,6472,-1,0,8,27136,924,4299,-55,4,"NAN","NAN",4,0.016,1
"2026-07-20 21:00:00",9,13.3,20.9,42,185,185,159,36594,1.3,0.75,28117,7192,-1,0,9,27136,1021,4396,-53,4,"NAN","NAN",4,0.016,1
"2026-07-20 22:00:00",10,13.25,20.86,42,156,174,160,36594,1.3,0.75,28117,7912,-1,0,10,27136,1115,4490,-53,4,"NAN","NAN",4,0.017,1
"2026-07-20 23:00:00",11,13.25,20.44,42,174,204,166,36594,1.3,0.75,28117,8632,-1,0,11,27136,1208,4583,-53,4,44.31816,-68.92713,4,0.017,1
"2026-07-21 00:00:00",12,13.25,20.1,42,203.9,204,160,36594,1.3,0.75,28117,9352,-1,0,12,27136,0,4690,-57,4,44.31815,-68.92719,4,0.017,1
"2026-07-21 01:00:00",13,13.24,19.56,42,151,152,159,36594,1.3,0.75,28117,10072,-1,0,13,27136,108.6,4799,-57,4,44.31816,-68.92718,4,0.017,1
"2026-07-21 02:00:00",14,13.23,19.42,42,152,152,160,36594,1.3,0.75,28117,10792,-1,0,14,27136,213.6,4904,-55,4,44.31819,-68.92715,6,0.018,1
"2026-07-21 03:00:00",15,13.25,19.4,42,150,150,160,36594,1.3,0.75,28117,11512,-1,0,15,27136,322.2,5013,-53,4,44.31819,-68.92715,6,0.018,1
"2026-07-21 04:00:00",16,13.25,18.84,42,150,170,160,36594,1.3,0.75,28117,12232,-1,0,16,27136,427.5,5118,-53,4,44.31819,-68.92715,6,0.018,1
"2026-07-21 05:00:00",17,13.25,18.5,42,170,183,160,36594,1.3,0.75,28117,12952,-1,0,17,27136,527.8,5218,-53,4,44.31819,-68.92715,6,0.018,1
"2026-07-21 06:00:00",18,13.33,18.63,42,182.9,183,160,36594,1.3,0.75,28117,13672,-1,0,18,27136,628.1,5319,-51,4,44.31819,-68.92715,6,0.018,1
"2026-07-21 07:00:00",19,13.4,20.44,41,88.9,89,160,36594,1.3,0.75,28117,14392,-1,0,19,27136,731.2,5422,-61,4,44.318,-68.92718,4,0.018,1
"2026-07-21 08:00:00",20,13.44,20.62,41,45.01,54,160,36594,1.3,0.75,28117,15112,-1,0,20,27136,827,5517,-53,4,44.31803,-68.92714,4,0.019,1
"2026-07-21 09:00:00",21,13.54,23.15,39,53.85,54,159,36594,1.3,0.75,28117,15832,-1,0,21,27136,919,5609,-59,4,44.31804,-68.92725,4,0.023,1
"2026-07-21 10:00:00",22,13.66,23.98,39,-56.84,55,167,36594,1.3,0.75,28117,16552,-1,0,22,27136,1012,5703,-63,4,44.31814,-68.92724,5,0.025,1
"2026-07-21 11:00:00",23,13.62,24.26,40,55.01,59,160,36594,1.3,0.75,28117,17272,-1,0,23,27136,1107,5797,-55,4,44.31819,-68.92717,4,0.028,1
"2026-07-21 12:00:00",24,13.63,25.13,39,59.02,70,160,36594,1.3,0.75,28117,17992,-1,0,24,27136,1198,5888,-53,4,44.31819,-68.92717,4,0.042,1
"2026-07-21 13:00:00",25,13.63,23.66,39,70.01,80,160,36594,1.3,0.75,28117,18712,-1,0,25,27136,1289,5979,-55,4,44.31818,-68.92715,4,0.042,1
"2026-07-21 14:00:00",26,13.63,22.72,40,80,90,159,36594,1.3,0.75,28117,19432,-1,0,26,27136,1391,6082,-51,4,44.31817,-68.92715,4,0.042,1
"2026-07-21 15:00:00",27,13.61,22.24,40,90,90,160,36594,1.3,0.75,28117,20152,-1,0,27,27136,1497,6187,-51,4,44.31817,-68.92715,4,0.042,1
"2026-07-21 16:00:00",28,13.65,21.46,40,82.1,119,160,36594,1.3,0.75,28117,20872,-1,0,28,27136,1601,6291,-51,4,44.31814,-68.92711,4,0.038,1
"2026-07-21 17:00:00",29,13.7,21.97,40,118.9,119,160,36594,1.3,0.75,28117,21592,-1,0,29,27136,1707,6398,-51,4,44.3182,-68.92713,5,0.038,1
"2026-07-21 18:00:00",30,13.68,21.61,40,70.12,156,160,36594,1.3,0.75,28117,22312,-1,0,30,27136,1810,6501,-57,4,44.31808,-68.92715,5,0.018,1
"2026-07-21 19:00:00",31,13.53,19.78,41,156,156,160,36594,1.3,0.75,28117,23032,-1,0,31,27136,1921,6612,-55,4,44.31808,-68.92715,5,0.018,1
"2026-07-21 20:00:00",32,13.33,19.18,41,126,147,159,36594,1.3,0.75,28117,23752,-1,0,32,27136,2018,6708,-63,4,44.31805,-68.92721,4,0.008,1
"2026-07-21 21:00:00",33,13.27,19.14,42,147,152,160,36594,1.3,0.75,28117,24472,-1,0,33,27136,2117,6807,-53,4,44.31805,-68.92721,5,0.008,1
"2026-07-21 22:00:00",34,13.26,19.46,42,152,187,160,36594,1.3,0.75,28117,25192,-1,0,34,27136,2219,6910,-55,4,44.31809,-68.92726,4,-0.014,1
"2026-07-21 23:00:00",35,13.26,19.2,42,187,188,160,36594,1.3,0.75,28117,25912,-1,0,35,27136,2317,7007,-57,4,44.31815,-68.92724,4,-0.014,1
"2026-07-22 00:00:00",36,13.26,19.41,42,188,188,159,36594,1.3,0.75,28117,26632,-1,0,36,27136,0,7132,-57,4,44.31815,-68.92724,4,-0.029,1
"2026-07-22 01:00:00",37,13.26,19.75,42,166,166,159,36594,1.3,0.75,28117,27352,-1,0,37,27136,106,7238,-57,4,44.31817,-68.92735,4,-0.029,1
"2026-07-22 02:00:00",38,13.25,18.71,42,160,160,159,36594,1.3,0.75,28117,28072,-1,0,38,27136,213.7,7345,-55,4,44.31819,-68.92721,4,-0.066,1
"2026-07-22 03:00:00",39,13.25,18.47,42,149,149,166,36594,1.3,0.75,28117,28792,-1,0,39,27136,317.5,7449,-53,4,44.31819,-68.9271,4,-0.066,1
"2026-07-22 04:00:00",40,13.25,18.35,42,143,155,160,36594,1.3,0.75,28117,29512,-1,0,40,27136,423.1,7555,-53,4,44.31811,-68.92794,4,-0.092,1
"2026-07-22 05:00:00",41,13.23,18.95,42,155,155,166,36594,1.3,0.75,28117,30232,-1,0,41,27136,522.8,7654,-55,4,44.31807,-68.92716,4,-0.092,1
"2026-07-22 06:00:00",42,13.25,18.97,42,151,161,160,36594,1.3,0.75,28117,30952,-1,0,42,27136,626.6,7758,-55,4,44.31807,-68.92716,4,-0.096,1
"2026-07-22 07:00:00",43,13.25,19.28,42,161,161,160,36594,1.3,0.75,28117,31672,-1,0,43,27136,725.2,7857,-51,4,44.31808,-68.92714,4,-0.096,1
"2026-07-22 08:00:00",44,13.29,19.46,42,157.9,158,159,36594,1.3,0.75,28117,32392,-1,0,44,27136,818,7950,-55,4,44.31805,-68.92718,5,-0.096,1
"2026-07-22 09:00:00",45,13.37,20.18,42,108.1,159,160,36594,1.3,0.75,28117,33112,-1,0,45,27136,921,8052,-55,4,44.31807,-68.92716,4,-0.096,1
"2026-07-22 10:00:00",46,13.47,21.12,41,158.8,159,160,36594,1.3,0.75,28117,33832,-1,0,46,27136,1011,8143,-53,4,44.31812,-68.92718,4,-0.094,1
"2026-07-22 11:00:00",47,13.52,23.81,40,6.988,7,166,36594,1.3,0.75,28117,34552,-1,0,47,27136,1104,8236,-61,4,44.3182,-68.92725,4,-0.09,1
"2026-07-22 12:00:00",48,13.61,24,39,-2.197,-2,160,36594,1.3,0.75,28117,35272,-1,0,48,27136,1211,8343,-55,4,44.31817,-68.92722,5,-0.082,1
"2026-07-22 13:00:00",49,13.78,22.92,40,-143.9,-47,159,36594,1.3,0.75,28117,35992,-1,0,49,27136,1310,8442,-55,4,44.31816,-68.92713,4,-0.071,1
"2026-07-22 14:00:00",50,13.64,24.66,40,-46.84,71,159,36594,1.3,0.75,28117,36712,-1,0,50,27136,1407,8539,-59,4,44.31819,-68.92715,5,-0.067,1
"2026-07-22 15:00:00",51,13.61,23.3,40,71.01,81,160,36594,1.3,0.75,28117,37432,-1,0,51,27136,1511,8643,-55,4,44.31815,-68.92715,4,-0.067,1
