"TOA5","blynken","CR300","36594","CR300-CELL210.11.3.0","CPU:blynken.df84130b24f674375003011e71973b5b.dld","28117","WindUltra"
"TIMESTAMP","RECORD","WindU","WindV"
"TS","RN","",""
"","","Smp","Smp"
"2026-07-20 12:00:00",0,1.984,5.018
"2026-07-20 13:00:00",1,0.855,5.658
"2026-07-20 14:00:00",2,-6.369,1.076
"2026-07-20 15:00:00",3,-2.037,-1.471
"2026-07-20 16:00:00",4,-4,0.768
"2026-07-20 17:00:00",5,-6.6,-0.574
"2026-07-20 18:00:00",6,-7.103,-0.255
"2026-07-20 19:00:00",7,-3.189,-0.628
"2026-07-20 20:00:00",8,-4.072,-0.858
"2026-07-20 21:00:00",9,-3.851,-0.313
"2026-07-20 22:00:00",10,-3.944,0.151
"2026-07-20 23:00:00",11,-4.241,0.083
"2026-07-21 00:00:00",12,-2.258,0.714
"2026-07-21 01:00:00",13,-3.014,-0.045
"2026-07-21 02:00:00",14,-5.152,-0.213
"2026-07-21 03:00:00",15,-4.496,-0.765
"2026-07-21 04:00:00",16,-3.383,-1.573
"2026-07-21 05:00:00",17,-4.094,-1.282
"2026-07-21 06:00:00",18,-2.248,-2.255
"2026-07-21 07:00:00",19,-4.081,0.39
"2026-07-21 08:00:00",20,-4.375,0.825
"2026-07-21 09:00:00",21,-6.231,0.545
"2026-07-21 10:00:00",22,-5.953,0.237
"2026-07-21 11:00:00",23,-5.733,0.292
"2026-07-21 12:00:00",24,-5.235,0.459
"2026-07-21 13:00:00",25,-5.309,0.785
"2026-07-21 14:00:00",26,-5.484,1.449
"2026-07-21 15:00:00",27,-4.328,1.154
"2026-07-21 16:00:00",28,-4.733,0.828
"2026-07-21 17:00:00",29,-3.366,-0.473
"2026-07-21 18:00:00",30,-1.623,-1.53
"2026-07-21 19:00:00",31,-0.964,-0.618
"2026-07-21 20:00:00",32,-0.648,1.55
"2026-07-21 21:00:00",33,-3.742,0.58
"2026-07-21 22:00:00",34,-4.567,0.854
"2026-07-21 23:00:00",35,-4.878,-0.49
"2026-07-22 00:00:00",36,-8.25,-0.42
"2026-07-22 01:00:00",37,-4.09,-1.23
"2026-07-22 02:00:00",38,-3.523,1.244
"2026-07-22 03:00:00",39,-3.389,1.118
"2026-07-22 04:00:00",40,-4.193,0.098
"2026-07-22 05:00:00",41,-3.299,-0.479
"2026-07-22 06:00:00",42,-2.952,-0.676
"2026-07-22 07:00:00",43,-2.095,-0.741
"2026-07-22 08:00:00",44,-5.007,-0.209
"2026-07-22 09:00:00",45,-5.656,1.014
"2026-07-22 10:00:00",46,-6.228,-0.856
"2026-07-22 11:00:00",47,-4.636,0.006
"2026-07-22 12:00:00",48,-5.781,-0.019
