"TOA5","wynken","CR300","36593","CR300-CELL210.11.3.0","CPU:wynken.2a389ad62a8c24863d64a52dcf561fc6.dld","48073","Ai1"
"TIMESTAMP","RECORD","BatteryVoltage","InternalTemperature","InternalHumidity","CurrentAverage","CurrentMaximum","ProcessingTime","SerialNumber","DataloggerOSVersion","Ai1OSVersion","ProgramSignature","ProgramCounter","StartUpCode","WatchdogErrors","SkippedScans","MemoryFree","CellUsageToday","CellUsageThisMonth","CellRSSI","CellNetBand","Latitude","Longitude","GPSSatellitesInView","Pressure_mH2O","ReadAttempts_Max"
"TS","RN","Volts","°C","%","mA (-=Charge, +=Discharge)","mA (-=Charge, +=Discharge)","µS","","","","(0-65535)","Cycles","(0=Ok, -1=Power, -2=Watchdog)","Errors Since Compile","Scans Skipped","Bytes","kB","kB","dBm","","Decimal Degrees (N=+,S=-)","Decimal Degrees (E=+,W=-)","GPS Satellites visible","mH2O",""
"","","Smp","Smp","Smp","Avg:mA","Max:mA","Smp","Smp","Smp","Smp","Smp:0-65535)","Smp","Smp:0=Ok","Smp:Watchdog Errors Since Compile","Smp:Scans Skipped","Smp:Bytes","Smp:kB","Smp:kB","Smp:dBm","Smp:band","Smp","Smp","Smp","Smp","Max"
"2026-07-02 08:00:00",0,13.28,24.75,62,71.44,97,160,36593,1.3,0.75,48073,600,-1,0,9,29384,6.562,23,0,4,44.03688,-68.88784,0,-0.065,1
"2026-07-02 09:00:00",1,13.43,27.2,61,2.413,117,159,36593,1.3,0.75,48073,1320,-1,0,21,29384,33.79,50,-75,4,44.04454,-68.89082,6,-0.057,1
"2026-07-02 10:00:00",2,13.46,26.28,59,-82.4,-16,160,36593,1.3,0.75,48073,2040,-1,0,33,29384,160.8,177,-81,4,44.04364,-68.8923,6,-0.054,1
"2026-07-02 11:00:00",3,13.54,27.28,57,-31.46,94,160,36593,1.3,0.75,48073,2760,-1,0,45,29384,265.3,282,-83,4,44.04361,-68.8923,4,-0.058,1
"2026-07-02 12:00:00",4,13.56,26.33,57,6.356,41,159,36593,1.3,0.75,48073,3480,-1,0,57,29384,383.2,399,-79,13,44.04359,-68.89225,4,-0.058,5
"2026-07-02 13:00:00",5,13.55,26.74,57,-3.672,14,159,36593,1.3,0.75,48073,4200,-1,0,69,29384,496.9,513,-79,13,44.04358,-68.89221,6,-0.06,1
"2026-07-02 14:00:00",6,13.53,25.75,58,-0.189,16,160,36593,1.3,0.75,48073,4920,-1,0,81,29384,601.8,618,-83,4,44.04366,-68.89224,5,-0.062,1
"2026-07-02 15:00:00",7,13.57,25.01,58,-10.4,7,159,36593,1.3,0.75,48073,5640,-1,0,93,29384,707.6,724,-81,4,44.04357,-68.89224,5,-0.068,1
"2026-07-02 16:00:00",8,13.58,25.18,58,-9.25,12,160,36593,1.3,0.75,48073,6360,-1,0,105,29384,814,831,-79,4,44.04352,-68.89214,4,-0.074,1
"2026-07-02 17:00:00",9,13.57,25.7,58,-4.567,84,160,36593,1.3,0.75,48073,7080,-1,0,117,29384,919,935,-83,4,44.04354,-68.8922,4,-0.076,1
"2026-07-02 18:00:00",10,13.58,26.14,57,12.66,122,159,36593,1.3,0.75,48073,7800,-1,0,129,29384,1032,1048,-77,13,44.04357,-68.89219,4,-0.079,1
"2026-07-02 19:00:00",11,13.61,23.5,59,-8.5,14,164,36593,1.3,0.75,48073,8520,-1,0,141,29384,1136,1152,-79,4,44.04351,-68.89218,4,-0.078,1
"2026-07-02 20:00:00",12,13.53,21.63,60,11.02,67,160,36593,1.3,0.75,48073,9240,-1,0,153,29384,1242,1259,-89,4,"NAN","NAN",4,-0.079,1
"2026-07-02 21:00:00",13,13.31,19.57,61,108.1,291,159,36593,1.3,0.75,48073,9960,-1,0,165,29384,1347,1363,-83,4,44.04364,-68.89229,4,-0.08,1
"2026-07-02 22:00:00",14,13.26,19.76,60,116.2,283,160,36593,1.3,0.75,48073,10680,-1,0,177,29384,1447,1463,-85,4,44.04359,-68.89223,5,-0.074,1
"2026-07-02 23:00:00",15,13.24,20.15,60,92.3,112,159,36593,1.3,0.75,48073,11400,-1,0,189,29384,1655,1671,-87,4,"NAN","NAN",4,-0.076,1
"2026-07-03 00:00:00",16,13.27,19.48,61,85.3,123,166,36593,1.3,0.75,48073,12120,-1,0,201,29384,0.071,1787,-79,13,44.04359,-68.89223,6,-0.079,1
"2026-07-03 01:00:00",17,13.27,21.08,62,73.39,110,166,36593,1.3,0.75,48073,12840,-1,0,213,29384,101.5,1889,-83,4,44.04354,-68.89217,4,-0.095,1
"2026-07-03 02:00:00",18,13.26,20.85,62,58.88,135,159,36593,1.3,0.75,48073,13560,-1,0,225,29384,209.4,1997,-83,13,44.04372,-68.89211,4,-0.089,1
"2026-07-03 03:00:00",19,13.24,20.12,62,53.53,102,159,36593,1.3,0.75,48073,14280,-1,0,237,29384,319,2106,-83,13,44.04357,-68.89223,4,-0.087,1
"2026-07-03 04:00:00",20,13.26,20.03,62,64.48,114,160,36593,1.3,0.75,48073,15000,-1,0,249,29384,425.8,2213,-81,13,44.04353,-68.89222,6,-0.081,1
"2026-07-03 05:00:00",21,13.26,20.47,62,65.36,92,159,36593,1.3,0.75,48073,15720,-1,0,261,29384,528.8,2316,-83,13,44.04353,-68.8922,5,-0.074,1
"2026-07-03 06:00:00",22,13.38,23.14,60,25.24,174,160,36593,1.3,0.75,48073,16440,-1,0,273,29384,631.1,2418,-85,4,44.04347,-68.89221,4,-0.067,1
"2026-07-03 07:00:00",23,13.48,25.6,60,-110.9,-15,159,36593,1.3,0.75,48073,17160,-1,0,285,29384,743,2530,-87,4,44.04351,-68.89223,4,-0.066,1
"2026-07-03 08:00:00",24,13.52,26.69,59,-172.2,-126,160,36593,1.3,0.75,48073,17880,-1,0,297,29384,852,2639,-87,4,44.04353,-68.89224,4,-0.058,1
"2026-07-03 09:00:00",25,13.49,28.54,58,-95.4,-28,160,36593,1.3,0.75,48073,18600,-1,0,309,29384,960,2747,-83,13,44.04354,-68.8923,4,-0.057,1
"2026-07-03 10:00:00",26,13.57,27.34,57,-73.11,96,160,36593,1.3,0.75,48073,19320,-1,0,321,29384,1067,2854,-79,4,44.04356,-68.89219,6,-0.064,1
"2026-07-03 11:00:00",27,13.55,26.34,58,23.43,96,160,36593,1.3,0.75,48073,20040,-1,0,333,29384,1173,2960,-83,13,44.04362,-68.89229,5,-0.066,1
"2026-07-03 12:00:00",28,13.55,27.6,57,5.197,46,166,36593,1.3,0.75,48073,20760,-1,0,345,29384,1291,3078,-81,13,44.04358,-68.89226,4,-0.067,1
"2026-07-03 13:00:00",29,13.56,26.58,57,-0.582,27,159,36593,1.3,0.75,48073,21480,-1,0,357,29384,1415,3202,-79,13,44.04356,-68.89223,5,-0.071,1
"2026-07-03 14:00:00",30,13.59,26.39,57,-7.929,9,160,36593,1.3,0.75,48073,22200,-1,0,369,29384,1530,3317,-85,4,44.04354,-68.8922,5,-0.077,1
"2026-07-03 15:00:00",31,13.58,25.22,58,-5.678,3,159,36593,1.3,0.75,48073,22920,-1,0,381,29384,1642,3429,-83,4,44.04359,-68.89226,4,-0.08,1
"2026-07-03 16:00:00",32,13.57,24.93,58,-4.674,6,159,36593,1.3,0.75,48073,23640,-1,0,393,29384,1751,3538,-83,4,44.04358,-68.89221,4,-0.086,1
"2026-07-03 17:00:00",33,13.6,25.09,58,-13.02,12,159,36593,1.3,0.75,48073,24360,-1,0,405,29384,1860,3647,-79,4,44.04358,-68.89214,4,-0.089,1
"2026-07-03 18:00:00",34,13.6,24.54,59,-10.06,15,160,36593,1.3,0.75,48073,25080,-1,0,417,29384,1964,3751,-77,13,44.04364,-68.8923,4,-0.093,1
"2026-07-03 19:00:00",35,13.61,23.91,59,-13.42,7,159,36593,1.3,0.75,48073,25800,-1,0,429,29384,2067,3854,-79,13,44.0436,-68.89219,5,-0.091,1
"2026-07-03 20:00:00",36,13.53,23.08,61,10.52,71,159,36593,1.3,0.75,48073,26520,-1,0,441,29384,2182,3969,-81,4,44.04353,-68.89221,5,-0.086,1
"2026-07-03 21:00:00",37,13.3,20.24,62,97.6,190,160,36593,1.3,0.75,48073,27240,-1,0,453,29384,2296,4083,-87,4,44.04356,-68.89225,5,-0.09,1
"2026-07-03 22:00:00",38,13.26,20.48,61,98.7,177,166,36593,1.3,0.75,48073,27960,-1,0,465,29384,2399,4186,-81,4,44.04353,-68.89217,4,-0.085,1
"2026-07-03 23:00:00",39,13.25,19.61,62,96.2,153,166,36593,1.3,0.75,48073,28680,-1,0,477,29384,2506,4293,-87,4,"NAN","NAN",4,-0.085,1
"2026-07-04 00:00:00",40,13.27,19.79,62,102.5,158,159,36593,1.3,0.75,48073,29400,-1,0,489,29384,0,4404,-85,4,44.04358,-68.89223,4,-0.089,1
"2026-07-04 01:00:00",41,13.24,20.26,62,75.6,136,159,36593,1.3,0.75,48073,30120,-1,0,501,29384,106.4,4511,-81,4,44.04356,-68.89223,4,-0.091,1
"2026-07-04 02:00:00",42,13.26,20.12,63,81.6,226,167,36593,1.3,0.75,48073,30840,-1,0,513,29384,208.3,4613,-81,4,44.04358,-68.89218,4,-0.09,1
"2026-07-04 03:00:00",43,13.27,20.92,63,54.19,90,159,36593,1.3,0.75,48073,31560,-1,0,525,29384,314,4718,-83,4,44.04352,-68.89226,5,-0.088,1
"2026-07-04 04:00:00",44,13.26,20.7,63,68.25,116,159,36593,1.3,0.75,48073,32280,-1,0,537,29384,435.7,4840,-87,4,44.04356,-68.89222,5,-0.087,1
"2026-07-04 05:00:00",45,13.25,21.14,62,69.46,157,166,36593,1.3,0.75,48073,33000,-1,0,549,29384,541.3,4946,-85,4,"NAN","NAN",4,-0.084,1
"2026-07-04 06:00:00",46,13.42,22.03,62,-0.261,66,159,36593,1.3,0.75,48073,33720,-1,0,561,29384,655.3,5060,-87,4,"NAN","NAN",4,-0.085,1
"2026-07-04 07:00:00",47,13.41,26.52,60,-60.51,32,160,36593,1.3,0.75,48073,34440,-1,0,573,29384,1002,5406,-85,4,"NAN","NAN",4,-0.079,1
"2026-07-04 08:00:00",48,13.52,28.16,59,-57.84,61,159,36593,1.3,0.75,48073,35160,-1,0,585,29384,1226,5630,-85,4,44.04354,-68.89226,4,-0.074,1
"2026-07-04 09:00:00",49,13.5,26.96,60,-142.2,-9,160,36593,1.3,0.75,48073,35880,-1,0,597,29384,1326,5730,-83,4,44.04354,-68.89223,4,-0.076,1
"2026-07-04 10:00:00",50,13.49,29.91,59,-72.2,-26,160,36593,1.3,0.75,48073,36600,-1,0,609,29384,1439,5844,-77,13,44.04352,-68.89226,7,-0.079,1
