"TOA5","wynken","CR300","36593","CR300-CELL210.11.3.0","CPU:wynken.29dcee00994297b7550bff0a372e8ab5.dld","5610","Ai1"
"TIMESTAMP","RECORD","BatteryVoltage","InternalTemperature","InternalHumidity","CurrentAverage","CurrentMaximum","ProcessingTime","SerialNumber","DataloggerOSVersion","Ai1OSVersion","ProgramSignature","ProgramCounter","StartUpCode","WatchdogErrors","SkippedScans","MemoryFree","CellUsageToday","CellUsageThisMonth","CellRSSI","CellNetBand","Latitude","Longitude","GPSSatellitesInView","Pressure_mH2O","ReadAttempts_Max"
"TS","RN","Volts","°C","%","mA (-=Charge, +=Discharge)","mA (-=Charge, +=Discharge)","µS","","","","(0-65535)","Cycles","(0=Ok, -1=Power, -2=Watchdog)","Errors Since Compile","Scans Skipped","Bytes","kB","kB","dBm","","Decimal Degrees (N=+,S=-)","Decimal Degrees (E=+,W=-)","GPS Satellites visible","mH2O",""
"","","Smp","Smp","Smp","Avg:mA","Max:mA","Smp","Smp","Smp","Smp","Smp:0-65535)","Smp","Smp:0=Ok","Smp:Watchdog Errors Since Compile","Smp:Scans Skipped","Smp:Bytes","Smp:kB","Smp:kB","Smp:dBm","Smp:band","Smp","Smp","Smp","Smp","Max"
"2026-07-04 12:00:00",0,13.56,26.73,58,-0.016,0,160,36593,1.3,0.75,5610,128,0,0,0,28176,1960,6364,-85,4,44.03688,-68.88784,0,-13.01,0
"2026-07-04 13:00:00",1,13.58,25.56,60,-1.983,10,159,36593,1.3,0.75,5610,848,0,0,1,28176,2116,6520,-81,13,44.04356,-68.89221,4,-13.01,1
"2026-07-04 14:00:00",2,13.56,24.22,60,9.97,10,160,36593,1.3,0.75,5610,1568,0,0,2,28176,2209,6613,-77,13,44.04361,-68.89224,4,-13.01,1
"2026-07-04 15:00:00",3,13.61,25.44,60,-9,-9,159,36593,1.3,0.75,5610,2288,0,0,3,28176,2301,6705,-81,13,"NAN","NAN",4,-0.095,1
"2026-07-04 16:00:00",4,13.61,24.73,60,-10,-9,160,36593,1.3,0.75,5610,3008,0,0,4,28176,2397,6802,-79,13,44.04359,-68.89218,4,-0.095,1
"2026-07-04 17:00:00",5,13.62,25.88,60,-9.01,-9,159,36593,1.3,0.75,5610,3728,0,0,5,28176,2480,6884,-83,4,44.04354,-68.89222,4,-0.095,1
"2026-07-04 18:00:00",6,13.57,27.02,60,-13.02,-13,159,36593,1.3,0.75,5610,4448,0,0,6,28176,2565,6969,-81,4,44.04357,-68.89219,4,-0.095,1
"2026-07-04 19:00:00",7,13.6,25.11,62,-25.91,40,159,36593,1.3,0.75,5610,5168,0,0,7,28176,2654,7058,-81,4,44.04356,-68.8922,4,-0.095,1
"2026-07-04 20:00:00",8,13.57,24.77,63,39.98,40,160,36593,1.3,0.75,5610,5888,0,0,8,28176,2752,7157,-81,4,44.04353,-68.89223,4,-0.092,1
"2026-07-04 21:00:00",9,13.36,23.01,64,29.01,39,159,36593,1.3,0.75,5610,6608,0,0,9,28176,2846,7250,-81,4,44.04353,-68.8923,5,-0.087,1
"2026-07-04 22:00:00",10,13.27,21.83,64,39.04,71,166,36593,1.3,0.75,5610,7328,0,0,10,28176,2945,7349,-81,4,44.04354,-68.89228,4,-0.083,1
"2026-07-04 23:00:00",11,13.28,19.95,64,71.05,104,159,36593,1.3,0.75,5610,8048,0,0,11,28176,3034,7438,-81,13,44.04358,-68.89226,6,-0.079,1
"2026-07-05 00:00:00",12,13.27,18.63,64,104,104,166,36593,1.3,0.75,5610,8768,0,0,12,28176,0.01,7577,-85,4,44.04361,-68.89227,4,-0.064,1
"2026-07-05 01:00:00",13,13.26,18.22,63,92,92,160,36593,1.3,0.75,5610,9488,0,0,13,28176,87.8,7665,-77,4,44.04359,-68.89229,4,-0.062,1
"2026-07-05 02:00:00",14,13.26,17.53,64,69.96,70,159,36593,1.3,0.75,5610,10208,0,0,14,28176,172.8,7750,-81,13,44.04363,-68.89224,4,-0.057,1
"2026-07-05 03:00:00",15,13.27,17.4,64,41,43,160,36593,1.3,0.75,5610,10928,0,0,15,28176,263.8,7841,-87,4,44.04356,-68.89221,4,-0.05,1
"2026-07-05 04:00:00",16,13.26,16.88,64,43.02,57,159,36593,1.3,0.75,5610,11648,0,0,16,28176,353.2,7930,-85,4,44.04356,-68.89224,5,-0.047,1
"2026-07-05 05:00:00",17,13.26,17.02,63,56.98,57,159,36593,1.3,0.75,5610,12368,0,0,17,28176,442,8019,-83,4,44.04356,-68.89224,8,-0.047,1
"2026-07-05 06:00:00",18,13.48,18.94,62,39.69,40,159,36593,1.3,0.75,5610,13088,0,0,18,28176,529.3,8106,-81,13,44.04359,-68.89223,7,-0.043,1
"2026-07-05 07:00:00",19,13.57,22.49,61,-180,-178,159,36593,1.3,0.75,5610,13808,0,0,19,28176,618.2,8195,-81,4,44.0436,-68.89224,4,-0.042,1
"2026-07-05 08:00:00",20,13.52,22.8,61,-177.9,-79,159,36593,1.3,0.75,5610,14528,0,0,20,28176,873,8450,-83,4,44.04356,-68.89223,5,-0.033,1
"2026-07-05 09:00:00",21,13.57,26.41,59,-78.89,-1,160,36593,1.3,0.75,5610,15248,0,0,21,28176,963,8540,-83,4,44.04359,-68.89222,4,-0.03,1
"2026-07-05 10:00:00",22,13.59,27.49,59,-0.989,7,160,36593,1.3,0.75,5610,15968,0,0,22,28176,1055,8632,-79,13,44.04358,-68.89225,5,-0.022,1
"2026-07-05 11:00:00",23,13.59,27.25,58,7.001,8,159,36593,1.3,0.75,5610,16688,0,0,23,28176,1141,8718,-77,13,44.04358,-68.89226,4,-0.018,1
"2026-07-05 12:00:00",24,13.56,26.17,60,8.01,18,160,36593,1.3,0.75,5610,17408,0,0,24,28176,1232,8809,-81,4,44.0436,-68.89228,5,-0.014,1
"2026-07-05 13:00:00",25,13.59,24.67,61,17.98,18,167,36593,1.3,0.75,5610,18128,0,0,25,28176,1318,8895,-81,4,44.04364,-68.89228,4,-0.004,1
"2026-07-05 14:00:00",26,13.59,24.96,60,-0.008,0,159,36593,1.3,0.75,5610,18848,0,0,26,28176,1407,8984,-77,4,44.04359,-68.89224,4,-0.004,1
"2026-07-05 15:00:00",27,13.62,26.16,59,-5.996,-3,159,36593,1.3,0.75,5610,19568,0,0,27,28176,1502,9079,-77,13,44.04361,-68.89223,5,-0.004,1
"2026-07-05 16:00:00",28,13.58,27.43,58,-2.988,6,159,36593,1.3,0.75,5610,20288,0,0,28,28176,1589,9166,-79,13,44.04354,-68.8922,4,-0.002,1
"2026-07-05 17:00:00",29,13.59,27.55,58,5.99,6,159,36593,1.3,0.75,5610,21008,0,0,29,28176,1676,9253,-83,4,44.04359,-68.89214,4,-0.002,1
"2026-07-05 18:00:00",30,13.59,26.22,59,-0.983,11,160,36593,1.3,0.75,5610,21728,0,0,30,28176,1762,9339,-79,13,44.04358,-68.89221,5,-0.001,1
"2026-07-05 19:00:00",31,13.59,24.47,61,10.98,11,159,36593,1.3,0.75,5610,22448,0,0,31,28176,1848,9425,-79,13,44.04352,-68.89216,4,-0.001,1
"2026-07-05 20:00:00",32,13.57,21.17,63,-4.906,63,160,36593,1.3,0.75,5610,23168,0,0,32,28176,1932,9509,-81,13,44.04359,-68.8922,4,0.003,1
"2026-07-05 21:00:00",33,13.35,19.17,63,63.04,89,160,36593,1.3,0.75,5610,23888,0,0,33,28176,2045,9622,-83,4,44.04358,-68.89221,6,0.003,1
"2026-07-05 22:00:00",34,13.28,18.7,64,89,89,166,36593,1.3,0.75,5610,24608,0,0,34,28176,2131,9709,-81,4,44.04358,-68.8922,4,0.004,1
"2026-07-05 23:00:00",35,13.27,18.53,63,87,91,160,36593,1.3,0.75,5610,25328,0,0,35,28176,2221,9798,-83,4,44.04362,-68.89223,5,0.004,1
"2026-07-06 00:00:00",36,13.27,17.75,64,91,91,159,36593,1.3,0.75,5610,26048,0,0,36,28176,0,9881,-77,4,44.04363,-68.89226,6,0.01,1
"2026-07-06 01:00:00",37,13.27,18.25,64,91,115,159,36593,1.3,0.75,5610,26768,0,0,37,28176,80.5,9962,-75,4,44.04361,-68.89228,4,0.014,1
"2026-07-06 02:00:00",38,13.26,17.82,64,114.9,115,166,36593,1.3,0.75,5610,27488,0,0,38,28176,185.2,10066,-83,4,44.04362,-68.89227,4,0.014,1
"2026-07-06 03:00:00",39,13.27,18.12,64,63.03,87,159,36593,1.3,0.75,5610,28208,0,0,39,28176,276.7,10158,-87,4,44.04362,-68.89223,5,0.018,1
"2026-07-06 04:00:00",40,13.26,17.81,64,86.9,87,160,36593,1.3,0.75,5610,28928,0,0,40,28176,364.2,10245,-87,13,44.04359,-68.89226,5,0.021,1
"2026-07-06 05:00:00",41,13.25,18.22,64,49.03,73,160,36593,1.3,0.75,5610,29648,0,0,41,28176,450.4,10331,-83,4,44.04356,-68.89224,4,0.023,1
"2026-07-06 06:00:00",42,13.45,19.8,63,72.73,73,159,36593,1.3,0.75,5610,30368,0,0,42,28176,536,10417,-85,4,44.04358,-68.89227,5,0.028,1
"2026-07-06 07:00:00",43,13.43,20.83,63,-119.8,26,167,36593,1.3,0.75,5610,31088,0,0,43,28176,622.4,10504,-83,4,44.04356,-68.89223,4,0.032,1
"2026-07-06 08:00:00",44,13.52,24.62,60,25.77,26,159,36593,1.3,0.75,5610,31808,0,0,44,28176,709.8,10591,-81,13,44.04359,-68.89224,4,0.046,1
"2026-07-06 09:00:00",45,13.62,26.21,60,-141.9,-78,159,36593,1.3,0.75,5610,32528,0,0,45,28176,800,10681,-85,4,44.04356,-68.89225,5,0.048,1
"2026-07-06 10:00:00",46,13.6,25.18,61,-77.92,-17,166,36593,1.3,0.75,5610,33248,0,0,46,28176,891,10773,-81,13,44.04354,-68.89229,5,0.061,1
"2026-07-06 11:00:00",47,13.59,27.19,59,-16.97,4,160,36593,1.3,0.75,5610,33968,0,0,47,28176,976,10857,-81,13,44.04356,-68.89226,4,0.066,1
"2026-07-06 12:00:00",48,13.59,25.92,60,4.017,16,160,36593,1.3,0.75,5610,34688,0,0,48,28176,1072,10953,-85,4,44.04361,-68.89225,6,0.068,1
"2026-07-06 13:00:00",49,13.62,25.38,60,15.99,16,160,36593,1.3,0.75,5610,35408,0,0,49,28176,1170,11051,-85,4,44.04362,-68.89228,6,0.068,1
"2026-07-06 14:00:00",50,13.62,26.28,60,12,15,160,36593,1.3,0.75,5610,36128,0,0,50,28176,1254,11135,-75,13,44.04358,-68.89224,4,0.068,1
"2026-07-06 15:00:00",51,13.61,25.97,60,15,15,160,36593,1.3,0.75,5610,36848,0,0,51,28176,1346,11227,-77,4,44.0436,-68.89222,4,0.068,1
