"TOA5","wynken","CR300","36592","CR300-CELL210.11.3.0","CPU:wynken.cd6f9d22cd97fb39713b8012e1aaf9d0.dld","24883","Ai1"
"TIMESTAMP","RECORD","BatteryVoltage","InternalTemperature","InternalHumidity","CurrentAverage","CurrentMaximum","ProcessingTime","SerialNumber","DataloggerOSVersion","Ai1OSVersion","ProgramSignature","ProgramCounter","StartUpCode","WatchdogErrors","SkippedScans","MemoryFree","CellUsageToday","CellUsageThisMonth","CellRSSI","CellNetBand","Latitude","Longitude","GPSSatellitesInView","Pressure_mH2O","ReadAttempts_Max"
"TS","RN","Volts","°C","%","mA (-=Charge, +=Discharge)","mA (-=Charge, +=Discharge)","µS","","","","(0-65535)","Cycles","(0=Ok, -1=Power, -2=Watchdog)","Errors Since Compile","Scans Skipped","Bytes","kB","kB","dBm","","Decimal Degrees (N=+,S=-)","Decimal Degrees (E=+,W=-)","GPS Satellites visible","mH2O",""
"","","Smp","Smp","Smp","Avg:mA","Max:mA","Smp","Smp","Smp","Smp","Smp:0-65535)","Smp","Smp:0=Ok","Smp:Watchdog Errors Since Compile","Smp:Scans Skipped","Smp:Bytes","Smp:kB","Smp:kB","Smp:dBm","Smp:band","Smp","Smp","Smp","Smp","Max"
"2026-08-26 12:00:00",0,0,28.38,35,-113.1,0,159,36592,1.3,0.75,24883,30,0,0,0,29384,0,13576,0,0,0,0,0,-0.916,0
"2026-08-26 13:00:00",1,13.59,29.05,53,0.033,16,160,36592,1.3,0.75,24883,477,-1,0,0,29384,30.2,13606,-77,13,0,0,0,0.019,0
"2026-08-26 14:00:00",2,13.45,29.9,48,15.87,16,160,36592,1.3,0.75,24883,1197,-1,0,1,29384,106.4,13682,-63,4,44.03699,-68.88792,4,0.019,5
"2026-08-26 15:00:00",3,13.52,27.21,45,-78.96,-47,159,36592,1.3,0.75,24883,1917,-1,0,2,29384,188.2,13764,-83,4,44.04362,-68.8923,4,0.019,5
"2026-08-26 16:00:00",4,13.59,26.47,44,-46.88,42,159,36592,1.3,0.75,24883,2637,-1,0,3,29384,280,13856,-87,4,44.04363,-68.89223,5,0.024,1
"2026-08-26 17:00:00",5,13.59,24.88,44,41.87,42,165,36592,1.3,0.75,24883,3357,-1,0,4,29384,371.7,13948,-77,4,44.0436,-68.89226,4,0.025,1
"2026-08-26 18:00:00",6,13.63,23.78,45,-50.98,-33,166,36592,1.3,0.75,24883,4077,-1,0,5,29384,463,14039,-83,4,44.04359,-68.89229,4,0.03,1
"2026-08-26 19:00:00",7,13.53,21.24,47,-32.81,104,159,36592,1.3,0.75,24883,4797,-1,0,6,29384,526.8,14103,-85,4,44.04361,-68.89222,4,0.03,1
"2026-08-26 20:00:00",8,13.22,19.56,47,104,116,159,36592,1.3,0.75,24883,5517,-1,0,7,29384,615.9,14192,-85,4,44.04362,-68.89226,6,0.03,1
"2026-08-26 21:00:00",9,13.19,19.31,48,116.1,160,166,36592,1.3,0.75,24883,6237,-1,0,8,29384,721.5,14297,-81,4,44.04358,-68.89223,5,0.03,1
"2026-08-26 22:00:00",10,13.2,19.07,48,160,160,160,36592,1.3,0.75,24883,6957,-1,0,9,29384,812,14388,-85,4,44.04354,-68.89213,5,0.027,1
"2026-08-26 23:00:00",11,13.19,18.64,48,133,133,160,36592,1.3,0.75,24883,7677,-1,0,10,29384,897,14473,-77,4,44.04357,-68.8922,4,0.027,1
"2026-08-27 00:00:00",12,13.21,18.84,48,112.9,113,160,36592,1.3,0.75,24883,8397,-1,0,11,29384,0.061,14562,-77,4,44.04357,-68.89224,4,0.027,1
"2026-08-27 01:00:00",13,13.17,18.87,48,64.03,85,167,36592,1.3,0.75,24883,9117,-1,0,12,29384,94.5,14657,-89,4,44.04359,-68.8923,4,0.027,1
"2026-08-27 02:00:00",14,13.17,18.54,48,85,98,160,36592,1.3,0.75,24883,9837,-1,0,13,29384,184.4,14747,-83,4,44.04356,-68.89222,5,0.027,1
"2026-08-27 03:00:00",15,13.18,18.61,48,98,106,159,36592,1.3,0.75,24883,10557,-1,0,14,29384,263.1,14825,-87,4,44.04356,-68.89219,4,0.027,1
"2026-08-27 04:00:00",16,13.09,18.34,48,105.9,106,160,36592,1.3,0.75,24883,11277,-1,0,15,29384,348.3,14911,-83,4,44.04364,-68.89217,4,0.027,1
"2026-08-27 05:00:00",17,13.16,17.96,48,52.02,66,159,36592,1.3,0.75,24883,11997,-1,0,16,29384,433.6,14996,-79,13,44.04357,-68.89226,4,0.027,1
"2026-08-27 06:00:00",18,13.19,18.24,48,65.98,66,159,36592,1.3,0.75,24883,12717,-1,0,17,29384,521.2,15083,-85,4,44.04358,-68.89225,6,0.03,1
"2026-08-27 07:00:00",19,13.38,19.39,47,53.75,54,160,36592,1.3,0.75,24883,13437,-1,0,18,29384,603.9,15166,-85,4,44.04356,-68.89226,5,0.03,1
"2026-08-27 08:00:00",20,13.39,21.93,45,-123.9,-33,166,36592,1.3,0.75,24883,14157,-1,0,19,29384,688,15250,-85,4,44.04359,-68.8923,4,0.032,1
"2026-08-27 09:00:00",21,13.46,23.36,45,-33.15,-33,159,36592,1.3,0.75,24883,14877,-1,0,20,29384,769.9,15332,-85,4,44.04356,-68.89236,4,0.032,1
"2026-08-27 10:00:00",22,13.44,25.09,44,-138.9,-87,160,36592,1.3,0.75,24883,15597,-1,0,21,29384,908,15470,-85,4,44.04359,-68.89226,6,0.035,1
"2026-08-27 11:00:00",23,12.94,26.56,43,-87,-72,160,36592,1.3,0.75,24883,16317,-1,0,22,29384,960,15523,-81,4,44.04359,-68.89223,6,0.037,1
"2026-08-27 12:00:00",24,13.09,26.53,44,-72.01,-72,159,36592,1.3,0.75,24883,17037,-1,0,23,29384,1029,15591,-89,4,44.04359,-68.8923,4,0.04,1
"2026-08-27 13:00:00",25,13.26,27.21,42,-76.98,-66,160,36592,1.3,0.75,24883,17757,-1,0,24,29384,1087,15649,-83,4,44.04357,-68.89221,4,0.041,1
"2026-08-27 14:00:00",26,13.32,27.53,41,-65.05,621,159,36592,1.3,0.75,24883,18477,-1,0,25,29384,1149,15711,-87,4,44.04359,-68.8922,4,0.041,1
