"TOA5","wynken","CR300","36593","CR300-CELL210.11.3.0","CPU:wynken.29dcee00994297b7550bff0a372e8ab5.dld","5610","SondeValues"
"TIMESTAMP","RECORD","External_Temp","Conductivity_us","SpConductivity_us","TDS","Salinity","PH_mV","PH","ORP","ODO_Sat","ODO","Pressure_abs","Pressure_gauge","Depth","Sonde_Battery","Turbidity","Ammonia_NH3","Ammonium_NH4","DateTime","Nitrate_NO3_mV","Nitrate_NO3_mgL","Ammonium_NH4plus","Chloride_mgL","Chloride_mV","Turbidity_TSS","Chlorophyll_ugL","Chlorophyll_RFU","PAR_1","PAR_2","Rhodamine_ugL","BGA_PC_cellsmL","BGA_PC_RFU","BGA_PE_cellsmL","BGA_PE_RFU","BGA_PC_ugL","BGA_PE_ugL","fDOM_RFU","fDOM_QSU","WiperPosition","Sonde_External_Voltage","Conductivity_nLF","WiperPeakCurrent","Pressure_Vert_Pos","Chlorophyll","NitraLED"
"TS","RN","DegreesC","us/cm","us/cm","mg/L","ppm","mV","PH","mV","%","mg/L","psi","psi","m","V","FNU","","mg/L","","mV","mg/L","mV","mg/L","mV","TSS","ug/L","RFU","uMoles/m2/s","uMoles/m2/s","ug/L","cells/mL","RFU","cells/mL","RFU","ug/L","ug/L","RFU","QSU","Volts","V","us/cm","mA","m","cells/mL","mg/L"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-07-04 12:00:00",0,13.05982,37625.16,48740.88,31681.57,31.78633,"NAN","NAN","NAN","NAN","NAN",0.616416,"NAN",0.4246071,5.859341,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.06775408,0.1530616,"NAN","NAN","NAN","NAN","NAN",0,0.4406116,"NAN",-0.6673456,"NAN","NAN",0.7799222,13.45241,49554.85,68.3177,0.424139,0,"NAN"
"2026-07-04 13:00:00",1,12.755,37417.33,48840.56,31746.36,31.84713,"NAN","NAN","NAN","NAN","NAN",-0.8983021,"NAN",-0.617596,5.859341,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.003587722,0.1766446,"NAN","NAN","NAN","NAN","NAN",0,0.4798,"NAN",-0.5565591,"NAN","NAN",1.609915,13.48003,49665.09,71.47082,0.4413834,0,"NAN"
"2026-07-04 14:00:00",2,12.84896,37478.74,48806.29,31724.09,31.82595,"NAN","NAN","NAN","NAN","NAN",-0.9082003,"NAN",-0.6244169,5.857765,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.9571693,0.491864,"NAN","NAN","NAN","NAN","NAN",0,1.158309,"NAN",1.361603,"NAN","NAN",1.657304,13.48398,49627.6,69.92172,0.4254002,0,"NAN"
"2026-07-04 15:00:00",3,13.11476,37713.84,48789.7,31713.3,31.82395,"NAN","NAN","NAN","NAN","NAN",-0.8856544,"NAN",-0.6089519,5.862491,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.2609802,0.2617292,"NAN","NAN","NAN","NAN","NAN",0,0.603,"NAN",-0.2082697,"NAN","NAN",1.601785,13.49976,49602.81,71.54406,0.4553081,0,"NAN"
"2026-07-04 16:00:00",4,13.25935,20907.73,26951.56,17518.52,16.55834,"NAN","NAN","NAN","NAN","NAN",0.6234007,"NAN",0.4286466,5.85619,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.6395468,0.3868696,"NAN","NAN","NAN","NAN","NAN",0,0.7163307,"NAN",0.1121186,"NAN","NAN",1.657267,13.50766,27398.22,69.76791,0.4126036,0,"NAN"
"2026-07-04 17:00:00",5,13.10689,37706.94,48790.02,31713.51,31.8239,"NAN","NAN","NAN","NAN","NAN",-0.9400625,"NAN",-0.6463591,5.857765,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.6548267,0.3919206,"NAN","NAN","NAN","NAN","NAN",0,0.8474399,"NAN",0.4827675,"NAN","NAN",1.605612,13.51555,49603.38,70.6395,0.409731,0,"NAN"
"2026-07-04 18:00:00",6,12.69833,37335.89,48802.82,31721.83,31.81751,"NAN","NAN","NAN","NAN","NAN",-0.9133978,"NAN",-0.6279835,5.859341,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.283347,0.5996866,"NAN","NAN","NAN","NAN","NAN",0,1.222181,"NAN",1.54217,"NAN","NAN",1.611563,13.5116,49628.27,71.98718,0.4109643,0,"NAN"
"2026-07-04 19:00:00",7,12.97363,37579.39,48785.51,31710.58,31.81567,"NAN","NAN","NAN","NAN","NAN",-0.9275761,"NAN",-0.6377597,5.860916,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.681826,0.7314093,"NAN","NAN","NAN","NAN","NAN",0,1.396733,"NAN",2.035631,"NAN","NAN",1.616379,13.47609,49602.81,70.29527,0.4083613,0,"NAN"
"2026-07-04 20:00:00",8,12.85351,20624.52,26854.62,17455.51,16.48811,"NAN","NAN","NAN","NAN","NAN",0.6303596,"NAN",0.4334073,5.857765,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.488897,0.667634,"NAN","NAN","NAN","NAN","NAN",0,1.250836,"NAN",1.623178,"NAN","NAN",1.657304,13.45241,27306.45,71.38659,0.4288317,0,"NAN"
"2026-07-04 21:00:00",9,12.71839,37338.99,48782.38,31708.54,31.80348,"NAN","NAN","NAN","NAN","NAN",-0.903451,"NAN",-0.6211527,5.860916,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.275029,0.9275005,"NAN","NAN","NAN","NAN","NAN",0,1.555583,"NAN",2.484706,"NAN","NAN",1.6077,13.44452,49606.93,73.51064,0.4333861,0,"NAN"
"2026-07-04 22:00:00",10,12.85225,37474.19,48796.11,31717.47,31.8187,"NAN","NAN","NAN","NAN","NAN",-0.8809023,"NAN",-0.6056517,5.860916,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.126845,0.5479528,"NAN","NAN","NAN","NAN","NAN",0,1.045617,"NAN",1.043019,"NAN","NAN",1.65734,13.1525,49617.14,71.52575,0.4460606,0,"NAN"
"2026-07-04 23:00:00",11,12.98406,37598.96,48798.42,31718.97,31.82542,"NAN","NAN","NAN","NAN","NAN",-0.8781633,"NAN",-0.6037864,5.860916,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.434864,0.6497724,"NAN","NAN","NAN","NAN","NAN",0,1.209614,"NAN",1.506643,"NAN","NAN",1.604678,13.17618,49615.63,71.54406,0.4495808,0,"NAN"
"2026-07-05 00:00:00",12,12.98169,37603.89,48807.81,31725.08,31.83215,"NAN","NAN","NAN","NAN","NAN",-0.85429,"NAN",-0.5873693,5.859341,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.502152,0.6720154,"NAN","NAN","NAN","NAN","NAN",0,1.38016,"NAN",1.988779,"NAN","NAN",1.621012,13.14461,49625.26,72.11902,0.4640547,0,"NAN"
"2026-07-05 01:00:00",13,12.64474,37299.63,48820.72,31733.47,31.82833,"NAN","NAN","NAN","NAN","NAN",-0.8518791,"NAN",-0.5856752,5.860916,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.61186,1.038845,"NAN","NAN","NAN","NAN","NAN",0,2.037894,"NAN",3.84821,"NAN","NAN",1.612332,13.16434,49647.93,73.39346,0.466581,0,"NAN"
"2026-07-05 02:00:00",14,12.41119,24630.95,32428.27,21078.38,20.25775,"NAN","NAN","NAN","NAN","NAN",0.6920681,"NAN",0.4757819,5.859341,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.891664,0.800774,"NAN","NAN","NAN","NAN","NAN",0,1.497657,"NAN",2.320947,"NAN","NAN",1.637675,13.1525,32981.73,72.42298,0.4773644,0,"NAN"
"2026-07-05 03:00:00",15,12.663,37320.09,48825.05,31736.28,31.83221,"NAN","NAN","NAN","NAN","NAN",-0.8345346,"NAN",-0.5737503,5.862491,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.332154,0.9463841,"NAN","NAN","NAN","NAN","NAN",0,1.571165,"NAN",2.528756,"NAN","NAN",1.611563,13.07358,49651.83,71.46716,0.4874442,0,"NAN"
"2026-07-05 04:00:00",16,12.41413,22345.84,29417.58,19121.43,18.20765,"NAN","NAN","NAN","NAN","NAN",0.7045317,"NAN",0.4843555,5.857765,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.908979,0.8064979,"NAN","NAN","NAN","NAN","NAN",0,1.66187,"NAN",2.785181,"NAN","NAN",1.656883,13.14461,29919.61,72.672,0.4830535,0,"NAN"
"2026-07-05 05:00:00",17,12.47313,37115.57,48789.06,31712.89,31.7983,"NAN","NAN","NAN","NAN","NAN",-0.8345203,"NAN",-0.5737339,5.859341,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.599361,0.7041494,"NAN","NAN","NAN","NAN","NAN",0,1.37544,"NAN",1.975435,"NAN","NAN",1.616965,13.14856,49620.2,71.86267,0.4873007,0,"NAN"
"2026-07-05 06:00:00",18,12.25446,36951.68,48841.66,31747.08,31.82706,"NAN","NAN","NAN","NAN","NAN",-0.8352499,"NAN",-0.574204,5.862491,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.395453,0.6367448,"NAN","NAN","NAN","NAN","NAN",0,1.444309,"NAN",2.170131,"NAN","NAN",1.626304,13.28273,49679.02,73.66445,0.4790492,0,"NAN"
"2026-07-05 07:00:00",19,12.31886,37002.05,48828.96,31738.82,31.82065,"NAN","NAN","NAN","NAN","NAN",-0.8415575,"NAN",-0.5785478,5.862491,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.158676,0.5584747,"NAN","NAN","NAN","NAN","NAN",0,1.035222,"NAN",1.013632,"NAN","NAN",1.609897,13.36559,49664.58,71.04601,0.4734471,0,"NAN"
"2026-07-05 08:00:00",20,12.2427,24573.25,32489.74,21118.33,20.29622,"NAN","NAN","NAN","NAN","NAN",0.6959143,"NAN",0.4784089,5.862491,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.5553785,0.3590466,"NAN","NAN","NAN","NAN","NAN",0,0.792497,"NAN",0.3274426,"NAN","NAN",1.637803,13.44057,33046.93,71.74548,0.4739697,0,"NAN"
"2026-07-05 09:00:00",21,12.45768,37134.75,48832.91,31741.39,31.82945,"NAN","NAN","NAN","NAN","NAN",-0.8425207,"NAN",-0.5792187,5.860916,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.08032712,0.2020119,"NAN","NAN","NAN","NAN","NAN",0,0.5727649,"NAN",-0.2937453,"NAN","NAN",1.61528,13.46425,49665.18,72.54749,0.4747286,0,"NAN"
"2026-07-05 10:00:00",22,12.31431,24479.04,32306.92,20999.5,20.1726,"NAN","NAN","NAN","NAN","NAN",0.7148581,"NAN",0.4914319,5.862491,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.3561112,0.2931761,"NAN","NAN","NAN","NAN","NAN",0,0.69472,"NAN",0.05102457,"NAN","NAN",1.63469,13.49187,32859.87,72.66834,0.4894349,0,"NAN"
"2026-07-05 11:00:00",23,13.21346,37701.05,48653.63,31624.86,31.7288,"NAN","NAN","NAN","NAN","NAN",-0.8149691,"NAN",-0.5603961,5.860916,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.07722787,0.2009874,"NAN","NAN","NAN","NAN","NAN",0,0.4493489,"NAN",-0.642645,"NAN","NAN",1.616983,13.49582,49461.38,72.07141,0.4996401,0,"NAN"
"2026-07-05 12:00:00",24,12.66254,37289.89,48785.98,31710.89,31.80386,"NAN","NAN","NAN","NAN","NAN",-0.805892,"NAN",-0.5540698,5.862491,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.05655388,0.1941533,"NAN","NAN","NAN","NAN","NAN",0,0.5838721,"NAN",-0.2623447,"NAN","NAN",1.638004,13.44847,49612.11,72.67933,0.5032243,0,"NAN"
"2026-07-05 13:00:00",25,12.77996,37416.86,48809.05,31725.88,31.82527,"NAN","NAN","NAN","NAN","NAN",-0.8111925,"NAN",-0.5577133,5.862491,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.1235406,0.2162967,"NAN","NAN","NAN","NAN","NAN",0,0.7780249,"NAN",0.2865294,"NAN","NAN",1.61821,13.4603,49632.34,71.89929,0.4999626,0,"NAN"
"2026-07-05 14:00:00",26,12.83118,21791.55,28389.92,18453.45,17.52011,"NAN","NAN","NAN","NAN","NAN",0.7512159,"NAN",0.5165324,5.860916,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.3814435,0.30155,"NAN","NAN","NAN","NAN","NAN",0,0.6942722,"NAN",0.0497586,"NAN","NAN",1.657322,13.49187,28867.95,72.43763,0.5085785,0,"NAN"
"2026-07-05 15:00:00",27,13.38844,37781.5,48547.91,31556.14,31.65821,"NAN","NAN","NAN","NAN","NAN",-0.7940006,"NAN",-0.5460282,5.862491,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.3263494,0.2833379,"NAN","NAN","NAN","NAN","NAN",0,0.6610382,"NAN",-0.04419446,"NAN","NAN",1.611637,13.50766,49348.26,71.93958,0.5062815,0,"NAN"
"2026-07-05 16:00:00",28,13.27007,26070.46,33597.47,21838.36,21.0777,"NAN","NAN","NAN","NAN","NAN",0.7618389,"NAN",0.5238881,5.860916,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.609926,0.377078,"NAN","NAN","NAN","NAN","NAN",0,0.6803772,"NAN",0.01047728,"NAN","NAN",1.637858,13.50766,34154.02,72.10803,0.5331183,0,"NAN"
"2026-07-05 17:00:00",29,13.67005,38099.9,48621.79,31604.16,31.72116,"NAN","NAN","NAN","NAN","NAN",-0.7984867,"NAN",-0.5491187,5.859341,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.883463,0.4674994,"NAN","NAN","NAN","NAN","NAN",0,0.9866226,"NAN",0.87624,"NAN","NAN",1.602554,13.49582,49413.75,71.73083,0.5121333,0,"NAN"
"2026-07-05 18:00:00",30,12.92778,37512.95,48754.68,31690.54,31.79156,"NAN","NAN","NAN","NAN","NAN",-0.8060112,"NAN",-0.5541855,5.859341,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.991682,0.8338364,"NAN","NAN","NAN","NAN","NAN",0,1.738419,"NAN",3.001587,"NAN","NAN",1.635019,13.48003,49572.82,72.13,0.5051702,0,"NAN"
"2026-07-05 19:00:00",31,12.87007,37500.91,48809.07,31725.89,31.8288,"NAN","NAN","NAN","NAN","NAN",-0.8150339,"NAN",-0.5603682,5.857765,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.498031,1.001217,"NAN","NAN","NAN","NAN","NAN",0,1.783602,"NAN",3.129319,"NAN","NAN",1.603781,13.48003,49629.8,72.37904,0.4944468,0,"NAN"
