"TOA5","wynken","CR300","36592","CR300-CELL210.11.3.0","CPU:wynken.cd6f9d22cd97fb39713b8012e1aaf9d0.dld","24883","SondeValues"
"TIMESTAMP","RECORD","External_Temp","Conductivity_us","SpConductivity_us","TDS","Salinity","PH_mV","PH","ORP","ODO_Sat","ODO","Pressure_abs","Pressure_gauge","Depth","Sonde_Battery","Turbidity","Ammonia_NH3","Ammonium_NH4","DateTime","Nitrate_NO3_mV","Nitrate_NO3_mgL","Ammonium_NH4plus","Chloride_mgL","Chloride_mV","Turbidity_TSS","Chlorophyll_ugL","Chlorophyll_RFU","PAR_1","PAR_2","Rhodamine_ugL","BGA_PC_cellsmL","BGA_PC_RFU","BGA_PE_cellsmL","BGA_PE_RFU","BGA_PC_ugL","BGA_PE_ugL","fDOM_RFU","fDOM_QSU","WiperPosition","Sonde_External_Voltage","Conductivity_nLF","WiperPeakCurrent","Pressure_Vert_Pos","Chlorophyll","NitraLED"
"TS","RN","DegreesC","us/cm","us/cm","mg/L","ppm","mV","PH","mV","%","mg/L","psi","psi","m","V","FNU","","mg/L","","mV","mg/L","mV","mg/L","mV","TSS","ug/L","RFU","uMoles/m2/s","uMoles/m2/s","ug/L","cells/mL","RFU","cells/mL","RFU","ug/L","ug/L","RFU","QSU","Volts","V","us/cm","mA","m","cells/mL","mg/L"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-08-26 14:00:00",0,15.5376,40164.45,49024.79,31866.11,32.06241,"NAN","NAN","NAN","NAN","NAN",0.7108717,"NAN",0.4919716,2.701282,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.088852,0.3419119,"NAN","NAN","NAN","NAN","NAN",0,0.9006633,"NAN",1.073392,"NAN","NAN",0.7222614,13.3577,49743.37,150.6944,0.4768514,0,"NAN"
"2026-08-26 15:00:00",1,15.86188,34654.7,41982.19,27288.42,26.99181,"NAN","NAN","NAN","NAN","NAN",-0.7435923,"NAN",-0.5165199,2.709157,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.239633,0.3873616,"NAN","NAN","NAN","NAN","NAN",0,0.7955117,"NAN",0.8364255,"NAN","NAN",1.659629,13.36165,42583.43,43.44427,0.5389355,0,"NAN"
"2026-08-26 16:00:00",2,15.71695,40274.34,48954.23,31820.25,32.01435,"NAN","NAN","NAN","NAN","NAN",0.7809629,"NAN",0.5364799,2.713883,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.191478,0.674275,"NAN","NAN","NAN","NAN","NAN",0,2.040723,"NAN",3.642597,"NAN","NAN",1.669737,13.4682,49662.77,42.82902,0.5227641,0,"NAN"
"2026-08-26 17:00:00",3,15.19338,39830.35,49010.3,31856.69,32.04474,"NAN","NAN","NAN","NAN","NAN",-0.7415161,"NAN",-0.5093156,2.713883,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.408269,1.04105,"NAN","NAN","NAN","NAN","NAN",0,2.854311,"NAN",5.476072,"NAN","NAN",1.652689,13.48793,49745.34,44.76997,0.5454721,0,"NAN"
"2026-08-26 18:00:00",4,15.36231,39983.38,49004.03,31852.62,32.04375,"NAN","NAN","NAN","NAN","NAN",0.7821856,"NAN",0.5372673,2.712308,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",4.312775,1.313694,"NAN","NAN","NAN","NAN","NAN",0,2.739552,"NAN",5.217456,"NAN","NAN",1.669755,13.50766,49730.9,42.92424,0.5328185,0,"NAN"
"2026-08-26 19:00:00",5,15.30285,39959.51,49043.04,31877.98,32.07095,"NAN","NAN","NAN","NAN","NAN",-0.7366743,"NAN",-0.505991,2.710733,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",4.774202,1.452781,"NAN","NAN","NAN","NAN","NAN",0,4.195426,"NAN",8.49837,"NAN","NAN",1.651701,13.37349,49773.36,43.00481,0.5520313,0,"NAN"
"2026-08-26 20:00:00",6,15.32019,39944.57,49004.79,31853.11,32.04342,"NAN","NAN","NAN","NAN","NAN",0.8179779,"NAN",0.561847,2.713883,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",4.502366,1.370842,"NAN","NAN","NAN","NAN","NAN",0,3.782373,"NAN",7.567525,"NAN","NAN",1.6697,13.40506,49733.7,42.52506,0.5553158,0,"NAN"
"2026-08-26 21:00:00",7,15.08334,39731.93,49015.95,31860.37,32.04642,"NAN","NAN","NAN","NAN","NAN",-0.7098036,"NAN",-0.487521,2.710733,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.350225,1.023554,"NAN","NAN","NAN","NAN","NAN",0,2.420027,"NAN",4.497385,"NAN","NAN",1.65322,13.09726,49756.23,40.49256,0.5804658,0,"NAN"
"2026-08-26 22:00:00",8,15.07662,39749.82,49045.79,31879.76,32.06801,"NAN","NAN","NAN","NAN","NAN",0.8485975,"NAN",0.5828381,2.710733,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.920208,1.195363,"NAN","NAN","NAN","NAN","NAN",0,3.22934,"NAN",6.321226,"NAN","NAN",1.670671,13.03412,49786.83,37.68734,0.5752876,0,"NAN"
"2026-08-26 23:00:00",9,15.15809,39821.35,49039.89,31875.93,32.06553,"NAN","NAN","NAN","NAN","NAN",-0.7038069,"NAN",-0.4834028,2.712308,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.630754,1.108114,"NAN","NAN","NAN","NAN","NAN",0,3.387354,"NAN",6.677323,"NAN","NAN",1.664042,13.06174,49777.03,36.34333,0.5626149,0,"NAN"
"2026-08-27 00:00:00",10,14.99503,39688.55,49064.53,31891.94,32.0798,"NAN","NAN","NAN","NAN","NAN",0.8364935,"NAN",0.5745104,2.713883,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.43229,1.048291,"NAN","NAN","NAN","NAN","NAN",0,3.273796,"NAN",6.421411,"NAN","NAN",1.6697,13.06964,49809.61,56.46326,0.5655792,0,"NAN"
"2026-08-27 01:00:00",11,14.87476,39594.65,49087.86,31907.11,32.09396,"NAN","NAN","NAN","NAN","NAN",-0.6841936,"NAN",-0.4698939,2.712308,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.298601,1.007993,"NAN","NAN","NAN","NAN","NAN",0,2.716436,"NAN",5.165362,"NAN","NAN",1.657011,13.02228,49838.76,35.97345,0.5815284,0,"NAN"
"2026-08-27 02:00:00",12,14.92336,39625.61,49069.75,31895.34,32.08192,"NAN","NAN","NAN","NAN","NAN",0.8273973,"NAN",0.5682538,2.713883,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.086029,0.943918,"NAN","NAN","NAN","NAN","NAN",0,2.679749,"NAN",5.082685,"NAN","NAN",1.669627,13.06569,49818.18,55.07164,0.5603365,0,"NAN"
"2026-08-27 03:00:00",13,14.84201,39559.28,49082.07,31903.34,32.08895,"NAN","NAN","NAN","NAN","NAN",-0.7147875,"NAN",-0.4909036,2.713883,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",4.43027,1.34911,"NAN","NAN","NAN","NAN","NAN",0,3.446341,"NAN",6.810254,"NAN","NAN",1.6697,13.06569,49834.35,35.31426,0.5555997,0,"NAN"
"2026-08-27 04:00:00",14,14.98601,39679.2,49063.41,31891.22,32.07877,"NAN","NAN","NAN","NAN","NAN",0.8113737,"NAN",0.5572565,2.712308,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.540917,1.081034,"NAN","NAN","NAN","NAN","NAN",0,2.622838,"NAN",4.954432,"NAN","NAN",1.669755,13.02623,49808.89,54.35386,0.5484414,0,"NAN"
"2026-08-27 05:00:00",15,14.79082,39528.19,49103.05,31916.98,32.10299,"NAN","NAN","NAN","NAN","NAN",-0.7276468,"NAN",-0.4997239,2.715458,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.774346,0.8499677,"NAN","NAN","NAN","NAN","NAN",0,2.152472,"NAN",3.894431,"NAN","NAN",1.666532,13.06964,49857.93,34.33646,0.5511279,0,"NAN"
"2026-08-27 06:00:00",16,14.99101,39697.83,49080.66,31902.43,32.09146,"NAN","NAN","NAN","NAN","NAN",0.8145247,"NAN",0.5594158,2.713883,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.23739,0.9895424,"NAN","NAN","NAN","NAN","NAN",0,2.527891,"NAN",4.740462,"NAN","NAN",1.6697,13.03807,49826.17,54.97276,0.5525907,0,"NAN"
"2026-08-27 07:00:00",17,15.02869,39745.6,49096.04,31912.43,32.10354,"NAN","NAN","NAN","NAN","NAN",-0.7000246,"NAN",-0.4807781,2.712308,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.071188,0.9394444,"NAN","NAN","NAN","NAN","NAN",0,2.602314,"NAN",4.908179,"NAN","NAN",1.645969,13.04596,49840.06,34.18631,0.5725945,0,"NAN"
"2026-08-27 08:00:00",18,14.83642,39564.2,49094.66,31911.53,32.09799,"NAN","NAN","NAN","NAN","NAN",0.8336964,"NAN",0.5725614,2.712308,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.199016,0.6765471,"NAN","NAN","NAN","NAN","NAN",0,1.848325,"NAN",3.209014,"NAN","NAN",1.669664,13.21564,49847.39,54.57725,0.5723667,0,"NAN"
"2026-08-27 09:00:00",19,14.96772,39690.07,49098.08,31913.75,32.10361,"NAN","NAN","NAN","NAN","NAN",-0.6958971,"NAN",-0.477937,2.713883,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.535015,0.4763983,"NAN","NAN","NAN","NAN","NAN",0,1.227219,"NAN",1.809307,"NAN","NAN",1.662156,13.29851,49844.92,34.6331,0.570691,0,"NAN"
"2026-08-27 10:00:00",20,15.03026,39733.87,49079.73,31901.83,32.09169,"NAN","NAN","NAN","NAN","NAN",0.834342,"NAN",0.5730317,2.713883,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.142952,0.6596476,"NAN","NAN","NAN","NAN","NAN",0,1.622656,"NAN",2.700452,"NAN","NAN",1.669737,13.33797,49823.43,52.55939,0.569408,0,"NAN"
"2026-08-27 11:00:00",21,14.97338,39721.64,49130.56,31934.87,32.12742,"NAN","NAN","NAN","NAN","NAN",-0.6795626,"NAN",-0.4667114,2.715458,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.0781,0.3386711,"NAN","NAN","NAN","NAN","NAN",0,1.060336,"NAN",1.433226,"NAN","NAN",1.660142,13.29062,49877.64,38.42344,0.5862687,0,"NAN"
"2026-08-27 12:00:00",22,14.90544,39648.42,49118.83,31927.24,32.11726,"NAN","NAN","NAN","NAN","NAN",0.8507786,"NAN",0.5842937,2.709157,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.053678,0.3313096,"NAN","NAN","NAN","NAN","NAN",0,1.000227,"NAN",1.297766,"NAN","NAN",1.669664,12.99071,49868.82,53.32845,0.5916845,0,"NAN"
"2026-08-27 13:00:00",23,15.28152,39986.79,49101.07,31915.7,32.1128,"NAN","NAN","NAN","NAN","NAN",-0.6933804,"NAN",-0.4762366,2.713883,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.6984277,0.224227,"NAN","NAN","NAN","NAN","NAN",0,0.6461076,"NAN",0.4997327,"NAN","NAN",1.661991,12.9552,49833.28,34.48295,0.5690449,0,"NAN"
"2026-08-27 14:00:00",24,15.33652,40003.38,49058.17,31887.81,32.08268,"NAN","NAN","NAN","NAN","NAN",0.5559464,"NAN",0.3818551,2.713883,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.133585,0.3553958,"NAN","NAN","NAN","NAN","NAN",0,1.17011,"NAN",1.680608,"NAN","NAN",1.669719,12.88417,49787.09,34.40604,0.3807297,0,"NAN"
