"TOA5","wynken","CR300","36593","CR300-CELL210.11.3.0","CPU:wynken.2a389ad62a8c24863d64a52dcf561fc6.dld","48073","WindUltra"
"TIMESTAMP","RECORD","WindU","WindV"
"TS","RN","",""
"","","Smp","Smp"
"2026-07-02 08:00:00",0,0.105,0.36
"2026-07-02 09:00:00",1,-1.493,-1.741
"2026-07-02 10:00:00",2,-2.969,1.368
"2026-07-02 11:00:00",3,-4.079,1.012
"2026-07-02 12:00:00",4,-3.776,-0.734
"2026-07-02 13:00:00",5,-3.324,0.267
"2026-07-02 14:00:00",6,-6.211,0.173
"2026-07-02 15:00:00",7,-3.647,-1.16
"2026-07-02 16:00:00",8,-5.959,-0.725
"2026-07-02 17:00:00",9,-5.271,0.095
"2026-07-02 18:00:00",10,-2.124,0.206
"2026-07-02 19:00:00",11,-3.899,1.257
"2026-07-02 20:00:00",12,-2.338,1.18
"2026-07-02 21:00:00",13,-2.353,2.349
"2026-07-02 22:00:00",14,-2.399,1.217
"2026-07-02 23:00:00",15,-2.747,-0.003
"2026-07-03 00:00:00",16,-3.514,0.494
"2026-07-03 01:00:00",17,-2.891,1.764
"2026-07-03 02:00:00",18,-2.747,0.325
"2026-07-03 03:00:00",19,-1.414,1.589
"2026-07-03 04:00:00",20,0.075,0.383
"2026-07-03 05:00:00",21,-1.044,-0.224
"2026-07-03 06:00:00",22,-0.935,-1.369
"2026-07-03 07:00:00",23,-3.373,-0.571
"2026-07-03 08:00:00",24,-3.762,-1.203
"2026-07-03 09:00:00",25,-0.793,-0.151
"2026-07-03 10:00:00",26,-2.222,1.415
"2026-07-03 11:00:00",27,-2.082,0.934
"2026-07-03 12:00:00",28,-2.874,-0.651
"2026-07-03 13:00:00",29,-5.254,-0.092
"2026-07-03 14:00:00",30,-4.732,0.292
"2026-07-03 15:00:00",31,-3.986,-1.036
"2026-07-03 16:00:00",32,-3.868,-1.595
"2026-07-03 17:00:00",33,-5.657,-1.336
"2026-07-03 18:00:00",34,-3.969,-0.88
"2026-07-03 19:00:00",35,-3.142,0.052
"2026-07-03 20:00:00",36,-1.68,0.446
"2026-07-03 21:00:00",37,0.237,0.046
"2026-07-03 22:00:00",38,0.129,-0.975
"2026-07-03 23:00:00",39,2.192,0.462
"2026-07-04 00:00:00",40,-1.398,0.112
"2026-07-04 01:00:00",41,0.246,0.848
"2026-07-04 02:00:00",42,-0.553,0.116
"2026-07-04 03:00:00",43,-0.877,-0.134
"2026-07-04 04:00:00",44,-1.249,-0.228
"2026-07-04 05:00:00",45,-2.364,0.781
"2026-07-04 06:00:00",46,-2.405,0.426
"2026-07-04 07:00:00",47,-0.161,-0.404
"2026-07-04 08:00:00",48,-0.083,0.033
"2026-07-04 09:00:00",49,-2.763,0.493
"2026-07-04 10:00:00",50,-0.356,1.701
"2026-07-04 11:00:00",51,-0.467,2.191
