"TOA5","wynken","CR300","36592","CR300-CELL210.11.3.0","CPU:wynken.cd6f9d22cd97fb39713b8012e1aaf9d0.dld","24883","WindUltra"
"TIMESTAMP","RECORD","WindU","WindV"
"TS","RN","",""
"","","Smp","Smp"
"2026-08-26 12:00:00",0,"NAN",0
"2026-08-26 13:00:00",1,0.869,0.422
"2026-08-26 14:00:00",2,-1.119,-3.809
"2026-08-26 15:00:00",3,1000,1000
"2026-08-26 16:00:00",4,1000,1000
"2026-08-26 17:00:00",5,1000,1000
"2026-08-26 18:00:00",6,1000,1000
"2026-08-26 19:00:00",7,1000,1000
"2026-08-26 20:00:00",8,1000,1000
"2026-08-26 21:00:00",9,1000,1000
"2026-08-26 22:00:00",10,1000,1000
"2026-08-26 23:00:00",11,1000,1000
"2026-08-27 00:00:00",12,1000,1000
"2026-08-27 01:00:00",13,1000,1000
"2026-08-27 02:00:00",14,1000,1000
"2026-08-27 03:00:00",15,1000,1000
"2026-08-27 04:00:00",16,1000,1000
"2026-08-27 05:00:00",17,1000,1000
"2026-08-27 06:00:00",18,1000,1000
"2026-08-27 07:00:00",19,1000,1000
"2026-08-27 08:00:00",20,1000,1000
"2026-08-27 09:00:00",21,1000,1000
"2026-08-27 10:00:00",22,1000,1000
"2026-08-27 11:00:00",23,"NAN",1000
"2026-08-27 12:00:00",24,"NAN",1000
"2026-08-27 13:00:00",25,"NAN",1000
"2026-08-27 14:00:00",26,"NAN",1000
