ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C),Water Detect (%)
2026-08-25T19:48:52.000,10.16,98.76,14.07,91
2026-08-25T20:03:52.000,9.16,88.36,13.71,100
2026-08-25T20:18:52.000,9.24,88.14,13.18,100
2026-08-25T20:33:52.000,9.27,87.93,12.96,100
2026-08-25T20:48:52.000,9.29,88.06,12.91,100
2026-08-25T21:03:52.000,9.22,86.95,12.70,100
2026-08-25T21:18:52.000,9.15,86.10,12.58,100
2026-08-25T21:33:52.000,9.16,85.96,12.47,100
2026-08-25T21:48:52.000,9.18,86.26,12.53,100
2026-08-25T22:03:52.000,9.16,85.75,12.39,100
2026-08-25T22:18:52.000,9.20,86.11,12.37,100
2026-08-25T22:33:52.000,9.19,85.89,12.31,100
2026-08-25T22:48:52.000,9.15,85.57,12.31,100
2026-08-25T23:03:52.000,9.18,85.87,12.31,100
2026-08-25T23:18:52.000,9.19,85.88,12.31,100
2026-08-25T23:33:52.000,9.17,85.77,12.30,100
2026-08-25T23:48:52.000,9.15,85.47,12.28,100
2026-08-26T00:03:52.000,9.16,85.60,12.27,100
2026-08-26T00:18:52.000,9.14,85.37,12.25,100
2026-08-26T00:33:52.000,9.15,85.45,12.24,100
2026-08-26T00:48:52.000,9.08,84.81,12.26,100
2026-08-26T01:03:52.000,9.06,84.59,12.26,100
2026-08-26T01:18:52.000,9.03,84.28,12.24,100
2026-08-26T01:33:52.000,9.09,84.90,12.26,100
2026-08-26T01:48:52.000,9.14,85.39,12.27,100
2026-08-26T02:03:52.000,9.12,85.27,12.32,100
2026-08-26T02:18:52.000,9.30,87.44,12.57,100
2026-08-26T02:33:52.000,9.20,86.58,12.61,100
2026-08-26T02:48:52.000,9.21,86.75,12.63,100
2026-08-26T03:03:52.000,9.15,86.19,12.65,100
2026-08-26T03:18:52.000,9.20,86.74,12.67,100
2026-08-26T03:33:52.000,9.16,86.37,12.70,100
2026-08-26T03:48:52.000,9.14,86.23,12.70,100
2026-08-26T04:03:52.000,9.15,86.40,12.75,100
2026-08-26T04:18:52.000,9.25,87.49,12.81,100
2026-08-26T04:33:52.000,9.28,87.91,12.88,100
2026-08-26T04:48:52.000,9.34,88.89,13.09,100
2026-08-26T05:03:52.000,9.41,90.21,13.42,100
2026-08-26T05:18:52.000,9.49,91.36,13.60,100
2026-08-26T05:33:52.000,9.47,91.24,13.67,100
2026-08-26T05:48:52.000,9.61,93.03,13.88,100
2026-08-26T06:03:52.000,9.51,92.11,13.88,100
