Date,In AH,In kWh,Out AH,Out kWh,Net AH,Net kWh,Min SOC
 8/08/26,  5874, 313.520,  6707, 355.420,  -833, -41.900, 25
 8/07/26,   615,  32.890,   587,  31.140,    28,   1.750, 30
 8/06/26,   718,  38.250,   620,  32.850,    98,   5.400, 26
 8/05/26,   636,  33.900,   638,  33.770,    -2,   0.130, 28
 8/04/26,   776,  41.310,   575,  30.530,   201,  10.780, 20
 8/03/26,   210,  11.110,   640,  33.590,  -430, -22.480, 23
 8/02/26,   436,  23.210,   607,  32.110,  -171,  -8.900, 48
 8/01/26,   719,  38.490,   570,  30.200,   149,   8.290, 49
 7/31/26,   693,  37.000,   602,  31.980,    91,   5.020, 47
 7/30/26,   189,  10.040,   613,  32.370,  -424, -22.330, 50
 7/29/26,   422,  22.770,   577,  30.880,  -155,  -8.110, 74
 7/28/26,   717,  38.810,   676,  36.140,    41,   2.670, 51
 7/27/26,   768,  41.470,   577,  30.870,   191,  10.600, 43
 7/26/26,   779,  41.960,   524,  28.130,   255,  13.830, 33
 7/25/26,   753,  40.360,   472,  25.150,   281,  15.210, 20
 7/24/26,   749,  39.980,   496,  26.220,   253,  13.760,  7
 7/23/26,   743,  39.370,   499,  26.270,   244,  13.100,  1
 7/22/26,   328,  17.170,   762,  39.660,  -434, -22.490,  1
 7/21/26,   466,  24.850,   544,  28.810,   -78,  -3.960, 24
 7/20/26,   744,  39.740,   580,  30.750,   164,   8.990, 20
 7/19/26,   750,  39.940,   605,  32.070,   145,   7.870, 15
 7/18/26,   242,  12.790,   632,  33.180,  -390, -20.390, 18
 7/17/26,   729,  38.930,   578,  30.700,   151,   8.230, 32
 7/16/26,   501,  26.680,   665,  35.200,  -164,  -8.520, 34
 7/15/26,   444,  23.800,   759,  40.330,  -315, -16.530, 45
 7/14/26,   381,  20.440,   756,  40.320,  -375, -19.880, 64
 7/13/26,   547,  29.890,   569,  30.690,   -22, -0.800, 86
 7/12/26,   533,  29.240,   524,  28.440,     9,   0.800, 87
 7/11/26,   634,  34.690,   531,  28.610,   103,   6.080, 81
 7/10/26,   613,  33.070,   670,  35.870,   -57,  -2.800, 83
 7/09/26,   699,  37.840,   544,  29.050,   155,   8.790, 75
 7/08/26,   719,  38.940,   588,  31.500,   131,   7.440, 69
 7/07/26,   458,  24.680,   692,  37.050,  -234, -12.370, 73
 7/06/26,   657,  35.840,   580,  30.960,    77,   4.880, 86
 7/05/26,   729,  39.440,   529,  27.550,   200,  11.890, 85
 7/04/26,   635,  34.340,   523,  27.760,   112,   6.580, 74
 7/03/26,   706,  38.090,   660,  35.340,    46,   2.750, 73
 7/02/26,   704,  38.010,   641,  34.390,    63,   3.620, 72
 7/01/26,   684,  36.920,   724,  38.780,   -40,  -1.860, 75
 6/30/26,   570,  30.770,   619,  33.160,   -49,  -2.390, 80
 6/29/26,   737,  39.920,   606,  32.420,   131,   7.500, 44
 6/28/26,   770,  41.400,   426,  22.790,   344,  18.610, 28
 6/27/26,   580,  30.950,   514,  27.240,    66,   3.710, 25
 6/26/26,   216,  11.510,   444,  23.450,  -228, -11.940, 28
 6/25/26,   722,  38.890,   810,  43.310,   -88,  -4.420, 42
 6/24/26,   738,  39.740,   654,  35.050,    84,   4.690, 44
 6/23/26,   383,  20.730,   430,  22.990,   -47,  -2.260, 45
 6/22/26,   600,  32.260,   451,  24.100,   149,   8.160, 42
 6/21/26,   624,  33.540,   513,  27.350,   111,   6.190, 38
 6/20/26,   444,  23.770,   420,  22.250,    24,   1.520, 38
 6/19/26,   668,  35.670,   480,  25.520,   188,  10.150, 30
 6/18/26,    85,   4.570,   743,  39.170,  -658, -34.600, 32
 6/17/26,   734,  39.710,   577,  31.000,   157,   8.710, 59
 6/16/26,   726,  39.180,   554,  29.670,   172,   9.510, 52
 6/15/26,   364,  19.630,   502,  26.770,  -138,  -7.140, 55
 6/14/26,   651,  35.090,   632,  33.940,    19,   1.150, 64
 6/13/26,   678,  36.590,   679,  36.400,    -1,   0.190, 62
 6/12/26,   371,  19.850,   774,  41.280,  -403, -21.430, 68
 6/11/26,   470,  25.600,   442,  23.930,    28,   1.670, 87
 6/10/26,   474,  25.850,   455,  24.580,    19,   1.270, 88
 6/09/26,   488,  26.610,   488,  26.400,     0,   0.210, 89
 6/08/26,   611,  33.280,   505,  27.270,   106,   6.010, 84
 6/07/26,   247,  13.300,   352,  18.830,  -105,  -5.530, 86
 6/06/26,   346,  18.800,   341,  18.330,     5,   0.470, 91
 6/05/26,   373,  20.300,   339,  18.340,    34,   1.960, 90
 6/04/26,   638,  34.970,   606,  32.910,    32,   2.060, 89
 6/03/26,   460,  25.140,   413,  22.240,    47,   2.900, 87
 6/02/26,   450,  24.500,   454,  24.500,    -4,   0.000, 88
 6/01/26,   423,  23.080,   421,  22.690,     2,   0.390, 90
 5/31/26,   448,  24.480,   368,  19.760,    80,   4.720, 85
 5/30/26,   279,  15.020,   331,  17.740,   -52,  -2.720, 87
 5/29/26,   420,  22.890,   407,  21.990,    13,   0.900, 89
 5/28/26,   446,  24.260,   399,  21.540,    47,   2.720, 87
 5/27/26,   487,  26.570,   450,  24.240,    37,   2.330, 86
