		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
05/09/25	7:00 p	51.1	51.6	50.0	78	44.5	3.5	W	3.48	7.8	W	50.1	50.8	49.8	---	30.060	0.00	0.00	198	17.03	202	1.4	0.60	1.4	0.579	0.000	65.8	53	48.2	64.4	9.93	 .0750	0.004	518	1	37.9	60
05/09/25	8:00 p	49.8	50.6	49.4	79	43.5	1.7	W	1.74	7.8	W	49.8	49.7	49.7	---	30.060	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.633	0.000	65.6	53	48.0	64.2	9.94	 .0751	0.000	586	1	42.8	60
05/09/25	9:00 p	49.5	49.7	49.2	78	42.9	0.0	WNW	0.00	4.3	W	49.5	49.4	49.4	---	30.057	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.646	0.000	65.5	52	47.4	64.0	9.74	 .0751	0.000	548	1	40.1	60
05/09/25	10:00 p	49.1	49.3	48.9	79	42.9	0.0	WNW	0.00	2.6	W	49.1	49.0	49.0	---	30.051	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.663	0.000	65.3	52	47.2	63.7	9.74	 .0751	0.000	544	1	39.8	60
05/09/25	11:00 p	49.3	49.4	49.1	80	43.4	0.0	WNW	0.00	4.3	W	49.3	49.2	49.2	---	30.047	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.654	0.000	65.0	51	46.4	63.3	9.55	 .0752	0.000	567	1	41.4	60
05/10/25	12:00 a	49.3	49.4	49.2	81	43.7	0.9	W	0.87	4.3	W	49.3	49.3	49.3	---	30.024	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.654	0.000	64.3	51	45.8	62.5	9.56	 .0752	0.000	534	1	39.0	60
05/10/25	1:00 a	49.1	49.4	48.4	80	43.2	1.7	W	1.74	11.3	W	49.1	49.0	49.0	---	30.023	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.663	0.000	63.7	51	45.2	61.9	9.58	 .0753	0.000	502	1	36.7	60
05/10/25	2:00 a	48.2	48.5	48.0	82	43.0	2.6	W	2.61	11.3	W	47.6	48.1	47.5	---	30.018	0.02	0.00	190	16.34	190	1.3	0.56	1.3	0.700	0.000	62.8	51	44.4	61.0	9.59	 .0755	0.000	470	1	34.4	60
05/10/25	3:00 a	48.4	48.8	47.8	82	43.2	4.3	W	4.35	10.4	WNW	46.3	48.4	46.3	---	29.999	0.04	0.04	190	16.34	190	1.3	0.56	1.3	0.692	0.000	62.0	52	44.2	60.2	9.75	 .0755	0.000	424	1	31.0	60
